Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,ABB,EQ,252.65,268.0,269.0,259.25,266.25,262.0,262.65,30400,798443960000.0,,,
2000-01-04,ABB,EQ,262.0,266.0,274.3,259.3,260.0,262.9,263.19,23931,629844445000.0,,,
2000-01-05,ABB,EQ,262.9,251.0,270.0,250.0,261.0,262.85,262.66,25607,672592235000.0,,,
2000-01-06,ABB,EQ,262.85,269.8,283.9,262.0,283.85,282.0,279.26,48096,1343139430000.0,,,
2000-01-07,ABB,EQ,282.0,288.85,288.85,272.0,276.0,273.5,277.33,37926,1051792590000.0,,,
2000-01-10,ABB,EQ,273.5,277.0,277.0,262.15,265.0,264.45,267.45,27121,725339650000.0,,,
2000-01-11,ABB,EQ,264.45,271.0,271.0,260.0,260.05,261.7,262.16,25536,669450500000.0,,,
2000-01-12,ABB,EQ,261.7,269.0,274.45,261.0,262.0,263.3,264.98,35914,951659635000.0,,,
2000-01-13,ABB,EQ,263.3,262.5,267.0,260.0,260.0,260.95,264.06,17729,468156965000.00006,,,
2000-01-14,ABB,EQ,260.95,257.5,261.4,255.0,261.4,260.3,257.8,24135,622211085000.0,,,
2000-01-17,ABB,EQ,260.3,264.0,267.0,261.0,262.25,262.9,263.45,12928,340583185000.0,,,
2000-01-18,ABB,EQ,262.9,268.5,275.0,265.0,273.9,268.4,267.57,32768,876773140000.0,,,
2000-01-19,ABB,EQ,268.4,279.0,289.9,275.0,289.9,289.1,287.19,74708,2145502410000.0002,,,
2000-01-20,ABB,EQ,289.1,292.5,311.0,290.0,293.0,294.4,303.36,116402,3531186250000.0,,,
2000-01-21,ABB,EQ,294.4,290.0,300.0,290.0,295.0,294.1,295.6,30834,911446760000.0,,,
2000-01-24,ABB,EQ,294.1,295.0,301.0,280.0,283.5,283.95,287.38,29389,844592885000.0,,,
2000-01-25,ABB,EQ,283.95,276.0,282.0,275.05,279.0,279.05,278.53,30284,843488475000.0,,,
2000-01-27,ABB,EQ,279.05,294.0,294.0,276.0,276.0,277.2,280.61,13570,380786270000.0,,,
2000-01-28,ABB,EQ,277.2,277.5,277.5,268.25,272.0,270.1,272.02,16667,453369820000.0,,,
