Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,GUJAMBCEM,EQ,323.5,335.0,342.0,326.2,334.0,334.65,335.31,430356,14430480175000.0,,,
2000-01-04,GUJAMBCEM,EQ,334.65,330.0,334.0,307.9,318.0,313.6,313.03,627035,19627978785000.0,,,
2000-01-05,GUJAMBCEM,EQ,313.6,314.9,320.0,295.0,305.9,304.2,311.25,235027,7315226709999.999,,,
2000-01-06,GUJAMBCEM,EQ,304.2,307.0,328.55,306.0,322.5,323.5,324.05,366871,11888547195000.0,,,
2000-01-07,GUJAMBCEM,EQ,323.5,318.0,318.0,297.65,297.65,297.7,301.64,211109,6367795730000.0,,,
2000-01-10,GUJAMBCEM,EQ,297.7,300.0,304.0,273.9,283.5,282.1,291.94,268575,7840686300000.0,,,
2000-01-11,GUJAMBCEM,EQ,282.1,296.9,296.9,263.15,265.5,269.25,272.23,361852,9850598840000.0,,,
2000-01-12,GUJAMBCEM,EQ,269.25,290.0,290.8,273.0,290.8,290.8,286.31,267430,7656905740000.001,,,
2000-01-13,GUJAMBCEM,EQ,290.8,300.0,307.0,285.0,285.9,285.85,295.68,141946,4197013965000.0,,,
2000-01-14,GUJAMBCEM,EQ,285.85,293.0,293.0,275.0,283.0,282.9,280.95,215341,6050109520000.0,,,
2000-01-17,GUJAMBCEM,EQ,282.9,287.95,291.5,271.3,280.0,278.4,283.71,181746,5156378155000.0,,,
2000-01-18,GUJAMBCEM,EQ,278.4,279.0,290.0,275.1,285.1,282.25,279.17,242696,6775274080000.0,,,
2000-01-19,GUJAMBCEM,EQ,282.25,289.0,304.5,284.1,299.0,300.15,294.44,395566,11647174675000.0,,,
2000-01-20,GUJAMBCEM,EQ,300.15,304.5,319.0,279.0,287.0,284.15,298.62,662998,19798375160000.0,,,
2000-01-21,GUJAMBCEM,EQ,284.15,290.0,300.0,288.0,299.0,296.7,294.45,298667,8794230534999.999,,,
2000-01-24,GUJAMBCEM,EQ,296.7,297.15,298.0,286.0,287.1,287.65,290.7,175192,5092751300000.0,,,
2000-01-25,GUJAMBCEM,EQ,287.65,285.05,288.0,268.1,273.0,273.25,277.87,246385,6846247000000.0,,,
