Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,ASHOKLEY,EQ,112.95,121.5,122.0,117.0,122.0,122.0,120.53,23853,287503000000.0,,,
2000-01-04,ASHOKLEY,EQ,122.0,123.0,130.0,115.2,129.25,127.8,125.78,36219,455572130000.0,,,
2000-01-05,ASHOKLEY,EQ,127.8,119.9,128.0,118.0,121.65,121.25,123.43,79670,983364669999.9999,,,
2000-01-06,ASHOKLEY,EQ,121.25,123.95,130.95,123.0,130.95,130.95,129.11,122309,1579113150000.0,,,
2000-01-07,ASHOKLEY,EQ,130.95,131.0,141.45,131.0,141.45,140.05,139.55,194050,2707997000000.0,,,
2000-01-10,ASHOKLEY,EQ,140.05,142.0,150.0,135.1,136.5,137.7,145.51,175764,2557537160000.0,,,
2000-01-11,ASHOKLEY,EQ,137.7,130.0,142.0,128.1,131.0,131.7,133.12,104972,1397418730000.0,,,
2000-01-12,ASHOKLEY,EQ,131.7,135.0,135.0,121.2,121.2,121.4,124.5,77572,965750015000.0,,,
2000-01-13,ASHOKLEY,EQ,121.4,124.9,127.0,121.0,122.05,123.3,123.83,47848,592516935000.0,,,
2000-01-14,ASHOKLEY,EQ,123.3,125.6,133.2,125.6,133.2,133.2,131.7,93643,1233304885000.0,,,
2000-01-17,ASHOKLEY,EQ,133.2,134.9,143.9,134.9,143.85,142.65,143.03,266812,3816178654999.9995,,,
2000-01-18,ASHOKLEY,EQ,142.65,143.9,143.9,134.0,140.0,140.3,137.57,64745,890713760000.0,,,
2000-01-19,ASHOKLEY,EQ,140.3,142.0,142.0,132.0,132.1,132.9,136.7,84869,1160138575000.0,,,
2000-01-20,ASHOKLEY,EQ,132.9,135.0,135.0,129.2,130.0,130.05,132.03,62425,824182670000.0,,,
2000-01-21,ASHOKLEY,EQ,130.05,131.85,136.75,131.1,134.0,134.1,134.36,106781,1434762855000.0,,,
2000-01-24,ASHOKLEY,EQ,134.1,135.5,139.0,132.0,138.45,136.35,136.45,79625,1086476330000.0001,,,
2000-01-25,ASHOKLEY,EQ,136.35,135.0,142.0,126.55,133.0,131.4,135.48,185264,2509885805000.0,,,
2000-01-27,ASHOKLEY,EQ,131.4,139.7,141.9,127.0,128.0,127.7,133.79,121396,1624108465000.0,,,
2000-01-28,ASHOKLEY,EQ,127.7,130.0,130.0,121.0,123.0,122.4,123.93,70355,871897575000.0,,,
2000-01-31,ASHOKLEY,EQ,122.4,123.0,123.0,114.0,122.5,120.9,119.91,98435,1180331520000.0,,,
2000-02-01,ASHOKLEY,EQ,120.9,123.0,125.6,120.0,120.75,120.5,122.97,92994,1143571500000.0,,,
2000-02-02,ASHOKLEY,EQ,120.5,126.0,126.0,114.05,117.05,116.3,120.58,126291,1522823860000.0,,,
2000-02-03,ASHOKLEY,EQ,116.3,115.0,118.75,107.0,107.0,107.75,108.88,233879,2546440485000.0,,,
2000-02-04,ASHOKLEY,EQ,107.75,108.5,112.4,107.0,110.9,110.0,108.93,96630,1052625985000.0,,,
2000-02-07,ASHOKLEY,EQ,110.0,110.0,110.9,103.05,104.0,104.25,107.25,128837,1381746890000.0,,,
2000-02-08,ASHOKLEY,EQ,104.25,104.0,104.95,99.25,100.5,100.75,101.71,137639,1399992255000.0,,,
2000-02-09,ASHOKLEY,EQ,100.75,106.5,108.85,104.0,104.0,104.9,106.59,140819,1501034605000.0,,,
2000-02-10,ASHOKLEY,EQ,104.9,105.0,107.0,104.75,106.0,105.55,105.92,33275,352460970000.0,,,
2000-02-11,ASHOKLEY,EQ,105.55,106.0,106.0,97.15,97.15,99.15,100.6,91812,923617985000.0,,,
2000-02-14,ASHOKLEY,EQ,99.15,98.5,98.9,91.25,91.25,91.25,94.79,70845,671515910000.0,,,
2000-02-15,ASHOKLEY,EQ,91.25,91.25,91.25,83.95,83.95,83.95,84.9,127719,1084327590000.0,,,
2000-02-16,ASHOKLEY,EQ,83.95,85.0,85.9,77.25,77.25,77.25,80.25,190810,1531277295000.0,,,
2000-02-17,ASHOKLEY,EQ,77.25,82.6,83.45,73.0,83.45,83.45,82.38,795700,6555339765000.0,,,
2000-02-18,ASHOKLEY,EQ,83.45,90.15,90.15,87.2,90.15,90.15,90.0,117648,1058811094999.9999,,,
2000-02-21,ASHOKLEY,EQ,90.15,97.4,97.4,84.0,97.4,95.55,91.18,569086,5188703485000.0,,,
2000-02-22,ASHOKLEY,EQ,95.55,101.0,102.4,90.2,101.0,99.95,98.17,258296,2535783505000.0,,,
2000-02-23,ASHOKLEY,EQ,99.95,103.5,107.95,102.0,105.6,107.0,107.24,293653,3149120640000.0,,,
2000-02-24,ASHOKLEY,EQ,107.0,108.0,109.5,99.0,103.0,101.5,104.27,64239,669831910000.0,,,
2000-02-25,ASHOKLEY,EQ,101.5,102.0,102.0,94.5,95.6,95.65,97.09,61451,596617950000.0,,,
2000-02-28,ASHOKLEY,EQ,95.65,95.0,98.0,88.1,89.0,89.8,92.82,109048,1012149740000.0,,,
2000-02-29,ASHOKLEY,EQ,89.8,90.5,92.8,82.65,82.7,82.75,85.61,270462,2315533540000.0,,,
2000-03-01,ASHOKLEY,EQ,82.75,84.1,85.95,80.0,81.0,80.5,81.82,178780,1462853525000.0,,,
2000-03-02,ASHOKLEY,EQ,80.5,79.0,81.75,74.15,74.5,74.45,76.2,154625,1178168095000.0,,,
2000-03-03,ASHOKLEY,EQ,74.45,70.1,71.0,68.5,68.5,68.5,68.81,105702,727386135000.0,,,
2000-03-06,ASHOKLEY,EQ,68.5,68.5,74.0,63.05,63.05,63.35,66.04,202542,1337651520000.0,,,
2000-03-07,ASHOKLEY,EQ,63.35,65.6,65.6,58.3,60.9,59.6,59.76,140851,841679180000.0001,,,
2000-03-08,ASHOKLEY,EQ,59.6,64.0,64.0,60.5,61.75,61.55,62.0,74227,460231625000.0,,,
2000-03-09,ASHOKLEY,EQ,61.55,64.9,65.0,60.0,61.7,61.75,61.61,158529,976705944999.9999,,,
2000-03-10,ASHOKLEY,EQ,61.75,62.0,63.5,59.2,61.2,60.8,60.47,91891,555657120000.0,,,
2000-03-13,ASHOKLEY,EQ,60.8,58.5,61.5,57.0,58.85,58.45,59.25,49049,290638590000.0,,,
2000-03-14,ASHOKLEY,EQ,58.45,59.0,62.35,56.0,58.6,59.65,60.14,191079,1149105010000.0,,,
2000-03-15,ASHOKLEY,EQ,59.65,60.9,64.4,59.0,62.0,62.5,62.6,188919,1182641650000.0,,,
2000-03-16,ASHOKLEY,EQ,62.5,58.3,67.5,58.3,67.5,66.1,64.02,173144,1108484065000.0,,,
2000-03-21,ASHOKLEY,EQ,66.1,69.9,71.4,66.0,71.4,71.4,70.54,88185,622019940000.0,,,
2000-03-22,ASHOKLEY,EQ,71.4,75.9,77.15,74.55,75.0,75.75,76.5,161309,1233986270000.0,,,
2000-03-23,ASHOKLEY,EQ,75.75,74.0,78.8,71.0,72.4,72.5,74.18,104182,772773060000.0,,,
2000-03-24,ASHOKLEY,EQ,72.5,74.9,74.9,68.5,72.5,71.9,70.8,43091,305086120000.0,,,
2000-03-27,ASHOKLEY,EQ,71.9,69.2,73.9,69.0,69.0,69.65,71.15,59428,422840890000.00006,,,
2000-03-28,ASHOKLEY,EQ,69.65,69.6,71.0,67.25,69.25,69.75,69.32,266204,1845291405000.0,,,
2000-03-29,ASHOKLEY,EQ,69.75,73.9,74.9,69.05,70.0,70.0,70.94,60001,425636700000.0,,,
2000-03-30,ASHOKLEY,EQ,70.0,69.9,69.9,66.55,67.5,67.4,67.9,41618,282587400000.0,,,
2000-03-31,ASHOKLEY,EQ,67.4,67.1,71.0,67.0,68.0,69.05,68.96,87263,601773260000.0,,,
2000-04-03,ASHOKLEY,EQ,69.05,69.9,72.5,68.25,70.15,71.3,70.95,144018,1021782830000.0001,,,
2000-04-04,ASHOKLEY,EQ,71.3,68.05,69.2,65.6,65.6,65.6,66.21,90079,596398570000.0,,,
2000-04-05,ASHOKLEY,EQ,65.6,64.0,67.9,64.0,67.0,66.6,66.32,53311,353543050000.0,,,
