Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,BANKBARODA,EQ,63.85,68.6,68.9,66.1,68.9,68.45,67.59,42545,287550165000.0,,,
2000-01-04,BANKBARODA,EQ,68.45,69.4,69.9,65.25,69.0,68.9,68.18,98966,674713435000.0,,,
2000-01-05,BANKBARODA,EQ,68.9,66.0,67.25,65.5,65.8,66.05,66.24,79908,529336480000.0,,,
2000-01-06,BANKBARODA,EQ,66.05,65.0,68.7,65.0,67.45,67.35,67.73,44015,298093800000.0,,,
2000-01-07,BANKBARODA,EQ,67.35,67.0,69.0,66.0,68.4,67.7,67.82,80021,542741955000.0,,,
2000-01-10,BANKBARODA,EQ,67.7,69.25,69.25,65.55,65.55,66.05,67.71,114490,775201080000.0,,,
2000-01-11,BANKBARODA,EQ,66.05,66.0,66.5,64.15,64.7,64.6,64.92,86721,562962300000.0,,,
2000-01-12,BANKBARODA,EQ,64.6,64.7,65.4,64.15,65.0,65.0,64.94,31206,202649760000.0,,,
2000-01-13,BANKBARODA,EQ,65.0,64.1,65.0,63.3,64.2,64.05,63.78,84775,540663455000.0,,,
2000-01-14,BANKBARODA,EQ,64.05,63.25,63.55,62.2,63.5,63.4,63.15,20668,130517910000.00002,,,
2000-01-17,BANKBARODA,EQ,63.4,64.0,65.5,63.5,64.0,64.0,64.5,68722,443274270000.0,,,
2000-01-18,BANKBARODA,EQ,64.0,64.25,64.5,60.0,63.05,63.35,62.31,60704,378253840000.0,,,
2000-01-19,BANKBARODA,EQ,63.35,62.5,64.95,62.5,64.0,63.9,63.7,36341,231490010000.0,,,
2000-01-20,BANKBARODA,EQ,63.9,63.9,64.5,63.0,63.2,63.15,63.3,44000,278511850000.0,,,
2000-01-21,BANKBARODA,EQ,63.15,62.55,64.0,62.55,63.5,63.7,63.27,34211,216443810000.0,,,
2000-01-24,BANKBARODA,EQ,63.7,62.7,63.9,62.0,62.25,62.3,62.8,41285,259256415000.0,,,
2000-01-25,BANKBARODA,EQ,62.3,60.3,62.25,60.3,61.8,61.85,61.66,43125,265902720000.00003,,,
2000-01-27,BANKBARODA,EQ,61.85,63.7,63.9,62.05,62.7,62.45,62.87,30895,194238625000.0,,,
2000-01-28,BANKBARODA,EQ,62.45,62.5,66.9,62.5,64.0,64.1,65.1,147220,958347094999.9999,,,
2000-01-31,BANKBARODA,EQ,64.1,64.2,64.6,61.8,62.0,62.0,62.58,102021,638411270000.0,,,
2000-02-01,BANKBARODA,EQ,62.0,62.0,62.45,58.0,58.0,58.55,59.36,151888,901547394999.9999,,,
2000-02-02,BANKBARODA,EQ,58.55,60.0,62.75,57.9,58.0,58.5,59.85,173487,1038357415000.0,,,
2000-02-03,BANKBARODA,EQ,58.5,59.9,59.9,56.0,56.15,56.45,57.35,280232,1607107450000.0,,,
2000-02-04,BANKBARODA,EQ,56.45,55.25,56.95,55.1,56.0,55.85,55.97,127477,713542845000.0,,,
2000-02-07,BANKBARODA,EQ,55.85,55.15,55.15,53.1,53.65,53.7,53.99,138556,748119635000.0,,,
2000-02-08,BANKBARODA,EQ,53.7,54.8,55.1,52.55,53.2,53.5,53.17,111704,593920185000.0,,,
2000-02-09,BANKBARODA,EQ,53.5,54.6,55.8,51.0,52.7,52.5,54.13,133051,720208315000.0,,,
2000-02-10,BANKBARODA,EQ,52.5,52.95,54.2,52.0,54.0,54.05,53.43,45703,244182090000.0,,,
2000-02-11,BANKBARODA,EQ,54.05,54.4,55.75,52.75,53.0,52.85,53.47,43087,230380610000.0,,,
2000-02-14,BANKBARODA,EQ,52.85,52.0,54.0,51.15,53.5,53.25,52.55,74149,389619705000.0,,,
2000-02-15,BANKBARODA,EQ,53.25,52.15,53.0,50.0,50.4,50.7,51.44,69177,355847620000.0,,,
2000-02-16,BANKBARODA,EQ,50.7,52.4,52.4,48.0,48.5,49.2,50.05,61996,310260530000.0,,,
2000-02-17,BANKBARODA,EQ,49.2,48.9,50.25,48.9,50.0,50.0,49.96,92800,463643215000.00006,,,
2000-02-18,BANKBARODA,EQ,50.0,50.5,50.5,47.0,48.5,47.95,48.52,87610,425125100000.0,,,
2000-02-21,BANKBARODA,EQ,47.95,49.9,51.0,47.25,47.5,47.7,47.91,61650,295368825000.0,,,
2000-02-22,BANKBARODA,EQ,47.7,47.2,47.95,44.2,44.9,45.2,45.52,93276,424581580000.0,,,
2000-02-23,BANKBARODA,EQ,45.2,46.1,46.75,43.0,44.0,43.95,44.54,112498,501084530000.0,,,
2000-02-24,BANKBARODA,EQ,43.95,45.0,45.0,41.25,41.25,41.8,42.44,121530,515774715000.00006,,,
2000-02-25,BANKBARODA,EQ,41.8,42.0,43.45,41.3,42.75,42.2,42.46,74715,317205290000.0,,,
2000-02-28,BANKBARODA,EQ,42.2,42.9,45.6,42.5,44.4,45.45,44.97,155447,699007260000.0,,,
2000-02-29,BANKBARODA,EQ,45.45,45.9,49.1,43.1,45.0,46.05,47.53,283734,1348651355000.0,,,
2000-03-01,BANKBARODA,EQ,46.05,44.5,49.75,44.5,49.75,49.75,49.09,246331,1209217745000.0,,,
2000-03-02,BANKBARODA,EQ,49.75,51.25,53.75,48.5,50.0,50.2,52.73,427190,2252458490000.0,,,
2000-03-03,BANKBARODA,EQ,50.2,49.4,49.4,46.2,47.0,46.85,46.99,79618,374159505000.0,,,
2000-03-06,BANKBARODA,EQ,46.85,47.9,47.9,44.0,44.25,44.4,45.45,107043,486502620000.0,,,
2000-03-07,BANKBARODA,EQ,44.4,44.0,44.0,41.0,43.75,43.0,42.77,102839,439797025000.0,,,
2000-03-08,BANKBARODA,EQ,43.0,43.75,44.4,39.6,40.4,39.8,40.54,274324,1112224650000.0,,,
2000-03-09,BANKBARODA,EQ,39.8,41.0,41.9,39.75,40.5,40.2,40.5,76632,310342455000.0,,,
2000-03-10,BANKBARODA,EQ,40.2,40.75,41.0,39.8,40.0,40.4,40.13,456389,1831399710000.0002,,,
2000-03-13,BANKBARODA,EQ,40.4,41.15,43.0,39.5,39.5,40.0,40.76,447357,1823424875000.0,,,
2000-03-14,BANKBARODA,EQ,40.0,38.2,40.9,38.1,39.8,40.2,39.94,247886,990169740000.0,,,
2000-03-15,BANKBARODA,EQ,40.2,42.95,43.45,41.9,43.45,43.45,43.06,67718,291570115000.0,,,
2000-03-16,BANKBARODA,EQ,43.45,46.9,46.95,45.2,46.95,46.55,46.18,132583,612204385000.0,,,
2000-03-21,BANKBARODA,EQ,46.55,47.9,48.5,45.2,47.35,47.55,47.34,161182,762961335000.0,,,
2000-03-22,BANKBARODA,EQ,47.55,48.9,50.0,47.15,49.25,49.6,48.67,139072,676851195000.0,,,
2000-03-23,BANKBARODA,EQ,49.6,49.0,49.85,46.6,46.6,46.8,47.54,54170,257531550000.0,,,
2000-03-24,BANKBARODA,EQ,46.8,45.9,46.7,44.75,46.6,46.5,45.58,41100,187332375000.0,,,
2000-03-27,BANKBARODA,EQ,46.5,47.25,47.25,44.1,44.25,44.45,45.05,26268,118324795000.0,,,
2000-03-28,BANKBARODA,EQ,44.45,44.6,45.85,43.0,44.4,44.0,44.37,57588,255537050000.0,,,
2000-03-29,BANKBARODA,EQ,44.0,46.0,46.0,44.7,45.0,45.05,45.3,22400,101464600000.0,,,
2000-03-30,BANKBARODA,EQ,45.05,46.0,46.0,44.0,45.6,45.3,44.65,20165,90033850000.0,,,
2000-03-31,BANKBARODA,EQ,45.3,45.9,46.9,44.25,46.0,46.0,45.65,38653,176437100000.0,,,
2000-04-03,BANKBARODA,EQ,46.0,48.9,49.7,47.0,47.0,47.4,48.34,60201,290991320000.0,,,
2000-04-04,BANKBARODA,EQ,47.4,45.5,46.4,43.65,43.65,43.65,43.98,74854,329187875000.0,,,
2000-04-05,BANKBARODA,EQ,43.65,44.0,45.95,42.25,44.35,44.6,44.61,34617,154433135000.0,,,
2000-04-06,BANKBARODA,EQ,44.6,44.1,45.25,41.05,43.0,42.3,41.46,287241,1190804645000.0,,,
2000-04-07,BANKBARODA,EQ,42.3,44.45,44.5,40.9,41.9,41.4,41.96,518468,2175599525000.0,,,
2000-04-10,BANKBARODA,EQ,41.4,42.5,42.5,41.05,41.5,41.45,41.84,244470,1022807519999.9999,,,
2000-04-11,BANKBARODA,EQ,41.45,40.3,41.3,40.0,41.05,40.75,40.63,217060,881933194999.9999,,,
2000-04-12,BANKBARODA,EQ,40.75,42.4,42.4,40.8,40.8,41.0,41.46,203921,845536619999.9999,,,
2000-04-13,BANKBARODA,EQ,41.0,39.9,40.75,39.05,40.2,40.15,39.93,209057,834697535000.0,,,
2000-04-17,BANKBARODA,EQ,40.15,38.25,40.0,38.0,39.75,39.85,39.36,71803,282618465000.0,,,
2000-04-18,BANKBARODA,EQ,39.85,40.0,40.6,39.55,39.9,39.9,40.09,125239,502110945000.0,,,
2000-04-19,BANKBARODA,EQ,39.9,41.4,41.5,40.3,40.8,40.8,40.81,56837,231939040000.0,,,
2000-04-20,BANKBARODA,EQ,40.8,40.45,40.5,39.5,40.2,40.1,40.0,77804,311252560000.0,,,
2000-04-24,BANKBARODA,EQ,40.1,40.5,40.75,39.45,40.5,40.45,40.17,70763,284254110000.0,,,
2000-04-25,BANKBARODA,EQ,40.45,40.0,40.35,39.15,39.75,40.0,39.89,105038,419047565000.0,,,
2000-04-26,BANKBARODA,EQ,40.0,38.0,40.4,36.5,40.2,40.2,39.41,251515,991211305000.0001,,,
2000-04-27,BANKBARODA,EQ,40.2,39.5,40.5,38.55,38.75,38.8,39.05,140818,549865535000.0,,,
2000-04-28,BANKBARODA,EQ,38.8,39.0,39.8,38.25,38.4,38.45,38.6,112399,433830755000.0,,,
2000-05-02,BANKBARODA,EQ,38.45,39.15,39.45,36.95,37.85,37.5,37.48,109301,409708840000.0,,,
2000-05-03,BANKBARODA,EQ,37.5,37.9,37.9,36.5,37.25,37.05,37.22,114536,426310390000.00006,,,
2000-05-04,BANKBARODA,EQ,37.05,37.35,38.0,37.25,37.55,37.65,37.6,52413,197071620000.0,,,
2000-05-05,BANKBARODA,EQ,37.65,38.45,39.0,37.25,38.5,38.4,38.17,91692,350014290000.0,,,
2000-05-08,BANKBARODA,EQ,38.4,39.8,39.9,37.7,38.15,38.25,38.4,68921,264628170000.00003,,,
2000-05-09,BANKBARODA,EQ,38.25,38.15,39.25,37.6,39.25,38.75,38.35,68906,264253435000.0,,,
2000-05-10,BANKBARODA,EQ,38.75,38.1,38.9,38.05,38.25,38.25,38.41,23229,89230240000.0,,,
2000-05-11,BANKBARODA,EQ,38.25,38.5,38.5,37.5,37.75,37.65,37.93,42640,161731550000.0,,,
