Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,BEL,EQ,80.9,87.4,87.4,87.4,87.4,87.4,87.4,164300,1435982000000.0,,,
2000-01-04,BEL,EQ,87.4,94.4,94.4,90.4,94.4,94.4,93.89,255400,2397895000000.0,,,
2000-01-05,BEL,EQ,94.4,94.0,101.95,88.0,101.95,101.1,98.8,566700,5599082000000.0,,,
2000-01-06,BEL,EQ,101.1,109.15,109.2,109.15,109.2,109.2,109.19,52800,576529500000.0,,,
2000-01-07,BEL,EQ,109.2,117.0,117.9,101.25,113.0,111.85,110.26,505300,5571628000000.0,,,
2000-01-10,BEL,EQ,111.85,116.5,120.3,114.0,119.75,118.55,117.76,394100,4641097500000.0,,,
2000-01-11,BEL,EQ,118.55,122.9,123.0,109.1,109.1,109.1,113.87,560700,6384841000000.0,,,
2000-01-12,BEL,EQ,109.1,112.0,114.45,102.6,102.6,104.25,108.79,291700,3173267500000.0,,,
2000-01-13,BEL,EQ,104.25,103.0,104.65,95.95,95.95,96.0,100.2,164900,1652319000000.0,,,
2000-01-14,BEL,EQ,96.0,94.95,101.5,88.5,98.55,98.5,92.5,347500,3214488000000.0,,,
2000-01-17,BEL,EQ,98.5,102.0,104.95,94.15,98.05,97.9,99.08,286400,2837671000000.0,,,
2000-01-18,BEL,EQ,97.9,97.1,99.7,95.05,97.5,97.75,97.19,203200,1974977500000.0,,,
2000-01-19,BEL,EQ,97.75,100.8,105.6,99.25,103.9,104.35,103.48,336800,3485085500000.0,,,
2000-01-20,BEL,EQ,104.35,104.0,105.8,96.75,98.2,97.55,101.25,196100,1985436000000.0,,,
2000-01-21,BEL,EQ,97.55,96.05,100.0,95.25,96.4,96.2,97.43,169800,1654430500000.0,,,
2000-01-24,BEL,EQ,96.2,101.8,103.9,101.8,103.9,103.9,103.88,139600,1450231000000.0,,,
2000-01-25,BEL,EQ,103.9,105.4,112.25,105.1,112.25,112.25,110.39,549500,6065738500000.0,,,
2000-01-27,BEL,EQ,112.25,116.0,121.25,116.0,121.25,121.25,120.51,164900,1987250000000.0,,,
2000-01-28,BEL,EQ,121.25,130.45,130.95,115.2,128.7,129.9,125.2,812900,10177855500000.0,,,
2000-01-31,BEL,EQ,129.9,131.55,134.95,119.55,119.6,121.75,127.23,576000,7328181000000.0,,,
2000-02-01,BEL,EQ,121.75,120.0,131.5,119.1,131.0,130.25,125.97,454300,5722993500000.0,,,
2000-02-02,BEL,EQ,130.25,140.25,140.7,133.0,140.7,140.65,138.75,632000,8768730500000.0,,,
2000-02-03,BEL,EQ,140.65,146.8,149.0,140.0,143.5,143.05,143.84,374500,5386890000000.0,,,
2000-02-04,BEL,EQ,143.05,144.0,152.85,136.5,147.0,148.35,146.43,576300,8438722500000.0,,,
2000-02-07,BEL,EQ,148.35,149.95,150.0,142.0,143.1,143.45,146.86,453400,6658414000000.0,,,
2000-02-08,BEL,EQ,143.45,143.0,144.85,135.0,136.0,136.6,138.36,358900,4965717500000.0,,,
2000-02-09,BEL,EQ,136.6,135.0,141.9,131.25,131.95,132.6,136.2,248300,3381825000000.0,,,
2000-02-10,BEL,EQ,132.6,130.0,132.0,124.25,130.0,128.4,127.79,140100,1790352500000.0,,,
2000-02-11,BEL,EQ,128.4,132.0,135.0,124.1,125.0,125.4,127.66,135000,1723358000000.0,,,
2000-02-14,BEL,EQ,125.4,121.75,124.8,118.25,122.55,122.85,121.69,179000,2178173000000.0,,,
2000-02-15,BEL,EQ,122.85,122.7,132.7,119.0,132.7,132.7,129.04,441000,5690839000000.0,,,
2000-02-16,BEL,EQ,132.7,142.9,143.0,125.0,128.0,127.85,131.65,337900,4448579000000.0,,,
2000-02-17,BEL,EQ,127.85,127.9,134.0,124.15,127.15,127.8,129.47,251200,3252256000000.0,,,
2000-02-18,BEL,EQ,127.8,128.0,130.0,117.6,119.5,118.1,119.61,236200,2825190500000.0,,,
2000-02-21,BEL,EQ,118.1,118.0,121.8,113.1,118.25,118.5,117.27,202200,2371111500000.0,,,
2000-02-22,BEL,EQ,118.5,119.9,119.95,109.05,109.7,109.35,110.6,281600,3114374500000.0,,,
2000-02-23,BEL,EQ,109.35,114.0,114.85,100.6,100.6,100.6,107.96,237200,2560726500000.0,,,
2000-02-24,BEL,EQ,100.6,101.0,104.2,95.3,98.2,98.5,100.45,116600,1171215000000.0,,,
2000-02-25,BEL,EQ,98.5,102.5,102.9,90.65,91.0,90.9,92.89,98500,914974500000.0,,,
2000-02-28,BEL,EQ,90.9,92.9,98.2,91.5,97.0,97.7,97.61,270900,2644120000000.0,,,
2000-02-29,BEL,EQ,97.7,100.0,105.0,89.9,89.9,90.4,99.26,542400,5383975500000.0,,,
2000-03-01,BEL,EQ,90.4,96.8,97.65,90.0,97.65,97.65,95.6,175700,1679716500000.0,,,
2000-03-02,BEL,EQ,97.65,102.25,105.5,98.0,100.25,101.5,103.57,336100,3481060500000.0,,,
2000-03-03,BEL,EQ,101.5,99.0,99.0,93.4,93.4,93.4,93.58,120100,1123905000000.0,,,
2000-03-06,BEL,EQ,93.4,93.4,98.0,86.0,88.35,88.0,91.01,133100,1211400500000.0,,,
2000-03-07,BEL,EQ,88.0,88.0,88.0,81.0,81.0,81.0,81.91,130300,1067296500000.0,,,
2000-03-08,BEL,EQ,81.0,83.0,83.0,74.55,74.55,74.55,77.0,148200,1141166500000.0,,,
2000-03-09,BEL,EQ,74.55,71.1,75.7,68.6,70.5,70.25,70.28,124000,871492500000.0,,,
2000-03-10,BEL,EQ,70.25,70.6,75.9,69.05,75.9,75.9,73.2,71200,521209500000.0,,,
2000-03-13,BEL,EQ,75.9,81.4,81.4,70.0,71.05,71.5,74.61,224300,1673559500000.0,,,
2000-03-14,BEL,EQ,71.5,72.0,75.0,67.0,68.15,68.95,70.8,297900,2109027500000.0,,,
2000-03-15,BEL,EQ,68.95,71.45,74.0,70.0,71.75,72.2,71.97,137000,985938500000.0,,,
2000-03-16,BEL,EQ,72.2,73.5,73.5,66.45,66.45,66.7,68.66,97300,668077500000.0,,,
2000-03-21,BEL,EQ,66.7,65.25,70.5,61.5,62.9,62.35,65.57,179900,1179558000000.0,,,
2000-03-22,BEL,EQ,62.35,65.85,67.35,64.5,67.35,67.3,66.61,137300,914530000000.0,,,
2000-03-23,BEL,EQ,67.3,68.9,69.7,63.05,63.35,63.8,65.7,77000,505904000000.0,,,
2000-03-24,BEL,EQ,63.8,62.0,63.8,58.7,61.25,61.05,60.39,95700,577906000000.0,,,
2000-03-27,BEL,EQ,61.05,61.6,61.65,57.0,57.05,57.65,59.59,97200,579208500000.0,,,
2000-03-28,BEL,EQ,57.65,60.5,60.5,55.55,59.5,57.9,57.54,129300,743975000000.0,,,
2000-03-29,BEL,EQ,57.9,60.9,62.55,59.6,62.55,62.55,61.46,74300,456655000000.0,,,
2000-03-30,BEL,EQ,62.55,67.55,67.55,62.3,64.75,64.5,64.77,126400,818740000000.0,,,
2000-03-31,BEL,EQ,64.5,63.05,63.5,60.3,60.85,60.8,61.28,111800,685121000000.0,,,
2000-04-03,BEL,EQ,60.8,64.0,65.7,61.1,65.7,65.7,63.47,123100,781304000000.0,,,
2000-04-04,BEL,EQ,65.7,62.0,64.45,60.45,60.45,60.45,60.73,172300,1046379500000.0,,,
2000-04-05,BEL,EQ,60.45,57.1,65.3,56.1,65.3,65.3,62.41,224500,1401122000000.0,,,
2000-04-06,BEL,EQ,65.3,69.8,70.5,60.5,64.0,64.0,65.06,256600,1669417000000.0,,,
2000-04-07,BEL,EQ,64.0,67.0,69.15,66.0,69.15,69.15,67.76,131400,890408000000.0,,,
2000-04-10,BEL,EQ,69.15,74.7,74.7,74.7,74.7,74.7,74.7,9200,68724000000.0,,,
2000-04-11,BEL,EQ,74.7,80.6,80.7,69.0,80.7,80.7,75.89,210100,1594362500000.0,,,
2000-04-12,BEL,EQ,80.7,86.9,87.2,81.5,85.5,86.85,84.99,374600,3183836500000.0,,,
2000-04-13,BEL,EQ,86.85,85.0,85.0,79.9,80.3,80.05,81.23,191700,1557093500000.0,,,
2000-04-17,BEL,EQ,80.05,77.25,79.9,73.65,74.5,74.35,75.4,179800,1355669000000.0,,,
2000-04-18,BEL,EQ,74.35,79.0,80.3,79.0,80.3,80.3,80.29,65300,524279000000.0,,,
2000-04-19,BEL,EQ,80.3,86.75,86.75,79.0,83.85,83.4,84.76,475600,4031121500000.0,,,
2000-04-20,BEL,EQ,83.4,89.4,89.4,76.75,88.25,88.15,81.6,424900,3467317500000.0,,,
2000-04-24,BEL,EQ,88.15,88.9,95.0,86.1,94.7,94.25,91.84,475400,4366196500000.0,,,
2000-04-25,BEL,EQ,94.25,90.0,91.65,86.75,86.75,87.4,87.99,293400,2581672500000.0,,,
2000-04-26,BEL,EQ,87.4,92.0,93.4,88.6,91.2,92.25,91.14,279500,2547443500000.0,,,
2000-04-27,BEL,EQ,92.25,89.05,90.0,84.9,84.9,84.9,86.19,75300,649031500000.0,,,
2000-04-28,BEL,EQ,84.9,79.0,82.7,78.15,78.15,78.15,79.28,59700,473313500000.0,,,
2000-05-02,BEL,EQ,78.15,78.15,78.15,68.8,68.8,68.8,69.97,171400,1199219500000.0,,,
2000-05-03,BEL,EQ,68.8,68.0,71.25,63.35,69.2,69.05,67.97,153300,1042030000000.0,,,
2000-05-04,BEL,EQ,69.05,70.9,74.0,69.95,72.05,72.05,72.24,110400,797517000000.0,,,
2000-05-05,BEL,EQ,72.05,72.0,76.0,71.0,74.1,75.35,74.01,120100,888915500000.0,,,
2000-05-08,BEL,EQ,75.35,75.85,77.0,70.3,70.3,70.75,73.92,86100,636448500000.0,,,
2000-05-09,BEL,EQ,70.75,69.1,72.5,68.0,72.5,71.3,70.21,86500,607343000000.0,,,
2000-05-10,BEL,EQ,71.3,72.05,73.8,70.5,71.75,71.65,72.16,61000,440178000000.0,,,
2000-05-11,BEL,EQ,71.65,66.2,70.2,66.2,68.25,68.35,69.09,41600,287434000000.0,,,
2000-05-12,BEL,EQ,68.35,69.25,69.6,63.5,63.5,64.0,65.94,67300,443789500000.0,,,
2000-05-15,BEL,EQ,64.0,65.0,65.0,59.0,63.35,64.3,61.93,87500,541925000000.0,,,
2000-05-16,BEL,EQ,64.3,63.9,65.0,61.75,62.65,62.25,62.82,66900,420281000000.0,,,
2000-05-17,BEL,EQ,62.25,64.1,66.0,63.0,64.0,63.45,64.83,76700,497242500000.0,,,
2000-05-18,BEL,EQ,63.45,61.05,64.75,61.05,63.5,63.3,63.4,30800,195265000000.0,,,
2000-05-19,BEL,EQ,63.3,61.4,64.45,61.35,62.0,62.15,62.6,51000,319265500000.0,,,
2000-05-22,BEL,EQ,62.15,62.0,62.0,59.3,59.65,59.6,60.35,40200,242612000000.0,,,
2000-05-23,BEL,EQ,59.6,59.25,60.8,58.3,59.7,59.2,59.47,65000,386583000000.0,,,
2000-05-24,BEL,EQ,59.2,59.0,61.8,59.0,60.5,61.1,60.49,46100,278867000000.0,,,
2000-05-25,BEL,EQ,61.1,61.9,65.25,61.5,62.1,62.35,63.16,76500,483202000000.0,,,
2000-05-26,BEL,EQ,62.35,62.5,65.7,59.65,63.55,64.6,62.39,124500,776793000000.0,,,
2000-05-29,BEL,EQ,64.6,65.25,72.0,63.95,71.0,70.8,68.6,105600,724364000000.0,,,
2000-05-30,BEL,EQ,70.8,71.35,76.5,71.2,76.5,75.85,74.07,117400,869599500000.0,,,
2000-05-31,BEL,EQ,75.85,79.9,81.4,73.95,74.0,74.65,77.48,166800,1292367000000.0,,,
2000-06-01,BEL,EQ,74.65,73.45,73.5,71.0,73.05,72.95,72.38,66900,484223500000.0,,,
2000-06-02,BEL,EQ,72.95,74.0,77.8,73.1,76.3,77.1,75.37,61300,462009000000.0,,,
2000-06-05,BEL,EQ,77.1,77.9,83.3,70.95,71.5,71.35,76.79,183500,1409109500000.0,,,
2000-06-06,BEL,EQ,71.35,71.1,74.7,70.25,73.1,72.75,72.79,90900,661654500000.0,,,
2000-06-07,BEL,EQ,72.75,73.5,74.0,70.1,71.05,71.1,71.98,91200,656487500000.0,,,
2000-06-08,BEL,EQ,71.1,71.85,73.95,71.05,72.0,72.2,72.46,60800,440580500000.0,,,
2000-06-09,BEL,EQ,72.2,72.9,72.9,67.6,69.5,68.85,69.75,98400,686364500000.0,,,
2000-06-12,BEL,EQ,68.85,68.0,68.5,66.25,66.8,66.6,67.17,38300,257245000000.0,,,
2000-06-13,BEL,EQ,66.6,67.0,68.4,64.0,68.0,67.45,67.08,93200,625203500000.0,,,
2000-06-14,BEL,EQ,67.45,69.9,71.5,67.0,67.45,67.55,69.36,74700,518111500000.0,,,
2000-06-15,BEL,EQ,67.55,67.35,68.45,66.6,67.0,67.35,67.38,34200,230425500000.0,,,
2000-06-16,BEL,EQ,67.35,66.8,68.7,66.45,66.5,66.8,67.65,81200,549333500000.0,,,
2000-06-19,BEL,EQ,66.8,69.95,74.85,68.0,72.75,72.55,72.07,220000,1585535000000.0,,,
2000-06-20,BEL,EQ,72.55,74.8,78.35,72.25,78.35,77.3,74.92,137200,1027861500000.0,,,
2000-06-21,BEL,EQ,77.3,83.5,83.5,75.0,75.6,75.3,78.17,188821,1476068225000.0,,,
2000-06-22,BEL,EQ,75.3,74.0,76.9,69.3,72.5,72.4,72.24,148016,1069242894999.9999,,,
2000-06-23,BEL,EQ,72.4,71.05,76.9,67.7,69.5,69.4,71.62,201646,1444180390000.0,,,
2000-06-26,BEL,EQ,69.4,67.55,69.75,65.1,69.3,69.1,68.61,63600,436373770000.0,,,
2000-06-27,BEL,EQ,69.1,69.6,72.8,68.0,68.4,68.65,70.18,176678,1239913060000.0,,,
2000-06-28,BEL,EQ,68.65,70.9,73.9,70.25,72.0,71.8,71.66,124269,890479955000.0001,,,
2000-06-29,BEL,EQ,71.8,72.3,73.1,69.1,69.6,69.55,70.56,73494,518540834999.99994,,,
2000-06-30,BEL,EQ,69.55,69.1,69.7,67.1,68.0,67.6,68.18,60010,409131410000.0,,,
2000-07-03,BEL,EQ,67.6,69.45,70.25,68.55,70.0,69.8,69.54,54003,375563565000.0,,,
2000-07-04,BEL,EQ,69.8,69.5,69.6,67.5,67.65,68.05,68.4,76973,526470009999.99994,,,
2000-07-05,BEL,EQ,68.05,69.1,70.8,68.9,69.1,69.15,69.6,60559,421460784999.99994,,,
2000-07-06,BEL,EQ,69.15,69.0,69.0,67.85,68.05,68.05,68.46,12456,85277910000.0,,,
2000-07-07,BEL,EQ,68.05,67.5,67.9,66.0,67.7,67.45,66.72,84139,561392820000.0,,,
2000-07-10,BEL,EQ,67.45,68.25,68.25,66.4,66.9,66.9,67.09,25995,174412790000.0,,,
2000-07-11,BEL,EQ,66.9,65.65,67.6,65.55,67.5,67.05,66.44,89003,591371345000.0,,,
2000-07-12,BEL,EQ,67.05,67.15,74.8,67.15,72.5,72.25,70.29,112902,793547655000.0,,,
2000-07-13,BEL,EQ,72.25,73.0,73.8,69.0,69.5,69.5,71.59,81259,581765455000.0,,,
2000-07-14,BEL,EQ,69.5,70.35,71.55,69.0,71.5,70.7,70.28,52947,372105525000.0,,,
2000-07-17,BEL,EQ,70.7,72.0,72.8,70.25,70.7,70.6,71.32,62585,446363975000.0,,,
2000-07-18,BEL,EQ,70.6,70.9,71.0,68.05,68.25,68.8,69.15,70648,488564545000.0,,,
2000-07-19,BEL,EQ,68.8,68.8,69.4,67.5,68.15,68.0,68.53,35414,242690625000.0,,,
2000-07-20,BEL,EQ,68.0,66.75,67.8,66.0,67.1,67.15,67.04,26280,176174970000.0,,,
2000-07-21,BEL,EQ,67.15,67.4,67.45,64.9,64.95,65.15,66.03,43051,284249710000.0,,,
