Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,BHEL,EQ,209.7,219.9,226.5,219.0,226.0,224.1,222.04,250560,5563399185000.0,,,
2000-01-04,BHEL,EQ,224.1,225.0,226.4,213.25,217.5,215.35,218.22,235889,5147633105000.0,,,
2000-01-05,BHEL,EQ,215.35,205.0,222.0,205.0,213.4,211.8,215.69,238715,5148896505000.0,,,
2000-01-06,BHEL,EQ,211.8,214.0,228.75,214.0,225.8,226.95,226.18,667010,15086738135000.0,,,
2000-01-07,BHEL,EQ,226.95,225.0,229.0,215.1,218.0,217.1,221.73,603282,13376699385000.0,,,
2000-01-10,BHEL,EQ,217.1,225.0,229.0,203.1,220.0,220.4,223.68,552905,12367390105000.0,,,
2000-01-11,BHEL,EQ,220.4,215.1,222.9,205.45,212.0,211.75,213.5,464451,9916103270000.0,,,
2000-01-12,BHEL,EQ,211.75,217.0,221.9,215.0,221.0,220.0,217.96,296657,6465924565000.0,,,
2000-01-13,BHEL,EQ,220.0,223.9,225.0,207.0,208.25,208.75,215.61,643419,13872611744999.998,,,
2000-01-14,BHEL,EQ,208.75,213.0,214.0,208.05,213.7,211.9,210.51,319473,6725249305000.0,,,
2000-01-17,BHEL,EQ,211.9,214.9,219.65,209.5,212.5,210.7,215.25,506233,10896645945000.0,,,
2000-01-18,BHEL,EQ,210.7,213.0,214.9,210.0,211.0,211.45,211.93,529461,11220921110000.0,,,
2000-01-19,BHEL,EQ,211.45,219.0,228.4,215.95,223.0,223.85,224.83,913154,20530089875000.0,,,
2000-01-20,BHEL,EQ,223.85,225.0,225.0,215.5,216.0,216.1,219.47,236151,5182752940000.0,,,
2000-01-21,BHEL,EQ,216.1,216.0,216.9,213.3,215.3,214.8,214.77,384706,8262240965000.001,,,
2000-01-24,BHEL,EQ,214.8,215.5,216.0,206.0,206.35,207.55,211.17,308995,6525164570000.0,,,
2000-01-25,BHEL,EQ,207.55,206.0,207.9,202.0,203.4,202.95,204.5,461529,9438449180000.0,,,
2000-01-27,BHEL,EQ,202.95,207.85,209.0,197.3,199.85,199.45,203.34,487933,9921628620000.0,,,
2000-01-28,BHEL,EQ,199.45,196.05,196.05,189.0,191.55,190.3,192.55,456783,8795190215000.001,,,
2000-01-31,BHEL,EQ,190.3,190.0,190.5,175.1,175.1,175.1,179.42,255875,4590879845000.0,,,
2000-02-01,BHEL,EQ,175.1,171.0,189.15,167.5,183.0,184.1,181.77,1173235,21326192230000.0,,,
2000-02-02,BHEL,EQ,184.1,189.9,198.85,184.0,191.9,192.1,194.09,1997302,38765505490000.0,,,
2000-02-03,BHEL,EQ,192.1,194.0,203.0,193.0,195.8,196.9,197.82,1251984,24766608045000.0,,,
2000-02-04,BHEL,EQ,196.9,196.5,199.0,183.5,185.0,185.65,189.36,1024687,19403925990000.0,,,
2000-02-07,BHEL,EQ,185.65,187.4,190.6,183.5,184.5,184.3,187.63,485717,9113379820000.0,,,
2000-02-08,BHEL,EQ,184.3,188.0,188.0,180.55,185.5,184.85,183.83,822499,15120130130000.002,,,
2000-02-09,BHEL,EQ,184.85,188.0,194.7,186.05,188.5,189.0,190.2,692525,13171790030000.0,,,
2000-02-10,BHEL,EQ,189.0,188.5,191.5,182.75,184.0,183.6,186.02,326481,6073313850000.0,,,
2000-02-11,BHEL,EQ,183.6,186.0,189.0,177.0,179.0,178.4,181.97,516115,9391981015000.0,,,
2000-02-14,BHEL,EQ,178.4,171.05,179.45,168.15,168.2,169.75,173.84,315471,5484179365000.0,,,
2000-02-15,BHEL,EQ,169.75,168.0,175.0,156.2,159.95,157.8,165.02,836251,13799717219999.998,,,
2000-02-16,BHEL,EQ,157.8,164.0,166.0,153.0,157.75,157.5,157.76,1332449,21021334895000.0,,,
2000-02-17,BHEL,EQ,157.5,157.9,163.95,155.1,156.4,157.1,159.7,540722,8635569230000.0,,,
2000-02-18,BHEL,EQ,157.1,154.5,155.3,144.55,144.55,144.95,146.88,1359041,19961080035000.0,,,
2000-02-21,BHEL,EQ,144.95,147.0,156.55,147.0,156.55,156.45,152.82,1266156,19348806175000.0,,,
2000-02-22,BHEL,EQ,156.45,159.0,159.75,147.3,149.35,148.75,151.41,1230432,18629826150000.0,,,
2000-02-23,BHEL,EQ,148.75,155.2,157.0,148.0,149.25,148.65,152.26,538199,8194734784999.999,,,
2000-02-24,BHEL,EQ,148.65,150.8,152.8,146.95,151.0,150.75,150.28,298604,4487299155000.0,,,
2000-02-25,BHEL,EQ,150.75,152.05,153.9,145.0,146.2,145.65,148.69,405633,6031275900000.0,,,
2000-02-28,BHEL,EQ,145.65,146.75,157.0,143.0,156.0,155.85,151.35,665985,10079524545000.0,,,
2000-02-29,BHEL,EQ,155.85,157.0,162.5,143.4,144.0,145.5,155.53,845920,13156862725000.0,,,
2000-03-01,BHEL,EQ,145.5,147.95,150.0,140.0,144.0,142.3,145.89,760003,11087594745000.0,,,
2000-03-02,BHEL,EQ,142.3,145.5,145.9,130.95,130.95,130.95,135.45,897540,12156958470000.0,,,
2000-03-03,BHEL,EQ,130.95,128.0,130.0,121.5,124.7,122.75,125.33,761444,9543088795000.0,,,
2000-03-06,BHEL,EQ,122.75,125.5,132.6,125.5,132.6,132.3,130.24,723214,9419216505000.0,,,
2000-03-07,BHEL,EQ,132.3,130.0,133.7,123.0,125.0,124.35,125.14,739526,9254543495000.0,,,
2000-03-08,BHEL,EQ,124.35,127.9,134.3,125.1,134.25,132.65,130.79,704513,9214599160000.0,,,
2000-03-09,BHEL,EQ,132.65,138.0,138.0,125.8,131.15,131.85,129.81,561486,7288702800000.0,,,
2000-03-10,BHEL,EQ,131.85,134.9,134.9,122.55,124.75,123.45,125.59,465510,5846135790000.0,,,
2000-03-13,BHEL,EQ,123.45,125.0,127.0,122.0,122.5,122.4,123.81,333114,4124204254999.9995,,,
2000-03-14,BHEL,EQ,122.4,123.65,129.15,121.05,125.15,125.1,124.63,881442,10985051275000.0,,,
2000-03-15,BHEL,EQ,125.1,128.0,133.65,125.0,125.7,125.75,129.19,992379,12820876740000.0,,,
2000-03-16,BHEL,EQ,125.75,125.55,127.5,122.1,123.4,123.05,124.03,519520,6443687895000.0,,,
2000-03-21,BHEL,EQ,123.05,125.85,132.9,120.15,132.9,131.8,127.76,1082800,13834131850000.0,,,
2000-03-22,BHEL,EQ,131.8,135.8,142.35,133.45,138.9,138.65,138.39,1198033,16579323919999.998,,,
2000-03-23,BHEL,EQ,138.65,139.5,139.5,130.1,131.95,131.45,133.65,588017,7858881265000.001,,,
2000-03-24,BHEL,EQ,131.45,130.1,133.9,125.3,132.2,131.65,129.28,523675,6769882150000.0,,,
2000-03-27,BHEL,EQ,131.65,132.0,134.7,130.0,131.3,131.4,132.29,405832,5368897040000.0,,,
2000-03-28,BHEL,EQ,131.4,130.85,138.5,127.6,136.1,136.3,132.72,749559,9948430645000.0,,,
2000-03-29,BHEL,EQ,136.3,144.0,144.0,132.0,132.5,132.55,133.88,263783,3531518050000.0,,,
2000-03-30,BHEL,EQ,132.55,130.3,131.5,121.95,125.1,125.25,124.45,951323,11838852740000.0,,,
2000-03-31,BHEL,EQ,125.25,123.25,128.5,120.3,125.85,125.65,125.37,776134,9730206705000.0,,,
2000-04-03,BHEL,EQ,125.65,126.3,134.35,126.2,131.0,132.75,130.41,1267955,16535355569999.998,,,
2000-04-04,BHEL,EQ,132.75,129.5,132.0,122.15,122.15,122.15,125.21,665295,8330151709999.999,,,
2000-04-05,BHEL,EQ,122.15,130.95,130.95,120.0,121.9,121.95,122.51,597503,7319947130000.0,,,
2000-04-06,BHEL,EQ,121.95,123.5,124.0,114.0,118.0,117.8,118.73,516598,6133529595000.0,,,
2000-04-07,BHEL,EQ,117.8,119.8,125.0,119.0,122.7,123.1,122.99,1318715,16219413660000.0,,,
2000-04-10,BHEL,EQ,123.1,124.5,130.2,123.0,124.9,125.55,126.95,1659736,21070816585000.0,,,
2000-04-11,BHEL,EQ,125.55,123.3,125.0,116.0,123.0,123.0,122.7,626343,7685076205000.0,,,
2000-04-12,BHEL,EQ,123.0,124.0,128.4,123.5,123.55,123.9,125.66,710860,8932387420000.0,,,
2000-04-13,BHEL,EQ,123.9,121.3,122.7,117.5,120.95,120.35,120.71,585566,7068129200000.0,,,
2000-04-17,BHEL,EQ,120.35,118.0,120.0,111.0,116.95,117.2,117.16,554811,6500164635000.0,,,
2000-04-18,BHEL,EQ,117.2,118.95,119.85,109.7,112.0,111.3,113.25,1001542,11342014555000.0,,,
2000-04-19,BHEL,EQ,111.3,114.45,114.45,102.4,102.4,102.6,106.96,1501466,16059082344999.998,,,
2000-04-20,BHEL,EQ,102.6,100.0,100.0,94.9,95.75,96.75,97.0,2162311,20973950950000.0,,,
2000-04-24,BHEL,EQ,96.75,97.7,97.75,89.05,89.05,90.3,93.28,783647,7310092555000.0,,,
2000-04-25,BHEL,EQ,90.3,85.0,94.0,83.1,93.0,92.25,87.2,1948990,16995657400000.0,,,
2000-04-26,BHEL,EQ,92.25,95.95,99.65,94.85,99.65,99.65,98.16,1427654,14014486090000.0,,,
2000-04-27,BHEL,EQ,99.65,100.9,105.0,99.0,101.8,102.8,102.49,1470878,15074921605000.002,,,
2000-04-28,BHEL,EQ,102.8,103.0,104.8,98.1,101.05,100.95,101.37,857559,8692929284999.999,,,
2000-05-02,BHEL,EQ,100.95,102.4,104.0,97.8,102.5,102.45,101.31,1582254,16030415144999.998,,,
2000-05-03,BHEL,EQ,102.45,100.0,105.9,95.0,104.3,103.75,102.61,1407657,14444113310000.0,,,
2000-05-04,BHEL,EQ,103.75,104.1,109.7,104.1,107.0,107.15,107.26,1017489,10913158000000.0,,,
2000-05-05,BHEL,EQ,107.15,107.4,111.25,106.6,110.25,109.7,109.34,1196408,13081828020000.0,,,
2000-05-08,BHEL,EQ,109.7,111.25,113.9,109.5,111.75,111.6,111.94,836424,9363164465000.0,,,
2000-05-09,BHEL,EQ,111.6,110.15,112.9,108.1,112.9,112.05,110.78,558646,6188529995000.0,,,
2000-05-10,BHEL,EQ,112.05,113.0,115.5,110.65,111.4,112.2,113.48,919731,10437207495000.0,,,
2000-05-11,BHEL,EQ,112.2,110.05,110.4,106.8,108.0,107.5,108.8,626071,6811753034999.999,,,
2000-05-12,BHEL,EQ,107.5,108.5,109.45,99.1,100.0,101.55,105.02,1146644,12042102585000.0,,,
2000-05-15,BHEL,EQ,101.55,100.9,103.5,97.9,102.8,102.7,101.18,625217,6325946575000.0,,,
