Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,MICO,EQ,5121.0,5200.0,5265.0,5101.0,5155.0,5155.0,5188.78,90,46699000000.0,,,
2000-01-04,MICO,EQ,5155.0,5020.0,5151.0,5020.0,5150.0,5150.5,5093.06,160,81489000000.0,,,
2000-01-05,MICO,EQ,5150.5,5100.0,5100.0,5050.0,5060.0,5058.35,5059.16,170,86005750000.0,,,
2000-01-06,MICO,EQ,5058.35,5098.0,5400.0,5098.0,5190.0,5173.5,5154.29,155,79891500000.0,,,
2000-01-07,MICO,EQ,5173.5,5051.0,5230.0,5051.0,5150.0,5154.6,5165.93,225,116233500000.0,,,
2000-01-10,MICO,EQ,5154.6,5200.0,5200.0,5102.0,5149.0,5149.0,5153.31,200,103066250000.0,,,
2000-01-11,MICO,EQ,5149.0,5195.0,5195.0,5001.0,5080.0,5013.35,5067.1,245,124144000000.0,,,
2000-01-12,MICO,EQ,5013.35,5085.0,5100.0,5000.0,5000.0,5007.6,5031.37,95,47798000000.0,,,
2000-01-13,MICO,EQ,5007.6,5150.0,5150.0,5099.0,5100.0,5100.0,5115.22,90,46037000000.0,,,
2000-01-14,MICO,EQ,5100.0,5100.0,5150.0,5100.0,5100.0,5100.0,5126.15,265,135843000000.0,,,
2000-01-17,MICO,EQ,5100.0,5050.0,5050.0,5050.0,5050.0,5050.0,5050.0,15,7575000000.0,,,
2000-01-18,MICO,EQ,5050.0,4900.0,5000.0,4900.0,4901.1,4901.15,4912.01,420,206304275000.0,,,
2000-01-19,MICO,EQ,4901.15,5090.0,5090.0,5090.0,5090.0,5090.0,5090.0,5,2545000000.0,,,
2000-01-20,MICO,EQ,5090.0,4951.0,5069.0,4951.0,4976.0,4976.0,5009.78,1010,505988000000.0,,,
2000-01-21,MICO,EQ,4976.0,4899.0,4975.0,4899.0,4975.0,4975.0,4914.4,25,12286000000.0,,,
2000-01-24,MICO,EQ,4975.0,5000.0,5000.0,4920.0,4920.0,4923.65,4984.25,1030,513377500000.0,,,
2000-01-25,MICO,EQ,4923.65,4950.0,4955.0,4950.0,4955.0,4951.0,4950.56,90,44555000000.0,,,
2000-01-27,MICO,EQ,4951.0,5000.0,5000.0,4900.0,4925.0,4925.0,4926.77,90,44340950000.0,,,
2000-01-28,MICO,EQ,4925.0,4925.0,4925.0,4910.0,4910.0,4913.75,4918.91,115,56567500000.0,,,
2000-01-31,MICO,EQ,4913.75,4751.0,4751.0,4650.0,4742.0,4742.0,4733.97,1250,591746050000.0,,,
2000-02-01,MICO,EQ,4742.0,4675.0,4740.0,4600.0,4740.0,4736.4,4730.9,2090,988758525000.0,,,
2000-02-02,MICO,EQ,4736.4,4750.0,4750.0,4605.0,4650.0,4649.65,4647.78,45,20915000000.0,,,
2000-02-03,MICO,EQ,4649.65,4899.0,5021.0,4730.0,4740.0,4740.0,4841.61,230,111357000000.0,,,
2000-02-04,MICO,EQ,4740.0,4751.0,4845.0,4751.0,4761.0,4761.0,4792.78,95,45531450000.0,,,
2000-02-07,MICO,EQ,4761.0,4705.0,4800.0,4700.0,4778.0,4777.95,4777.39,1970,941146500000.0,,,
2000-02-08,MICO,EQ,4777.95,4725.0,4770.0,4650.0,4735.0,4717.5,4705.22,125,58815300000.0,,,
2000-02-09,MICO,EQ,4717.5,4735.0,4750.0,4700.0,4700.0,4700.0,4714.89,225,106085025000.0,,,
2000-02-10,MICO,EQ,4700.0,4699.0,4700.0,4675.0,4700.0,4700.0,4697.92,65,30536500000.0,,,
2000-02-11,MICO,EQ,4700.0,4700.0,4800.0,4700.0,4800.0,4800.0,4760.0,25,11900000000.0,,,
2000-02-14,MICO,EQ,4800.0,4725.0,4725.0,4453.0,4453.0,4453.0,4602.23,1230,566074500000.0,,,
2000-02-15,MICO,EQ,4453.0,4440.0,4600.0,4400.0,4401.0,4430.65,4470.71,70,31295000000.0,,,
2000-02-16,MICO,EQ,4430.65,4452.0,4649.0,4452.0,4499.0,4499.0,4549.67,2045,930407000000.0,,,
2000-02-17,MICO,EQ,4499.0,4400.0,4470.0,4395.0,4400.0,4400.0,4401.5,155,68223200000.0,,,
2000-02-18,MICO,EQ,4400.0,4400.0,4400.0,4300.0,4300.0,4300.0,4328.56,45,19478500000.0,,,
2000-02-21,MICO,EQ,4300.0,4160.0,4268.0,4001.0,4010.0,4002.3,4100.41,2280,934892500000.0,,,
2000-02-22,MICO,EQ,4002.3,3901.0,4100.0,3900.05,3980.0,3991.25,3987.97,2305,919226650000.0,,,
2000-02-23,MICO,EQ,3991.25,3980.0,4100.0,3900.0,3941.0,3970.5,4003.32,315,126104500000.0,,,
2000-02-24,MICO,EQ,3970.5,3828.0,3975.0,3828.0,3900.0,3900.0,3908.22,45,17587000000.0,,,
2000-02-25,MICO,EQ,3900.0,3800.0,3945.0,3800.0,3855.0,3855.0,3910.69,80,31285500000.0,,,
2000-02-28,MICO,EQ,3855.0,3700.0,3800.0,3700.0,3750.0,3750.0,3727.17,325,121133000000.0,,,
2000-02-29,MICO,EQ,3750.0,3800.0,3900.0,3700.0,3810.0,3816.15,3813.16,160,61010500000.0,,,
2000-03-01,MICO,EQ,3816.15,3999.0,4045.0,3999.0,4045.0,4042.5,4013.83,30,12041500000.0,,,
2000-03-02,MICO,EQ,4042.5,4360.0,4360.0,3850.0,3899.0,3858.35,4000.43,185,74008000000.0,,,
2000-03-03,MICO,EQ,3858.35,3602.0,3800.0,3601.0,3750.0,3750.0,3735.47,95,35487000000.0,,,
2000-03-06,MICO,EQ,3750.0,3925.0,3925.0,3560.0,3575.0,3572.5,3610.0,165,59565000000.0,,,
2000-03-07,MICO,EQ,3572.5,3375.05,3650.0,3350.0,3350.0,3350.05,3411.87,290,98944350000.0,,,
2000-03-08,MICO,EQ,3350.05,3265.05,3310.0,3200.0,3202.0,3250.95,3271.94,235,76890575000.0,,,
2000-03-09,MICO,EQ,3250.95,3160.0,3200.0,3155.0,3200.0,3200.0,3172.75,60,19036500000.0,,,
2000-03-10,MICO,EQ,3200.0,3455.0,3456.0,3200.0,3300.0,3280.1,3265.85,860,280863500000.0,,,
2000-03-13,MICO,EQ,3280.1,3540.0,3542.5,3250.0,3299.95,3287.5,3438.15,1295,445240850000.0,,,
2000-03-14,MICO,EQ,3287.5,3200.05,3300.0,3200.0,3280.0,3281.25,3276.86,745,244126050000.0,,,
2000-03-15,MICO,EQ,3281.25,3300.0,3300.0,3030.0,3100.0,3110.25,3184.15,3865,1230674650000.0,,,
2000-03-16,MICO,EQ,3110.25,3250.0,3352.0,3180.0,3200.0,3197.35,3280.42,1220,400211725000.0,,,
2000-03-21,MICO,EQ,3197.35,3453.15,3453.15,3453.15,3453.15,3453.15,3453.15,205,70789575000.0,,,
2000-03-22,MICO,EQ,3453.15,3729.4,3729.4,3729.4,3729.4,3729.4,3729.4,250,93235000000.0,,,
2000-03-23,MICO,EQ,3729.4,4025.0,4027.75,3800.0,3850.0,3819.25,3874.58,2290,887278200000.0,,,
2000-03-24,MICO,EQ,3819.25,3900.0,3900.0,3800.0,3830.0,3851.25,3824.18,720,275340900000.0,,,
2000-03-27,MICO,EQ,3851.25,3910.0,3910.0,3800.0,3815.0,3815.0,3820.7,305,116531200000.0,,,
2000-03-28,MICO,EQ,3815.0,3650.05,3802.05,3650.0,3800.0,3761.85,3787.5,1635,619257000000.0,,,
2000-03-29,MICO,EQ,3761.85,3810.0,3850.0,3801.0,3804.0,3804.0,3811.52,105,40021000000.0,,,
2000-03-30,MICO,EQ,3804.0,3790.0,3790.0,3701.0,3736.0,3734.65,3754.07,70,26278500000.0,,,
2000-03-31,MICO,EQ,3734.65,3737.0,3796.0,3700.0,3750.0,3737.0,3724.12,215,80068500000.0,,,
2000-04-03,MICO,EQ,3737.0,3710.0,3710.0,3575.0,3575.0,3575.0,3623.04,380,137675500000.0,,,
2000-04-04,MICO,EQ,3575.0,3350.0,3500.0,3350.0,3403.0,3396.9,3408.55,480,163610325000.0,,,
2000-04-05,MICO,EQ,3396.9,3450.0,3450.0,3350.0,3419.0,3419.0,3393.07,340,115364500000.0,,,
2000-04-06,MICO,EQ,3419.0,3390.0,3400.0,3390.0,3400.0,3391.25,3391.25,40,13565000000.0,,,
2000-04-07,MICO,EQ,3391.25,3425.0,3570.0,3400.0,3535.0,3524.2,3493.98,1215,424518000000.0,,,
2000-04-10,MICO,EQ,3524.2,3610.1,3710.0,3600.55,3650.0,3690.1,3643.35,230,83797075000.0,,,
2000-04-11,MICO,EQ,3690.1,3699.0,3739.0,3621.0,3650.0,3639.1,3660.27,535,195824700000.0,,,
2000-04-12,MICO,EQ,3639.1,3699.95,3749.0,3679.0,3700.0,3700.0,3690.4,1385,511120075000.0,,,
2000-04-13,MICO,EQ,3700.0,3781.0,3849.95,3680.0,3752.05,3765.4,3735.7,375,140088900000.0,,,
2000-04-17,MICO,EQ,3765.4,3650.0,3799.0,3650.0,3799.0,3797.8,3732.08,415,154881350000.0,,,
2000-04-18,MICO,EQ,3797.8,3712.0,3800.0,3712.0,3795.0,3767.55,3762.95,675,253999300000.0,,,
2000-04-19,MICO,EQ,3767.55,3800.0,3800.0,3780.0,3800.0,3792.2,3796.84,445,168959450000.0,,,
2000-04-20,MICO,EQ,3792.2,3700.0,3744.9,3605.0,3744.9,3744.9,3653.76,390,142496650000.0,,,
2000-04-24,MICO,EQ,3744.9,3675.0,3698.9,3631.0,3688.0,3676.7,3666.28,420,153983675000.0,,,
2000-04-25,MICO,EQ,3676.7,3606.0,3635.0,3515.05,3585.0,3547.25,3583.86,530,189944475000.0,,,
2000-04-26,MICO,EQ,3547.25,3590.0,3700.0,3590.0,3700.0,3699.0,3681.53,75,27611500000.0,,,
2000-04-27,MICO,EQ,3699.0,3700.0,3725.0,3541.05,3676.85,3660.75,3670.01,115,42205150000.0,,,
2000-04-28,MICO,EQ,3660.75,3730.0,3730.0,3650.05,3699.95,3691.95,3694.03,400,147761125000.0,,,
2000-05-02,MICO,EQ,3691.95,3705.0,3705.0,3650.0,3690.0,3690.0,3674.98,230,84524500000.0,,,
2000-05-03,MICO,EQ,3690.0,3600.1,3678.0,3545.0,3665.0,3665.0,3616.77,465,168179850000.0,,,
2000-05-04,MICO,EQ,3665.0,3712.0,3736.0,3690.0,3730.0,3732.0,3718.88,40,14875500000.0,,,
2000-05-05,MICO,EQ,3732.0,3750.0,3780.0,3750.0,3765.0,3772.45,3770.42,180,67867500000.0,,,
2000-05-08,MICO,EQ,3772.45,3825.0,3825.0,3750.0,3750.0,3753.65,3764.49,125,47056075000.0,,,
2000-05-09,MICO,EQ,3753.65,3740.0,3790.0,3727.0,3749.0,3738.0,3750.42,65,24377750000.0,,,
2000-05-10,MICO,EQ,3738.0,3798.9,3798.9,3760.3,3760.3,3760.3,3779.6,20,7559200000.0,,,
2000-05-11,MICO,EQ,3760.3,3730.25,3740.0,3730.1,3730.1,3730.1,3731.6,50,18657975000.0,,,
2000-05-12,MICO,EQ,3730.1,3725.05,3726.0,3681.5,3681.5,3681.5,3706.18,60,22237050000.0,,,
2000-05-15,MICO,EQ,3681.5,3660.0,3750.0,3660.0,3702.0,3702.0,3733.24,245,91464450000.0,,,
2000-05-16,MICO,EQ,3702.0,3725.0,3823.0,3725.0,3800.0,3783.35,3782.42,130,49171450000.0,,,
2000-05-17,MICO,EQ,3783.35,3835.0,3840.0,3775.0,3775.0,3790.2,3817.72,70,26724050000.0,,,
2000-05-18,MICO,EQ,3790.2,3765.0,3799.0,3760.5,3760.5,3760.5,3780.06,45,17010250000.0,,,
2000-05-19,MICO,EQ,3760.5,3625.0,3799.95,3625.0,3799.95,3799.95,3774.95,50,18874750000.0,,,
2000-05-22,MICO,EQ,3799.95,3749.95,3775.0,3733.05,3770.0,3764.0,3748.03,285,106818825000.0,,,
2000-05-23,MICO,EQ,3764.0,3660.0,3800.0,3611.0,3700.0,3691.45,3692.05,515,190140425000.0,,,
2000-05-24,MICO,EQ,3691.45,3700.15,3700.15,3700.15,3700.15,3700.15,3700.15,25,9250375000.0,,,
2000-05-25,MICO,EQ,3700.15,3770.0,3799.0,3700.15,3794.95,3794.95,3766.34,175,65911025000.0,,,
2000-05-26,MICO,EQ,3794.95,3725.0,3784.95,3725.0,3730.0,3749.0,3744.0,65,24335975000.0,,,
2000-05-29,MICO,EQ,3749.0,3749.95,3790.0,3736.0,3790.0,3787.5,3773.91,635,239643500000.0,,,
2000-05-30,MICO,EQ,3787.5,3770.0,3840.0,3761.0,3805.0,3805.0,3819.64,360,137507175000.0,,,
2000-05-31,MICO,EQ,3805.0,3885.0,3900.0,3812.0,3830.0,3830.0,3841.64,315,121011525000.0,,,
2000-06-01,MICO,EQ,3830.0,3873.0,3873.95,3825.0,3833.0,3833.0,3853.98,105,40466800000.0,,,
2000-06-02,MICO,EQ,3833.0,3812.0,3812.0,3781.05,3781.05,3786.6,3793.31,120,45519775000.0,,,
2000-06-05,MICO,EQ,3786.6,3950.0,3950.0,3880.0,3880.0,3880.0,3886.2,125,48577500000.0,,,
2000-06-06,MICO,EQ,3880.0,3800.0,3970.0,3785.0,3800.0,3797.0,3816.59,80,30532700000.0,,,
2000-06-07,MICO,EQ,3797.0,3750.0,3800.0,3750.0,3800.0,3800.0,3787.5,20,7575000000.0,,,
