Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-04-27,CADILAHC,EQ,250.0,170.0,178.95,126.6,129.0,130.15,146.64,794500,11650740500000.0,,,
2000-04-28,CADILAHC,EQ,130.15,130.15,134.9,119.75,119.75,119.75,121.33,270450,3281442500000.0,,,
2000-05-02,CADILAHC,EQ,119.75,112.5,112.5,110.2,110.2,110.2,110.4,56000,618217750000.0,,,
2000-05-03,CADILAHC,EQ,110.2,101.6,119.0,101.4,107.0,102.9,102.45,680700,6973460250000.0,,,
2000-05-04,CADILAHC,EQ,102.9,108.7,111.15,108.7,111.15,111.15,111.04,441550,4903158500000.0,,,
2000-05-05,CADILAHC,EQ,111.15,119.95,120.05,115.0,120.05,120.05,119.92,169900,2037429500000.0,,,
2000-05-08,CADILAHC,EQ,120.05,129.65,129.65,129.65,129.65,129.65,129.65,17800,230777000000.0,,,
2000-05-09,CADILAHC,EQ,129.65,140.05,140.05,121.15,140.05,140.05,137.41,507800,6977708250000.0,,,
2000-05-10,CADILAHC,EQ,140.05,148.0,151.25,144.0,151.25,151.25,150.15,173650,2607395750000.0,,,
2000-05-11,CADILAHC,EQ,151.25,160.0,163.35,143.2,163.0,161.55,158.3,831500,13162955500000.0,,,
2000-05-12,CADILAHC,EQ,161.55,167.95,172.0,152.0,154.55,154.05,161.69,413950,6693046750000.0,,,
2000-05-15,CADILAHC,EQ,154.05,151.0,166.05,141.75,163.3,163.25,156.1,438350,6842476250000.0,,,
2000-05-16,CADILAHC,EQ,163.25,164.5,168.0,155.0,164.0,163.25,163.16,259450,4233174000000.0,,,
2000-05-17,CADILAHC,EQ,163.25,166.0,170.9,163.0,166.0,165.55,167.5,248250,4158258750000.0,,,
2000-05-18,CADILAHC,EQ,165.55,165.0,167.7,155.05,158.6,157.75,159.97,256450,4102467250000.0,,,
2000-05-19,CADILAHC,EQ,157.75,156.0,170.4,153.3,168.4,168.1,165.83,666050,11044974750000.0,,,
2000-05-22,CADILAHC,EQ,168.1,169.9,174.5,163.0,168.45,168.2,168.92,238300,4025378000000.0,,,
2000-05-23,CADILAHC,EQ,168.2,167.0,169.4,157.0,158.0,158.6,162.02,231850,3756456250000.0,,,
2000-05-24,CADILAHC,EQ,158.6,157.0,166.0,155.25,160.0,160.0,160.04,67850,1085886750000.0,,,
2000-05-25,CADILAHC,EQ,160.0,161.9,166.5,157.65,160.0,159.4,162.1,83650,1355944750000.0,,,
2000-05-26,CADILAHC,EQ,159.4,164.0,164.6,159.0,160.0,159.95,160.35,47250,757642750000.0,,,
2000-05-29,CADILAHC,EQ,159.95,160.95,166.0,159.25,165.2,165.0,163.85,94800,1553288750000.0,,,
2000-05-30,CADILAHC,EQ,165.0,164.1,178.2,162.55,178.2,173.45,168.28,77650,1306705750000.0,,,
2000-05-31,CADILAHC,EQ,173.45,185.0,187.35,177.0,187.35,187.25,185.93,153650,2856844250000.0,,,
2000-06-01,CADILAHC,EQ,187.25,192.0,192.0,182.0,185.5,185.8,187.22,69200,1295531500000.0,,,
2000-06-02,CADILAHC,EQ,185.8,190.0,195.95,186.0,192.0,192.85,192.09,82300,1580924500000.0,,,
2000-06-05,CADILAHC,EQ,192.85,196.9,208.0,191.0,195.0,194.35,199.26,78700,1568211000000.0,,,
2000-06-06,CADILAHC,EQ,194.35,199.0,209.0,190.05,208.7,206.35,200.93,117100,2352850250000.0,,,
2000-06-07,CADILAHC,EQ,206.35,211.75,222.4,209.0,222.0,221.4,218.75,131100,2867788750000.0,,,
2000-06-08,CADILAHC,EQ,221.4,224.85,239.1,224.85,232.0,231.85,233.41,135400,3160361250000.0,,,
2000-06-09,CADILAHC,EQ,231.85,220.0,234.0,213.3,213.3,215.25,216.97,148600,3224218000000.0,,,
2000-06-12,CADILAHC,EQ,215.25,218.0,227.0,198.05,198.05,198.05,201.19,90450,1819762250000.0,,,
2000-06-13,CADILAHC,EQ,198.05,185.05,193.0,183.3,185.0,187.95,186.16,96500,1796416000000.0,,,
2000-06-14,CADILAHC,EQ,187.95,199.8,202.7,192.0,199.0,199.7,199.73,91050,1818579000000.0,,,
2000-06-15,CADILAHC,EQ,199.7,196.0,199.9,186.1,194.5,193.9,193.82,47900,928398250000.0,,,
2000-06-16,CADILAHC,EQ,193.9,194.0,198.0,190.0,198.0,197.55,196.52,41100,807698000000.0,,,
2000-06-19,CADILAHC,EQ,197.55,205.0,206.0,195.0,196.95,197.2,201.24,160500,3229838000000.0,,,
2000-06-20,CADILAHC,EQ,197.2,200.0,206.45,196.3,200.9,199.5,201.77,227850,4597278000000.0,,,
2000-06-21,CADILAHC,EQ,199.5,206.45,206.45,190.0,192.25,191.25,198.76,131950,2622702000000.0,,,
2000-06-22,CADILAHC,EQ,191.25,191.6,194.0,185.1,186.0,187.0,189.23,49950,945179500000.0,,,
2000-06-23,CADILAHC,EQ,187.0,184.0,186.5,176.0,177.0,177.6,181.37,45700,828882000000.0,,,
2000-06-26,CADILAHC,EQ,177.6,171.0,176.0,166.1,170.0,170.7,171.39,52800,904945250000.0,,,
2000-06-27,CADILAHC,EQ,170.7,179.0,179.0,163.05,165.25,165.4,167.95,72250,1213417750000.0,,,
2000-06-28,CADILAHC,EQ,165.4,167.0,172.9,165.25,169.0,169.25,169.75,89050,1511583750000.0,,,
2000-06-29,CADILAHC,EQ,169.25,172.7,173.7,167.15,167.9,167.85,169.91,80850,1373753500000.0,,,
2000-06-30,CADILAHC,EQ,167.85,169.5,169.5,164.0,165.3,164.7,166.06,34000,564615500000.0,,,
2000-07-03,CADILAHC,EQ,164.7,166.4,168.0,164.25,166.25,166.1,166.04,23000,381881000000.0,,,
2000-07-04,CADILAHC,EQ,166.1,166.0,166.8,161.0,162.65,161.75,162.87,76850,1251660750000.0,,,
2000-07-05,CADILAHC,EQ,161.75,165.0,174.7,162.95,174.65,173.35,169.67,201150,3412927250000.0,,,
2000-07-06,CADILAHC,EQ,173.35,174.0,178.9,171.0,171.4,171.8,175.06,103500,1811917750000.0,,,
