Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,CONCOR,EQ,244.75,245.0,264.3,245.0,264.3,264.3,261.33,4599,120184030000.0,,,
2000-01-04,CONCOR,EQ,264.3,260.0,260.0,255.0,260.0,260.0,258.74,8651,223837500000.0,,,
2000-01-05,CONCOR,EQ,260.0,250.0,250.0,242.0,242.0,242.0,245.9,1782,43818500000.0,,,
2000-01-06,CONCOR,EQ,242.0,243.0,249.0,230.05,230.05,230.05,241.87,2797,67651860000.0,,,
2000-01-07,CONCOR,EQ,230.05,248.3,248.3,234.0,238.0,241.35,242.5,1595,38678450000.0,,,
2000-01-10,CONCOR,EQ,241.35,238.75,238.75,223.0,225.0,225.0,226.42,4070,92151750000.0,,,
2000-01-11,CONCOR,EQ,225.0,230.0,230.0,207.0,222.0,210.35,222.12,8696,193159140000.0,,,
2000-01-12,CONCOR,EQ,210.35,222.0,227.0,222.0,227.0,227.0,226.09,770,17409000000.0,,,
2000-01-13,CONCOR,EQ,227.0,239.9,245.0,233.05,238.0,238.8,239.36,5647,135166855000.0,,,
2000-01-14,CONCOR,EQ,238.8,250.0,250.0,240.0,244.9,244.9,243.8,7445,181512475000.0,,,
2000-01-17,CONCOR,EQ,244.9,259.0,259.0,248.0,250.0,249.9,250.62,28940,725302915000.0,,,
2000-01-18,CONCOR,EQ,249.9,250.0,269.9,250.0,268.7,269.05,260.94,13275,346404380000.0,,,
2000-01-19,CONCOR,EQ,269.05,278.0,290.5,263.0,277.0,267.05,276.5,47889,1324108665000.0,,,
2000-01-20,CONCOR,EQ,267.05,276.0,279.5,265.0,268.0,265.65,270.36,9312,251755800000.0,,,
2000-01-21,CONCOR,EQ,265.65,275.0,275.0,257.5,260.0,259.5,263.77,9520,251107975000.0,,,
2000-01-24,CONCOR,EQ,259.5,262.0,262.0,243.0,247.1,249.5,252.27,6544,165084150000.0,,,
2000-01-25,CONCOR,EQ,249.5,241.0,250.0,241.0,242.55,246.45,245.41,10736,263468065000.0,,,
2000-01-27,CONCOR,EQ,246.45,258.0,266.2,255.0,262.9,259.45,263.36,7015,184748285000.0,,,
2000-01-28,CONCOR,EQ,259.45,257.0,280.0,245.0,270.0,276.95,262.55,7910,207679530000.0,,,
2000-01-31,CONCOR,EQ,276.95,265.05,273.0,262.0,262.0,263.7,266.45,5575,148547575000.0,,,
2000-02-01,CONCOR,EQ,263.7,262.0,262.0,246.15,250.0,249.75,251.62,12424,312617865000.0,,,
2000-02-02,CONCOR,EQ,249.75,252.0,258.5,250.0,252.0,252.1,254.19,12246,311275245000.0,,,
2000-02-03,CONCOR,EQ,252.1,255.0,263.15,250.0,260.0,259.55,257.4,19984,514378959999.99994,,,
2000-02-04,CONCOR,EQ,259.55,258.5,264.55,250.0,262.85,261.65,252.85,34823,880516050000.0,,,
2000-02-07,CONCOR,EQ,261.65,264.9,268.0,255.5,257.0,257.45,261.88,12243,320622705000.0,,,
2000-02-08,CONCOR,EQ,257.45,250.25,260.0,241.2,248.0,250.5,251.58,16640,418637350000.0,,,
2000-02-09,CONCOR,EQ,250.5,264.0,264.0,245.0,245.25,246.2,250.5,14205,355829290000.0,,,
