Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,KIRLOSKCUM,EQ,570.0,580.0,604.0,580.0,603.95,600.4,594.45,2415,143560250000.0,,,
2000-01-04,KIRLOSKCUM,EQ,600.4,611.9,611.9,575.0,578.15,592.0,586.02,1425,83508475000.0,,,
2000-01-05,KIRLOSKCUM,EQ,592.0,580.0,594.0,570.0,580.0,582.95,584.13,571,33353800000.0,,,
2000-01-06,KIRLOSKCUM,EQ,582.95,595.0,600.0,577.0,577.0,577.9,583.73,2575,150309475000.0,,,
2000-01-07,KIRLOSKCUM,EQ,577.9,580.0,596.5,579.5,580.0,580.0,584.89,2135,124874250000.0,,,
2000-01-10,KIRLOSKCUM,EQ,580.0,588.0,588.0,580.0,580.0,580.0,581.62,791,46006000000.0,,,
2000-01-11,KIRLOSKCUM,EQ,580.0,575.0,580.0,550.0,574.0,554.75,566.91,3642,206468035000.0,,,
2000-01-12,KIRLOSKCUM,EQ,554.75,586.0,586.0,566.0,574.35,574.4,571.81,778,44486800000.0,,,
2000-01-13,KIRLOSKCUM,EQ,574.4,580.0,580.0,570.0,580.0,579.75,577.09,2050,118303000000.0,,,
2000-01-14,KIRLOSKCUM,EQ,579.75,585.0,586.0,572.0,582.0,582.0,579.85,1679,97356425000.0,,,
2000-01-17,KIRLOSKCUM,EQ,582.0,577.0,584.0,575.0,575.0,575.0,578.39,575,33257650000.0,,,
2000-01-18,KIRLOSKCUM,EQ,575.0,569.9,577.0,566.5,576.5,572.3,573.29,1320,75674450000.0,,,
2000-01-19,KIRLOSKCUM,EQ,572.3,572.0,584.0,571.0,580.0,580.25,579.1,2756,159600500000.0,,,
2000-01-20,KIRLOSKCUM,EQ,580.25,580.0,584.75,580.0,584.0,584.0,581.02,410,23821875000.0,,,
2000-01-21,KIRLOSKCUM,EQ,584.0,590.0,590.0,570.0,580.0,578.75,577.9,545,31495625000.0,,,
