Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,DABUR,EQ,1100.0,1188.0,1188.0,1188.0,1188.0,1188.0,1188.0,264,31363200000.0,,,
2000-01-04,DABUR,EQ,1188.0,1283.05,1283.05,1283.05,1283.05,1283.05,1283.05,1277,163845485000.0,,,
2000-01-05,DABUR,EQ,1283.05,1349.0,1349.0,1205.0,1279.95,1259.85,1297.63,19150,2484967520000.0,,,
2000-01-06,DABUR,EQ,1259.85,1265.0,1360.65,1265.0,1360.65,1360.65,1345.89,21283,2864451355000.0,,,
2000-01-07,DABUR,EQ,1360.65,1375.0,1469.5,1360.0,1469.5,1469.5,1430.11,16319,2333797925000.0,,,
2000-01-10,DABUR,EQ,1469.5,1500.0,1585.0,1411.0,1420.0,1430.05,1489.83,19193,2859434625000.0,,,
2000-01-11,DABUR,EQ,1430.05,1350.0,1450.0,1350.0,1450.0,1432.55,1403.42,17548,2462728410000.0,,,
2000-01-12,DABUR,EQ,1432.55,1425.0,1547.0,1425.0,1538.0,1536.85,1510.49,23748,3587107765000.0,,,
2000-01-13,DABUR,EQ,1536.85,1550.0,1599.0,1495.0,1501.0,1506.5,1540.13,29052,4474384355000.0,,,
2000-01-14,DABUR,EQ,1506.5,1477.0,1514.9,1462.0,1489.0,1485.05,1484.26,7071,1049520175000.0,,,
2000-01-17,DABUR,EQ,1485.05,1460.0,1480.0,1420.0,1470.0,1462.65,1462.34,17776,2599451885000.0,,,
2000-01-18,DABUR,EQ,1462.65,1420.0,1460.0,1407.05,1455.0,1452.55,1436.11,6999,1005135010000.0,,,
2000-01-19,DABUR,EQ,1452.55,1451.0,1500.0,1451.0,1460.0,1462.8,1475.33,19646,2898441490000.0,,,
2000-01-20,DABUR,EQ,1462.8,1512.0,1532.5,1446.0,1530.0,1521.15,1507.0,37546,5658169155000.0,,,
2000-01-21,DABUR,EQ,1521.15,1535.0,1640.0,1511.05,1635.0,1628.65,1586.44,52070,8260613995000.0,,,
2000-01-24,DABUR,EQ,1628.65,1670.0,1715.0,1600.0,1670.0,1676.0,1654.01,39006,6451613880000.0,,,
2000-01-25,DABUR,EQ,1676.0,1625.0,1655.0,1555.0,1570.0,1567.55,1600.71,21302,3409835150000.0,,,
2000-01-27,DABUR,EQ,1567.55,1650.0,1675.0,1504.0,1530.0,1536.35,1593.5,40375,6433765655000.0,,,
2000-01-28,DABUR,EQ,1536.35,1590.0,1607.95,1500.0,1577.0,1586.55,1580.9,26313,4159816300000.0,,,
2000-01-31,DABUR,EQ,1586.55,1550.0,1566.9,1495.0,1495.0,1503.65,1528.59,17831,2725630820000.0,,,
2000-02-01,DABUR,EQ,1503.65,1519.0,1519.0,1475.0,1485.0,1482.2,1487.26,15870,2360277535000.0,,,
2000-02-02,DABUR,EQ,1482.2,1520.0,1550.0,1490.0,1490.2,1492.05,1504.74,11038,1660931360000.0,,,
2000-02-03,DABUR,EQ,1492.05,1507.0,1508.0,1470.0,1475.0,1474.2,1476.4,6704,989781035000.0,,,
2000-02-04,DABUR,EQ,1474.2,1450.05,1525.0,1404.0,1505.0,1486.1,1488.49,16043,2387989585000.0,,,
