Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-08-03,EMAMILTD,EQ,240.05,279.0,279.0,260.0,263.05,268.6,267.98,47217,1265313545000.0,,10606,0.22460000000000002
2006-08-04,EMAMILTD,EQ,268.6,270.0,270.0,255.0,255.0,257.75,261.35,2540,66381755000.00001,,1312,0.5165
2006-08-07,EMAMILTD,EQ,257.75,258.0,258.0,248.0,249.05,255.05,254.76,1653,42111490000.0,,1312,0.7937000000000001
2006-08-08,EMAMILTD,EQ,255.05,249.4,257.85,249.4,250.0,253.3,254.19,6492,165017385000.0,,391,0.0602
2006-08-09,EMAMILTD,EQ,253.3,253.0,259.0,251.0,258.0,258.5,257.14,1681,43224780000.0,,1681,1.0
2006-08-10,EMAMILTD,EQ,258.5,264.9,264.9,254.1,254.1,255.0,256.58,192,4926240000.0,,166,0.8645999999999999
2006-08-11,EMAMILTD,EQ,255.0,267.0,268.0,255.5,260.15,260.3,262.73,3903,102544515000.0,,1251,0.32049999999999995
2006-08-14,EMAMILTD,EQ,260.3,263.0,263.0,254.1,256.5,255.6,257.23,774,19909965000.0,,474,0.6124
2006-08-16,EMAMILTD,EQ,255.6,256.0,267.9,256.0,260.0,264.25,262.22,17580,460983500000.0,,13831,0.7867000000000001
2006-08-17,EMAMILTD,EQ,264.25,270.0,270.0,251.0,266.1,265.1,264.27,4715,124601345000.0,,4288,0.9094
2006-08-18,EMAMILTD,EQ,265.1,259.8,268.3,259.8,263.0,264.45,264.11,883,23321090000.0,,810,0.9173
2006-08-21,EMAMILTD,EQ,264.45,259.0,268.0,259.0,267.0,267.0,265.08,120,3181000000.0,,115,0.9583
2006-08-22,EMAMILTD,EQ,267.0,263.0,263.0,258.9,262.9,261.0,261.09,220,5744000000.0,,120,0.5455
2006-08-23,EMAMILTD,EQ,261.0,244.0,265.5,244.0,260.0,260.0,260.06,25685,667966250000.0,,25550,0.9947
2006-08-24,EMAMILTD,EQ,260.0,253.0,261.9,253.0,255.0,255.0,255.65,956,24440125000.0,,556,0.5816
2006-08-25,EMAMILTD,EQ,255.0,256.0,259.95,245.5,252.0,253.45,253.67,1562,39623425000.0,,823,0.5269
2006-08-28,EMAMILTD,EQ,253.45,257.0,264.8,252.5,258.0,258.15,259.2,1429,37040015000.0,,916,0.6409999999999999
2006-08-29,EMAMILTD,EQ,258.15,262.0,262.0,250.5,256.95,254.1,253.49,477,12091375000.0,,377,0.7904000000000001
2006-08-30,EMAMILTD,EQ,254.1,255.85,274.0,255.85,263.0,265.2,268.43,6050,162398950000.0,,3145,0.5197999999999999
2006-08-31,EMAMILTD,EQ,265.2,252.0,266.0,251.1,266.0,265.1,263.71,2700,71200820000.0,,2310,0.8556
2006-09-01,EMAMILTD,EQ,265.1,257.0,273.25,255.55,272.0,271.25,268.68,20414,548484790000.00006,,10084,0.494
2006-09-04,EMAMILTD,EQ,271.25,274.0,274.0,263.0,267.0,267.0,270.52,269,7276864999.999999,,225,0.8364
2006-09-05,EMAMILTD,EQ,267.0,266.0,273.85,265.1,266.95,266.9,267.37,129,3449040000.0,,72,0.5581
2006-09-06,EMAMILTD,EQ,266.9,262.0,264.7,260.0,261.0,261.1,262.04,400,10481475000.0,,375,0.9375
2006-09-07,EMAMILTD,EQ,261.1,253.7,258.0,253.7,255.0,255.25,256.32,360,9227650000.0,,225,0.625
2006-09-08,EMAMILTD,EQ,255.25,269.5,269.5,252.0,253.3,258.25,257.49,2185,56261950000.0,,1979,0.9057
2006-09-11,EMAMILTD,EQ,258.25,253.0,253.0,245.3,246.5,247.05,249.31,853,21266275000.0,,793,0.9297
2006-09-12,EMAMILTD,EQ,247.05,247.0,251.0,245.0,246.0,246.0,247.77,830,20564700000.0,,830,1.0
2006-09-13,EMAMILTD,EQ,246.0,246.0,254.45,246.0,254.45,248.15,248.57,904,22470355000.0,,381,0.4215
2006-09-14,EMAMILTD,EQ,248.15,245.0,256.95,244.15,248.0,248.0,248.82,1582,39363025000.0,,1451,0.9172
2006-09-15,EMAMILTD,EQ,248.0,244.0,270.0,238.0,270.0,261.5,254.46,10296,261990754999.99997,,6205,0.6027
2006-09-18,EMAMILTD,EQ,261.5,255.05,270.0,255.05,258.15,261.75,263.9,39876,1052318319999.9999,,28354,0.7111
2006-09-19,EMAMILTD,EQ,261.75,261.85,263.0,245.0,245.0,247.6,254.76,2439,62135030000.00001,,1335,0.5474
2006-09-20,EMAMILTD,EQ,247.6,247.0,258.6,247.0,253.0,252.25,254.43,902,22949310000.0,,650,0.7206
2006-09-21,EMAMILTD,EQ,252.25,269.8,269.8,247.0,256.0,254.2,252.22,1786,45047315000.0,,1437,0.8046
2006-09-22,EMAMILTD,EQ,254.2,253.1,265.0,253.1,257.0,261.75,261.43,4723,123475425000.0,,3165,0.6701
2006-09-25,EMAMILTD,EQ,261.75,255.0,264.9,254.1,260.05,259.35,259.25,1851,47988100000.0,,1290,0.6969
2006-09-26,EMAMILTD,EQ,259.35,258.0,269.5,255.5,269.5,267.6,266.92,8955,239027279999.99997,,7579,0.8462999999999999
