Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-10-25,GICRE,EQ,912.0,850.0,899.0,780.0,898.0,874.3,844.84,27556221,2328068650565000.0,406110,12270384,0.44530000000000003
2017-10-26,GICRE,EQ,874.3,879.5,879.5,845.0,848.0,852.15,858.96,2045983,175742036150000.0,59551,667906,0.3264
2017-10-27,GICRE,EQ,852.15,850.0,858.0,830.0,838.9,834.85,842.64,561271,47294976845000.0,17200,316638,0.5640999999999999
2017-10-30,GICRE,EQ,834.85,834.85,860.05,826.25,858.0,855.45,844.68,894609,75565474995000.0,26678,429379,0.48
2017-10-31,GICRE,EQ,855.45,850.0,875.0,844.05,866.0,861.95,864.69,1380572,119377333100000.0,45868,624958,0.45270000000000005
2017-11-01,GICRE,EQ,861.95,865.0,868.0,844.55,845.0,848.0,856.31,268587,22999342940000.0,11184,134617,0.5012
2017-11-02,GICRE,EQ,848.0,845.0,852.5,835.0,836.0,837.8,843.46,165896,13992585140000.0,8133,95515,0.5758
2017-11-03,GICRE,EQ,837.8,832.0,842.0,827.5,829.0,830.05,834.97,172227,14380521215000.0,7225,106496,0.6183
2017-11-06,GICRE,EQ,830.05,828.0,831.95,815.0,816.95,817.8,823.82,199889,16467300265000.0,9889,119292,0.5968
2017-11-07,GICRE,EQ,817.8,817.8,830.0,802.55,810.0,806.75,814.38,239129,19474288710000.0,9590,137445,0.5748
2017-11-08,GICRE,EQ,806.75,806.0,811.05,799.05,801.0,800.05,804.96,157748,12698058550000.0,6727,103904,0.6587000000000001
2017-11-09,GICRE,EQ,800.05,801.0,810.0,790.0,792.0,791.4,795.83,268063,21333241195000.0,9076,205878,0.768
2017-11-10,GICRE,EQ,791.4,790.1,830.0,790.1,829.2,822.05,813.58,460788,37488916930000.0,14299,297402,0.6454000000000001
2017-11-13,GICRE,EQ,822.05,825.05,849.0,807.5,810.6,811.85,829.39,626837,51989318890000.0,22460,141469,0.2257
2017-11-14,GICRE,EQ,811.85,823.5,833.85,816.05,822.1,824.85,825.01,238195,19651210750000.0,9287,124834,0.5241
2017-11-15,GICRE,EQ,824.85,825.0,825.0,796.1,798.4,799.95,808.1,101299,8185925695000.0,5642,63771,0.6295000000000001
2017-11-16,GICRE,EQ,799.95,800.6,813.0,800.0,801.05,802.65,805.21,89209,7183234280000.0,4418,52517,0.5887
2017-11-17,GICRE,EQ,802.65,803.75,810.1,792.0,792.0,793.75,800.37,204024,16329408325000.0,8586,129620,0.6353
2017-11-20,GICRE,EQ,793.75,795.0,802.3,792.05,798.55,799.85,799.47,281824,22531074085000.0,9265,224289,0.7958
2017-11-21,GICRE,EQ,799.85,796.15,820.8,793.0,796.0,796.5,805.3,351467,28303620255000.0,12632,143278,0.40770000000000006
2017-11-22,GICRE,EQ,796.5,800.0,808.8,797.0,800.0,798.5,801.92,113027,9063843935000.0,5908,55419,0.4903
2017-11-23,GICRE,EQ,798.5,797.15,804.7,791.65,792.5,794.2,798.38,116569,9306623995000.0,5788,70025,0.6007
2017-11-24,GICRE,EQ,794.2,799.8,799.8,792.65,795.0,795.8,795.84,81887,6516898285000.0,3858,59443,0.7259000000000001
2017-11-27,GICRE,EQ,795.8,796.0,797.4,785.0,785.6,787.2,790.93,197791,15643959219999.998,8391,127377,0.644
