Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2001-06-20,GODREJCP,EQ,60.05,58.9,59.65,50.85,50.85,50.85,51.12,32120,164185980000.0,,,
2001-06-21,GODREJCP,EQ,50.85,47.0,54.95,46.8,54.0,53.2,49.3,95288,469722775000.0,,,
2001-06-22,GODREJCP,EQ,53.2,54.35,54.35,48.95,50.5,49.95,50.95,26986,137494720000.0,,,
2001-06-25,GODREJCP,EQ,49.95,50.0,50.0,45.95,45.95,45.95,46.2,15100,69758505000.0,,,
2001-06-26,GODREJCP,EQ,45.95,46.0,49.65,44.5,49.65,49.65,48.67,31309,152390475000.0,,,
2001-06-27,GODREJCP,EQ,49.65,49.85,49.9,46.2,47.0,46.55,47.84,4540,21720950000.0,,,
2001-06-28,GODREJCP,EQ,46.55,47.0,47.0,45.0,46.5,46.0,45.65,5664,25858250000.0,,,
2001-06-29,GODREJCP,EQ,46.0,47.0,49.7,45.5,46.5,48.9,48.23,15716,75797980000.0,,,
2001-07-02,GODREJCP,EQ,60.05,52.4,52.4,47.0,47.0,47.55,48.93,613,2999505000.0,,,
2001-07-03,GODREJCP,EQ,47.55,46.4,46.5,46.0,46.0,46.0,46.37,725,3361750000.0,,,
2001-07-04,GODREJCP,EQ,46.0,44.25,45.25,44.25,45.25,45.25,44.83,585,2622400000.0,,,
2001-07-05,GODREJCP,EQ,45.25,44.0,45.0,43.2,45.0,45.0,44.13,60,264800000.0,,,
2001-07-06,GODREJCP,EQ,45.0,43.1,44.5,43.1,44.5,44.45,43.46,7950,34549750000.0,,,
2001-07-09,GODREJCP,EQ,44.45,48.2,48.2,43.0,44.8,44.8,46.53,8300,38618250000.0,,,
2001-07-10,GODREJCP,EQ,44.8,43.9,45.5,43.9,44.0,44.35,44.13,2403,10605475000.0,,,
2001-07-11,GODREJCP,EQ,44.35,44.0,44.5,43.0,44.0,44.0,43.73,2900,12682050000.0,,,
2001-07-12,GODREJCP,EQ,44.0,44.0,46.0,44.0,46.0,46.0,44.59,2295,10234390000.0,,,
2001-07-13,GODREJCP,EQ,46.0,44.95,44.95,44.5,44.75,44.75,44.82,850,3810000000.0,,,
2001-07-16,GODREJCP,EQ,44.75,43.5,45.05,43.5,44.0,44.1,44.25,910,4026700000.0,,,
2001-07-17,GODREJCP,EQ,44.1,44.05,44.25,43.55,44.25,44.25,44.04,10427,45917175000.0,,,
2001-07-18,GODREJCP,EQ,44.25,44.5,44.5,44.0,44.4,44.4,44.32,397,1759680000.0,,,
2001-07-19,GODREJCP,EQ,44.4,44.6,45.4,43.5,45.0,45.0,44.43,3647,16205370000.000002,,,
2001-07-20,GODREJCP,EQ,45.0,45.0,45.25,44.85,45.25,45.1,45.02,3150,14180125000.0,,,
2001-07-23,GODREJCP,EQ,45.1,42.0,42.0,42.0,42.0,42.0,42.0,150,630000000.0,,,
2001-07-24,GODREJCP,EQ,42.0,42.1,44.95,42.1,43.05,43.05,43.36,310,1344200000.0,,,
2001-07-25,GODREJCP,EQ,43.05,42.75,43.0,41.95,41.95,41.95,42.67,812,3464990000.0,,,
2001-07-26,GODREJCP,EQ,41.95,42.1,42.8,40.75,42.8,41.3,41.16,1975,8129625000.0,,,
2001-07-27,GODREJCP,EQ,41.3,43.5,44.35,42.65,44.35,44.35,43.86,2148,9422170000.0,,,
2001-07-30,GODREJCP,EQ,44.35,45.0,47.9,45.0,47.0,47.65,47.34,5860,27742775000.0,,,
2001-07-31,GODREJCP,EQ,47.65,48.0,48.0,46.0,46.7,46.55,46.56,1892,8809145000.0,,,
2001-08-01,GODREJCP,EQ,46.55,46.5,47.8,45.15,47.8,47.8,46.86,5578,26136275000.0,,,
2001-08-02,GODREJCP,EQ,47.8,45.15,46.5,45.15,46.05,46.0,46.07,2300,10595500000.0,,,
2001-08-03,GODREJCP,EQ,46.0,46.5,47.5,46.15,46.2,46.2,46.76,645,3015775000.0,,,
2001-08-06,GODREJCP,EQ,46.2,45.0,50.0,43.5,45.25,45.3,46.14,2261,10432440000.0,,,
2001-08-07,GODREJCP,EQ,45.3,47.85,47.85,47.8,47.8,47.8,47.83,2,9565000.0,,,
2001-08-08,GODREJCP,EQ,47.8,46.6,47.45,45.2,45.2,45.2,47.05,950,4469500000.0,,,
2001-08-09,GODREJCP,EQ,45.2,48.0,48.5,47.3,48.25,47.55,47.96,1419,6805825000.0,,,
2001-08-10,GODREJCP,EQ,47.55,48.05,50.5,48.05,50.0,49.75,49.44,4616,22823180000.0,,,
2001-08-13,GODREJCP,EQ,49.75,50.0,52.5,48.1,48.5,48.55,49.0,1857,9098445000.0,,,
2001-08-14,GODREJCP,EQ,48.55,48.75,53.0,48.75,53.0,52.3,50.79,3886,19738540000.0,,,
2001-08-16,GODREJCP,EQ,52.3,54.0,54.0,51.95,52.0,52.0,52.25,2054,10732335000.0,,,
2001-08-17,GODREJCP,EQ,52.0,54.0,54.0,51.0,52.5,52.5,52.16,2734,14260800000.0,,,
2001-08-20,GODREJCP,EQ,52.5,52.0,53.5,51.5,52.25,52.35,52.45,20035,105090289999.99998,,,
2001-08-21,GODREJCP,EQ,52.35,52.25,52.8,51.6,52.4,52.4,52.04,4091,21287905000.0,,,
2001-08-23,GODREJCP,EQ,52.4,52.0,56.4,52.0,55.65,55.75,54.84,8458,46387380000.0,,,
2001-08-24,GODREJCP,EQ,55.75,56.0,56.0,53.0,53.5,53.55,54.13,1786,9667425000.0,,,
2001-08-27,GODREJCP,EQ,53.55,53.95,57.2,53.0,53.0,53.05,53.98,4891,26403800000.0,,,
2001-08-28,GODREJCP,EQ,53.05,55.0,55.0,52.0,52.4,52.45,53.02,1864,9883275000.0,,,
2001-08-29,GODREJCP,EQ,52.45,52.55,53.05,51.1,51.1,51.1,52.36,1690,8848840000.0,,,
2001-08-30,GODREJCP,EQ,51.1,50.0,52.8,50.0,52.0,52.0,51.63,393,2028975000.0,,,
2001-08-31,GODREJCP,EQ,52.0,51.0,51.45,50.5,51.0,51.0,50.91,625,3181625000.0,,,
2001-09-03,GODREJCP,EQ,51.0,53.0,53.0,49.0,50.7,50.8,50.96,2816,14350195000.000002,,,
2001-09-04,GODREJCP,EQ,50.8,52.0,52.0,50.0,50.5,50.45,50.62,610,3088025000.0,,,
2001-09-05,GODREJCP,EQ,50.45,52.0,52.0,48.2,48.7,48.55,49.01,1399,6856989999.999999,,,
2001-09-06,GODREJCP,EQ,48.55,49.0,49.0,47.25,48.5,48.5,48.46,739,3581000000.0,,,
2001-09-07,GODREJCP,EQ,48.5,48.5,49.25,47.65,48.75,48.75,48.33,1040,5026295000.0,,,
2001-09-10,GODREJCP,EQ,48.75,49.0,49.0,47.7,48.0,48.05,48.11,3696,17782765000.0,,,
2001-09-11,GODREJCP,EQ,48.05,47.4,48.0,46.35,46.95,46.45,46.84,1267,5934795000.0,,,
2001-09-12,GODREJCP,EQ,46.45,47.0,47.0,43.6,45.25,45.45,45.67,1791,8180195000.0,,,
2001-09-13,GODREJCP,EQ,45.45,45.25,46.95,44.25,45.7,46.0,45.75,3275,14983454999.999998,,,
2001-09-14,GODREJCP,EQ,46.0,45.1,45.1,42.2,44.0,44.0,43.83,6490,28444815000.000004,,,
2001-09-17,GODREJCP,EQ,44.0,42.0,42.0,40.6,40.6,40.6,40.88,5421,22158350000.0,,,
