Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2001-03-21,HAVELLS,EQ,144.7,151.0,155.0,151.0,155.0,154.45,154.28,4000,61710000000.0,,,
2001-03-22,HAVELLS,EQ,154.45,155.0,157.5,155.0,157.0,157.0,155.36,1626,25261325000.0,,,
2001-03-23,HAVELLS,EQ,157.0,153.0,154.5,150.0,152.65,150.9,153.21,2026,31039650000.0,,,
2001-03-26,HAVELLS,EQ,150.9,153.9,153.9,153.0,153.9,153.9,153.49,1210,18572875000.0,,,
2001-03-27,HAVELLS,EQ,153.9,152.5,155.0,151.0,154.5,154.4,153.4,3422,52494910000.0,,,
2001-03-28,HAVELLS,EQ,154.4,155.0,155.0,153.0,153.0,153.0,154.52,1237,19113740000.0,,,
2001-03-29,HAVELLS,EQ,153.0,153.5,154.9,152.0,154.9,154.9,153.41,1200,18409100000.0,,,
2001-03-30,HAVELLS,EQ,154.9,153.0,154.0,153.0,154.0,153.85,153.42,2227,34167630000.0,,,
2001-04-02,HAVELLS,EQ,153.85,152.5,153.0,152.5,153.0,153.0,152.66,1100,16792350000.0,,,
2001-04-03,HAVELLS,EQ,153.0,150.0,153.8,150.0,153.75,153.1,153.26,2500,38313750000.0,,,
2001-04-04,HAVELLS,EQ,153.1,153.0,153.8,153.0,153.8,153.8,153.04,1050,16069000000.0,,,
2001-04-06,HAVELLS,EQ,153.8,153.0,153.5,150.0,153.0,152.75,152.18,2065,31424400000.0,,,
2001-04-09,HAVELLS,EQ,152.75,150.0,151.9,150.0,150.0,150.0,151.35,1985,30042800000.0,,,
2001-04-10,HAVELLS,EQ,150.0,150.75,151.0,150.0,151.0,150.55,150.73,1795,27056850000.0,,,
2001-04-11,HAVELLS,EQ,150.55,153.0,153.0,149.0,149.0,149.0,150.44,2245,33773100000.0,,,
2001-04-12,HAVELLS,EQ,149.0,148.0,150.0,144.0,147.0,144.75,146.4,3564,52178250000.0,,,
2001-04-16,HAVELLS,EQ,144.75,152.0,152.0,143.0,144.5,144.5,147.29,1901,28000200000.0,,,
2001-04-17,HAVELLS,EQ,144.5,149.9,150.0,143.0,143.0,143.2,146.38,2260,33082850000.0,,,
2001-04-18,HAVELLS,EQ,143.2,150.05,150.05,145.0,145.0,145.0,148.67,2250,33450500000.0,,,
2001-04-19,HAVELLS,EQ,145.0,143.0,148.15,143.0,145.5,145.5,145.42,2085,30320650000.0,,,
2001-04-20,HAVELLS,EQ,145.5,148.15,148.15,144.5,144.5,144.5,144.56,1530,22117875000.0,,,
2001-04-23,HAVELLS,EQ,144.5,148.0,148.0,146.75,147.0,147.0,146.77,1230,18053000000.0,,,
