Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,HINDZINC,EQ,17.25,17.25,18.0,16.85,17.45,17.2,17.12,131935,225899800000.0,,,
2000-01-04,HINDZINC,EQ,17.2,17.95,18.0,16.6,16.75,16.7,16.88,124045,209331300000.0,,,
2000-01-05,HINDZINC,EQ,16.7,16.5,17.1,16.25,16.9,16.9,16.85,113480,191254550000.0,,,
2000-01-06,HINDZINC,EQ,16.9,17.0,19.8,16.8,17.65,17.65,18.18,309745,563128215000.0,,,
2000-01-07,HINDZINC,EQ,17.65,17.75,18.2,17.0,17.25,17.15,17.45,86250,150518975000.0,,,
2000-01-10,HINDZINC,EQ,17.15,17.5,17.55,16.75,16.9,16.85,17.13,128255,219727290000.0,,,
2000-01-11,HINDZINC,EQ,16.85,16.9,17.0,15.75,16.2,16.05,16.36,206850,338493985000.0,,,
2000-01-12,HINDZINC,EQ,16.05,17.0,17.0,15.85,16.2,16.15,16.14,108600,175239875000.0,,,
2000-01-13,HINDZINC,EQ,16.15,16.25,16.3,16.0,16.25,16.15,16.15,54760,88457570000.0,,,
2000-01-14,HINDZINC,EQ,16.15,16.0,16.45,15.9,16.0,15.95,16.11,53800,86685000000.0,,,
2000-01-17,HINDZINC,EQ,15.95,16.05,16.35,15.85,15.9,15.9,16.0,75436,120710860000.00002,,,
2000-01-18,HINDZINC,EQ,15.9,16.0,16.0,15.55,15.65,15.7,15.74,89609,141076735000.0,,,
2000-01-19,HINDZINC,EQ,15.7,17.45,17.45,15.7,15.75,15.8,15.95,99222,158270530000.0,,,
2000-01-20,HINDZINC,EQ,15.8,16.15,16.15,14.9,15.25,15.1,15.27,241429,368654545000.0,,,
2000-01-21,HINDZINC,EQ,15.1,15.05,15.5,14.9,15.0,15.0,15.1,186762,281970800000.0,,,
2000-01-24,HINDZINC,EQ,15.0,14.85,15.0,14.15,14.4,14.45,14.56,111900,162933750000.0,,,
2000-01-25,HINDZINC,EQ,14.45,14.35,15.25,14.1,14.65,14.7,14.73,116751,171928500000.0,,,
2000-01-27,HINDZINC,EQ,14.7,15.2,15.5,14.9,15.0,15.0,15.16,98760,149715250000.0,,,
2000-01-28,HINDZINC,EQ,15.0,15.4,15.4,14.4,14.55,14.5,14.63,50710,74181800000.0,,,
2000-01-31,HINDZINC,EQ,14.5,14.7,14.75,13.9,14.0,14.0,14.19,66350,94136200000.0,,,
2000-02-01,HINDZINC,EQ,14.0,13.7,14.15,13.3,14.0,13.85,13.9,98510,136922000000.0,,,
2000-02-02,HINDZINC,EQ,13.85,14.45,14.8,13.65,13.75,13.7,14.11,114652,161813980000.0,,,
2000-02-03,HINDZINC,EQ,13.7,14.45,17.0,14.25,14.6,14.7,14.84,203056,301385550000.0,,,
2000-02-04,HINDZINC,EQ,14.7,15.25,16.45,14.85,14.95,15.05,15.12,259630,392491065000.0,,,
2000-02-07,HINDZINC,EQ,15.05,15.0,15.0,13.9,14.05,14.0,14.53,267252,388200230000.0,,,
2000-02-08,HINDZINC,EQ,14.0,14.0,14.2,13.3,13.8,13.55,13.69,160816,220229310000.0,,,
2000-02-09,HINDZINC,EQ,13.55,14.35,14.35,13.65,13.95,13.85,13.92,119502,166386195000.0,,,
2000-02-10,HINDZINC,EQ,13.85,13.9,14.25,13.05,13.45,13.45,13.66,163502,223403145000.00003,,,
2000-02-11,HINDZINC,EQ,13.45,13.45,13.5,13.05,13.2,13.2,13.3,75570,100522470000.0,,,
2000-02-14,HINDZINC,EQ,13.2,13.5,13.5,12.6,12.9,12.95,13.01,63031,82022040000.0,,,
2000-02-15,HINDZINC,EQ,12.95,12.75,13.05,12.0,12.45,12.3,12.4,145952,180999810000.0,,,
2000-02-16,HINDZINC,EQ,12.3,12.95,13.5,12.25,12.6,12.75,12.73,228655,291191275000.0,,,
2000-02-17,HINDZINC,EQ,12.75,13.0,13.1,11.45,11.9,11.9,11.83,509675,602999250000.0,,,
2000-02-18,HINDZINC,EQ,11.9,12.0,12.5,10.8,11.2,10.9,11.31,584470,660792400000.0,,,
2000-02-21,HINDZINC,EQ,10.9,11.2,11.75,10.85,11.0,11.0,11.09,358515,397696625000.0,,,
2000-02-22,HINDZINC,EQ,11.0,11.35,11.35,10.4,10.45,10.55,10.85,485133,526609309999.99994,,,
2000-02-23,HINDZINC,EQ,10.55,11.4,12.15,10.95,11.0,11.05,11.42,373921,427121175000.0,,,
2000-02-24,HINDZINC,EQ,11.05,10.8,11.75,10.8,11.0,11.0,11.1,255628,283777650000.0,,,
2000-02-25,HINDZINC,EQ,11.0,11.1,11.35,10.0,10.2,10.2,10.38,416025,431883175000.0,,,
2000-02-28,HINDZINC,EQ,10.2,10.45,11.45,10.0,11.05,11.1,10.97,252750,277298740000.0,,,
2000-02-29,HINDZINC,EQ,11.1,10.25,12.0,10.25,11.1,10.95,11.43,423997,484450475000.0,,,
2000-03-01,HINDZINC,EQ,10.95,11.4,11.9,10.75,11.0,11.0,11.13,211101,235044645000.00003,,,
2000-03-02,HINDZINC,EQ,11.0,10.55,11.5,10.2,10.5,10.35,10.5,263464,276505950000.0,,,
2000-03-03,HINDZINC,EQ,10.35,11.5,11.5,10.05,10.35,10.35,10.27,77951,80027910000.0,,,
2000-03-06,HINDZINC,EQ,10.35,11.5,12.0,9.95,10.0,10.0,10.43,470275,490550434999.99994,,,
2000-03-07,HINDZINC,EQ,10.0,9.95,10.2,9.6,9.85,9.85,9.88,205095,202614605000.0,,,
