Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,LICHSGFIN,EQ,34.45,36.8,36.85,35.0,35.95,36.0,35.68,56529,201700365000.0,,,
2000-01-04,LICHSGFIN,EQ,36.0,36.25,36.25,35.0,36.15,36.0,35.81,123825,443385145000.0,,,
2000-01-05,LICHSGFIN,EQ,36.0,35.0,36.0,35.0,35.15,35.15,35.33,72690,256810600000.0,,,
2000-01-06,LICHSGFIN,EQ,35.15,34.75,36.0,34.75,35.5,35.35,35.41,68708,243310675000.0,,,
2000-01-07,LICHSGFIN,EQ,35.35,35.05,36.15,34.3,34.7,34.5,34.75,79370,275833600000.0,,,
2000-01-10,LICHSGFIN,EQ,34.5,34.6,35.15,34.1,35.15,34.9,34.79,60753,211335925000.0,,,
2000-01-11,LICHSGFIN,EQ,34.9,34.6,34.9,34.05,34.1,34.2,34.38,120909,415634185000.0,,,
2000-01-12,LICHSGFIN,EQ,34.2,35.0,35.0,34.1,34.25,34.45,34.41,52521,180738025000.0,,,
2000-01-13,LICHSGFIN,EQ,34.45,34.7,34.85,34.3,34.4,34.45,34.57,36950,127749760000.00002,,,
2000-01-14,LICHSGFIN,EQ,34.45,34.2,34.6,33.9,34.3,34.0,34.12,45939,156766630000.0,,,
2000-01-17,LICHSGFIN,EQ,34.0,34.0,34.75,34.0,34.25,34.3,34.34,38949,133747064999.99998,,,
2000-01-18,LICHSGFIN,EQ,34.3,34.0,34.6,34.0,34.4,34.3,34.22,69839,238969729999.99997,,,
2000-01-19,LICHSGFIN,EQ,34.3,35.0,35.0,34.5,34.9,35.0,34.85,49650,173034895000.0,,,
2000-01-20,LICHSGFIN,EQ,35.0,34.7,35.0,34.65,34.65,34.7,34.83,36345,126577755000.0,,,
2000-01-21,LICHSGFIN,EQ,34.7,34.05,35.5,33.55,34.2,34.15,34.11,74152,252947690000.0,,,
2000-01-24,LICHSGFIN,EQ,34.15,33.65,34.2,33.1,33.1,33.2,33.5,61605,206405930000.0,,,
2000-01-25,LICHSGFIN,EQ,33.2,33.1,33.45,32.25,32.45,32.45,32.7,118582,387759495000.0,,,
2000-01-27,LICHSGFIN,EQ,32.45,33.0,33.65,32.35,32.7,32.6,32.81,66696,218825335000.0,,,
2000-01-28,LICHSGFIN,EQ,32.6,33.0,33.15,32.35,32.45,32.4,32.69,76430,249867940000.0,,,
2000-01-31,LICHSGFIN,EQ,32.4,32.05,32.35,31.15,31.5,31.4,31.62,75590,239042879999.99997,,,
2000-02-01,LICHSGFIN,EQ,31.4,31.85,32.1,31.15,31.55,31.65,31.66,84769,268406585000.0,,,
2000-02-02,LICHSGFIN,EQ,31.65,33.2,33.2,31.9,32.5,32.5,32.4,57225,185385375000.0,,,
2000-02-03,LICHSGFIN,EQ,32.5,33.0,33.4,32.4,33.0,33.1,33.02,43575,143878750000.0,,,
2000-02-04,LICHSGFIN,EQ,33.1,32.6,33.0,32.0,33.0,32.75,32.58,43800,142702750000.0,,,
2000-02-07,LICHSGFIN,EQ,32.75,32.75,32.75,31.75,32.0,31.95,32.02,76986,246484365000.0,,,
2000-02-08,LICHSGFIN,EQ,31.95,31.55,32.25,31.15,32.0,31.95,31.55,69774,220113300000.0,,,
2000-02-09,LICHSGFIN,EQ,31.95,32.8,32.9,31.5,31.9,31.8,31.81,48600,154575375000.0,,,
2000-02-10,LICHSGFIN,EQ,31.8,32.0,32.1,31.5,31.6,31.6,31.76,32621,103589310000.0,,,
2000-02-11,LICHSGFIN,EQ,31.6,32.35,32.35,31.15,31.55,31.5,31.63,43705,138222045000.0,,,
