Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,MARICOIND,EQ,334.45,355.0,355.0,308.05,340.0,340.0,338.86,2046,69330900000.0,,,
2000-01-04,MARICOIND,EQ,340.0,320.0,348.0,320.0,328.5,332.75,330.62,1990,65793175000.0,,,
2000-01-05,MARICOIND,EQ,332.75,335.0,343.95,322.5,324.0,323.6,327.14,1906,62353725000.0,,,
2000-01-06,MARICOIND,EQ,323.6,331.5,348.0,330.0,335.9,334.1,339.25,6671,226312925000.0,,,
2000-01-07,MARICOIND,EQ,334.1,335.9,340.5,320.0,320.0,323.9,330.75,4448,147115415000.0,,,
2000-01-10,MARICOIND,EQ,323.9,325.0,334.9,325.0,334.9,332.2,330.24,2606,86060265000.0,,,
2000-01-11,MARICOIND,EQ,332.2,328.5,333.0,306.05,308.5,308.5,319.34,5805,185376985000.0,,,
2000-01-12,MARICOIND,EQ,308.5,330.0,333.0,321.0,333.0,332.7,329.74,2322,76566325000.0,,,
2000-01-13,MARICOIND,EQ,332.7,354.0,357.0,338.0,342.0,340.3,347.84,3791,131867314999.99998,,,
2000-01-14,MARICOIND,EQ,340.3,335.0,350.0,335.0,340.0,342.4,344.84,1376,47449700000.0,,,
2000-01-17,MARICOIND,EQ,342.4,340.0,340.0,332.0,337.0,337.45,336.61,1626,54733080000.00001,,,
2000-01-18,MARICOIND,EQ,337.45,332.0,333.85,325.0,330.0,330.25,328.97,2260,74348330000.0,,,
2000-01-19,MARICOIND,EQ,330.25,330.0,340.0,315.0,337.8,336.15,326.68,8585,280452175000.0,,,
2000-01-20,MARICOIND,EQ,336.15,323.15,334.0,316.05,326.25,329.35,323.98,22742,736796665000.0,,,
2000-01-21,MARICOIND,EQ,329.35,330.0,334.4,325.1,325.1,328.0,329.78,72918,2404717100000.0,,,
2000-01-24,MARICOIND,EQ,328.0,330.0,330.0,311.1,320.0,318.6,319.1,13780,439714850000.0,,,
2000-01-25,MARICOIND,EQ,318.6,320.0,320.0,307.1,315.0,311.7,314.1,2950,92660125000.0,,,
2000-01-27,MARICOIND,EQ,311.7,309.0,317.5,309.0,314.0,314.0,314.47,1560,49057975000.0,,,
2000-01-28,MARICOIND,EQ,314.0,310.05,315.95,308.0,314.75,314.45,311.62,1555,48456275000.0,,,
2000-01-31,MARICOIND,EQ,314.45,309.0,309.0,290.25,292.0,291.4,299.22,1665,49819850000.0,,,
2000-02-01,MARICOIND,EQ,291.4,299.0,299.9,285.0,290.05,291.85,295.26,2105,62151540000.0,,,
2000-02-02,MARICOIND,EQ,291.85,310.0,310.0,291.0,294.05,296.1,297.58,3925,116799125000.0,,,
2000-02-03,MARICOIND,EQ,296.1,290.0,296.9,288.0,290.0,290.0,289.28,910,26324050000.0,,,
2000-02-04,MARICOIND,EQ,290.0,291.1,294.8,289.05,293.5,293.45,292.24,1551,45326050000.0,,,
2000-02-07,MARICOIND,EQ,293.45,281.0,289.0,273.05,280.0,279.5,279.0,1877,52368900000.0,,,
2000-02-08,MARICOIND,EQ,279.5,285.0,285.0,271.15,279.95,276.0,278.86,2990,83378080000.0,,,
2000-02-09,MARICOIND,EQ,276.0,280.0,280.0,270.0,276.95,275.0,275.75,11480,316564775000.0,,,
2000-02-10,MARICOIND,EQ,275.0,279.9,297.0,279.9,297.0,296.6,292.36,3206,93730025000.0,,,
2000-02-11,MARICOIND,EQ,296.6,292.9,296.0,275.0,280.0,280.0,284.35,3345,95113800000.0,,,
2000-02-14,MARICOIND,EQ,280.0,287.0,287.0,275.1,275.1,275.9,282.04,2444,68929755000.0,,,
2000-02-15,MARICOIND,EQ,275.9,270.0,280.0,270.0,275.0,276.65,273.32,3805,103999115000.0,,,
2000-02-16,MARICOIND,EQ,276.65,280.0,290.0,279.0,280.0,280.0,283.04,1600,45286375000.0,,,
2000-02-17,MARICOIND,EQ,280.0,286.95,286.95,275.25,283.55,280.75,279.28,1156,32285180000.0,,,
2000-02-18,MARICOIND,EQ,280.75,289.9,289.9,271.0,283.55,279.05,275.69,1175,32393225000.0,,,
2000-02-21,MARICOIND,EQ,279.05,273.0,280.0,271.0,280.0,280.0,277.6,2689,74646835000.0,,,
2000-02-22,MARICOIND,EQ,280.0,273.1,283.25,273.1,275.1,275.35,277.37,3204,88868070000.0,,,
2000-02-23,MARICOIND,EQ,275.35,277.0,290.0,267.1,275.0,271.05,279.22,2505,69944350000.0,,,
2000-02-24,MARICOIND,EQ,271.05,279.0,285.0,272.0,275.0,274.6,275.62,2300,63393650000.0,,,
2000-02-25,MARICOIND,EQ,274.6,275.0,289.0,268.0,268.0,273.0,273.72,3309,90572365000.0,,,
2000-02-28,MARICOIND,EQ,273.0,268.0,290.0,265.0,290.0,283.05,274.7,2001,54967040000.0,,,
2000-02-29,MARICOIND,EQ,283.05,288.0,289.0,265.0,278.0,272.55,281.65,5860,165049400000.0,,,
2000-03-01,MARICOIND,EQ,272.55,266.0,280.0,266.0,280.0,280.0,272.88,425,11597250000.0,,,
2000-03-02,MARICOIND,EQ,280.0,262.0,280.0,262.0,269.9,267.95,269.71,3055,82397250000.0,,,
2000-03-03,MARICOIND,EQ,267.95,265.0,279.0,251.1,279.0,261.05,261.93,2812,73654925000.0,,,
2000-03-06,MARICOIND,EQ,261.05,245.1,260.0,240.3,244.0,244.0,249.06,3830,95388750000.0,,,
2000-03-07,MARICOIND,EQ,244.0,226.1,263.5,226.1,263.5,255.2,234.96,6421,150865800000.0,,,
2000-03-08,MARICOIND,EQ,255.2,255.0,255.0,235.0,236.0,236.25,236.84,2755,65248950000.0,,,
2000-03-09,MARICOIND,EQ,236.25,227.1,250.0,227.0,250.0,244.6,233.44,1681,39241545000.0,,,
2000-03-10,MARICOIND,EQ,244.6,240.0,254.0,240.0,244.0,244.9,250.79,1976,49556450000.0,,,
2000-03-13,MARICOIND,EQ,244.9,235.0,264.45,235.0,263.9,259.15,254.35,2606,66284119999.99999,,,
2000-03-14,MARICOIND,EQ,259.15,250.0,260.0,246.0,253.0,253.55,255.03,3863,98516965000.0,,,
2000-03-15,MARICOIND,EQ,253.55,255.0,273.0,254.0,273.0,261.55,259.96,5159,134113414999.99998,,,
2000-03-16,MARICOIND,EQ,261.55,272.0,272.0,254.0,257.0,257.0,259.53,1705,44249500000.0,,,
2000-03-21,MARICOIND,EQ,257.0,250.0,277.0,250.0,263.0,269.7,257.19,1915,49251625000.0,,,
2001-07-02,MARICOIND,EQ,204.3,220.0,245.1,220.0,245.1,245.1,220.37,68,1498510000.0,,,
2001-07-03,MARICOIND,EQ,245.1,220.0,220.0,220.0,220.0,220.0,220.0,50,1100000000.0,,,
2001-07-04,MARICOIND,EQ,220.0,234.95,234.95,234.95,234.95,234.95,234.95,1,23495000.0,,,
2001-07-05,MARICOIND,EQ,234.95,221.0,221.0,220.0,220.0,220.0,220.03,1858,40881000000.0,,,
2001-07-06,MARICOIND,EQ,220.0,234.9,234.9,225.0,225.0,225.0,227.17,205,4656950000.0,,,
2001-07-09,MARICOIND,EQ,225.0,200.0,226.4,200.0,226.4,226.4,222.0,6,133200000.0,,,
2001-07-10,MARICOIND,EQ,226.4,220.05,227.0,220.05,227.0,226.95,226.52,107,2423755000.0,,,
2001-07-11,MARICOIND,EQ,226.95,221.6,224.9,221.6,224.9,224.9,224.88,201,4520160000.0,,,
2001-07-12,MARICOIND,EQ,224.9,228.75,229.95,228.75,229.95,229.9,229.88,900,20689070000.0,,,
