Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2001-09-27,MCDOWELL-N,EQ,0.0,31.0,39.0,29.7,30.4,29.95,31.34,19364,60677700000.0,,,
2001-09-28,MCDOWELL-N,EQ,29.95,31.1,33.9,27.55,32.3,32.75,31.84,61884,197061485000.0,,,
2001-10-01,MCDOWELL-N,EQ,32.75,32.55,32.95,31.15,31.4,31.75,31.73,25546,81051935000.0,,,
2001-10-03,MCDOWELL-N,EQ,31.75,32.85,32.85,30.0,30.1,30.2,30.71,12954,39776830000.0,,,
2001-10-04,MCDOWELL-N,EQ,30.2,31.0,33.0,29.35,32.4,32.25,30.9,46305,143066185000.0,,,
2001-10-05,MCDOWELL-N,EQ,32.25,32.3,32.9,32.05,32.2,32.3,32.37,32034,103687690000.0,,,
2001-10-08,MCDOWELL-N,EQ,32.3,30.0,31.0,28.65,31.0,30.75,30.54,15211,46449275000.0,,,
2001-10-09,MCDOWELL-N,EQ,30.75,30.6,31.3,30.5,31.15,31.05,30.93,15104,46713165000.0,,,
2001-10-10,MCDOWELL-N,EQ,31.05,31.5,32.0,30.75,31.85,31.75,31.61,25920,81921930000.0,,,
2001-10-11,MCDOWELL-N,EQ,31.75,31.75,34.8,31.65,33.8,34.15,33.03,62387,206053085000.0,,,
2001-10-12,MCDOWELL-N,EQ,34.15,34.0,35.35,34.0,34.25,34.3,34.68,47699,165404525000.0,,,
2001-10-15,MCDOWELL-N,EQ,34.3,35.1,35.75,34.0,34.75,34.85,34.93,32691,114179375000.0,,,
2001-10-16,MCDOWELL-N,EQ,34.85,35.5,35.7,34.75,35.2,35.2,35.26,32557,114791889999.99998,,,
2001-10-17,MCDOWELL-N,EQ,35.2,36.1,36.1,34.45,34.5,34.6,35.26,56996,200977575000.0,,,
2001-10-18,MCDOWELL-N,EQ,34.6,34.15,35.8,34.1,35.5,35.65,35.17,24590,86471670000.0,,,
2001-10-19,MCDOWELL-N,EQ,35.65,36.0,36.0,34.65,34.65,34.9,35.35,43772,154734540000.0,,,
2001-10-22,MCDOWELL-N,EQ,34.9,36.0,41.9,36.0,41.9,41.9,40.4,118429,478399634999.99994,,,
2001-10-23,MCDOWELL-N,EQ,41.9,49.7,49.7,43.05,44.3,43.8,45.0,155481,699636645000.0,,,
2001-10-24,MCDOWELL-N,EQ,43.8,44.75,44.8,42.0,43.0,43.0,43.08,62945,271194965000.0,,,
2001-10-25,MCDOWELL-N,EQ,43.0,43.0,45.0,42.5,44.5,44.1,43.82,45768,200546860000.0,,,
2001-10-29,MCDOWELL-N,EQ,44.1,45.25,47.0,45.0,45.0,45.15,45.69,63636,290737015000.0,,,
