Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,MOTHERSUMI,EQ,116.0,120.0,125.3,120.0,125.3,125.3,123.9,1600,19823500000.0,,,
2000-01-04,MOTHERSUMI,EQ,125.3,115.5,120.0,115.5,115.5,115.5,117.09,1700,19905000000.0,,,
2000-01-05,MOTHERSUMI,EQ,115.5,111.0,122.0,110.0,122.0,120.6,116.67,3200,37333500000.0,,,
2000-01-06,MOTHERSUMI,EQ,120.6,130.0,130.25,118.0,130.25,130.25,127.38,2500,31846000000.0,,,
2000-01-07,MOTHERSUMI,EQ,130.25,136.0,136.0,125.0,130.0,129.3,130.95,3300,43212500000.0,,,
2000-01-10,MOTHERSUMI,EQ,129.3,130.0,135.0,130.0,134.0,134.0,131.0,3600,47161000000.0,,,
2000-01-11,MOTHERSUMI,EQ,134.0,130.0,133.0,125.0,130.0,130.0,130.23,5400,70321500000.0,,,
2000-01-12,MOTHERSUMI,EQ,130.0,136.9,137.9,132.0,132.25,132.25,135.25,1000,13524500000.0,,,
2000-01-13,MOTHERSUMI,EQ,132.25,137.9,137.9,132.0,132.0,132.0,133.82,900,12043500000.0,,,
2000-01-14,MOTHERSUMI,EQ,132.0,130.1,130.1,130.0,130.0,130.0,130.02,1000,13002000000.0,,,
2000-01-17,MOTHERSUMI,EQ,130.0,136.0,140.4,135.0,136.1,136.1,137.88,3100,42742000000.0,,,
2000-01-18,MOTHERSUMI,EQ,136.1,136.25,141.9,135.0,140.1,141.1,138.66,2200,30506000000.0,,,
2000-01-19,MOTHERSUMI,EQ,141.1,150.0,150.0,139.0,139.0,141.35,145.34,4700,68309500000.0,,,
2000-01-20,MOTHERSUMI,EQ,141.35,147.0,147.0,138.0,140.5,140.5,141.66,1700,24083000000.0,,,
2000-01-21,MOTHERSUMI,EQ,140.5,143.85,146.95,143.85,146.9,146.0,145.22,4000,58088500000.0,,,
2000-01-24,MOTHERSUMI,EQ,146.0,142.0,142.0,136.0,136.0,136.0,137.04,600,8222500000.0,,,
2000-01-25,MOTHERSUMI,EQ,136.0,136.0,136.0,129.0,130.0,130.0,130.28,4400,57324500000.0,,,
2000-01-27,MOTHERSUMI,EQ,130.0,130.25,130.25,130.0,130.0,130.0,130.06,400,5202500000.0,,,
2000-01-28,MOTHERSUMI,EQ,130.0,131.15,131.15,131.15,131.15,131.15,131.15,100,1311500000.0,,,
2000-02-01,MOTHERSUMI,EQ,131.15,121.0,130.0,120.7,130.0,130.0,124.23,2300,28573000000.0,,,
2000-02-02,MOTHERSUMI,EQ,130.0,132.1,140.0,132.1,139.0,139.0,137.69,3900,53697500000.0,,,
2000-02-03,MOTHERSUMI,EQ,139.0,140.0,140.0,133.0,136.0,136.0,136.8,800,10944000000.0,,,
2000-02-04,MOTHERSUMI,EQ,136.0,132.0,141.0,132.0,140.0,140.0,138.06,2400,33135500000.0,,,
2000-02-07,MOTHERSUMI,EQ,140.0,138.0,145.0,138.0,142.0,142.0,141.73,1600,22677000000.0,,,
2000-02-08,MOTHERSUMI,EQ,142.0,145.0,153.4,145.0,153.4,153.4,150.51,4500,67731500000.0,,,
2000-02-09,MOTHERSUMI,EQ,153.4,165.0,165.7,164.9,165.7,165.7,165.6,6500,107637000000.0,,,
2000-02-10,MOTHERSUMI,EQ,165.7,168.0,176.5,168.0,173.0,173.0,172.98,7900,136658000000.0,,,
2000-02-11,MOTHERSUMI,EQ,173.0,179.9,186.85,170.0,186.85,186.85,181.11,4100,74254500000.0,,,
2000-02-14,MOTHERSUMI,EQ,186.85,189.9,200.0,180.0,180.0,183.55,189.81,7400,140462500000.0,,,
2000-02-15,MOTHERSUMI,EQ,183.55,186.0,186.0,180.0,180.1,183.8,180.84,6100,110310500000.0,,,
2000-02-16,MOTHERSUMI,EQ,183.8,181.0,190.0,181.0,188.0,187.9,183.07,13400,245307500000.0,,,
2000-02-17,MOTHERSUMI,EQ,187.9,185.05,188.9,185.0,185.0,185.0,185.61,3900,72388500000.0,,,
2000-02-18,MOTHERSUMI,EQ,185.0,182.0,184.0,180.0,184.0,184.0,180.99,1500,27148000000.0,,,
2000-02-21,MOTHERSUMI,EQ,184.0,180.0,180.0,170.0,170.0,171.75,177.06,2300,40723000000.0,,,
2000-02-22,MOTHERSUMI,EQ,171.75,175.0,178.0,170.0,170.0,170.0,172.56,3200,55218500000.0,,,
2000-02-23,MOTHERSUMI,EQ,170.0,176.0,180.0,170.0,170.0,170.0,174.36,1100,19180000000.0,,,
2000-02-24,MOTHERSUMI,EQ,170.0,170.0,183.6,170.0,183.6,183.6,180.07,4300,77430500000.0,,,
2000-02-25,MOTHERSUMI,EQ,183.6,190.0,198.0,190.0,191.9,191.9,194.4,3000,58319000000.0,,,
2000-02-28,MOTHERSUMI,EQ,191.9,194.0,194.0,176.6,177.85,177.85,182.82,4700,85924500000.0,,,
2000-02-29,MOTHERSUMI,EQ,177.85,171.0,177.0,163.65,170.0,165.65,167.78,3100,52013000000.0,,,
2000-03-01,MOTHERSUMI,EQ,165.65,160.0,161.0,160.0,160.0,160.25,160.36,700,11225000000.0,,,
2000-03-02,MOTHERSUMI,EQ,160.25,162.0,167.0,161.0,162.0,162.0,163.74,2100,34386000000.0,,,
2000-03-03,MOTHERSUMI,EQ,162.0,160.0,160.0,154.5,154.5,154.5,155.45,900,13990500000.0,,,
2000-03-06,MOTHERSUMI,EQ,154.5,160.0,163.0,150.0,150.0,150.0,154.87,1300,20132500000.0,,,
2000-03-07,MOTHERSUMI,EQ,150.0,140.0,140.0,140.0,140.0,140.0,140.0,700,9800000000.0,,,
2000-03-14,MOTHERSUMI,EQ,140.0,128.8,128.8,128.8,128.8,128.8,128.8,100,1288000000.0,,,
2000-03-15,MOTHERSUMI,EQ,128.8,118.5,118.5,118.5,118.5,118.5,118.5,100,1185000000.0,,,
2000-03-16,MOTHERSUMI,EQ,118.5,110.0,110.0,110.0,110.0,110.0,110.0,300,3300000000.0,,,
2000-03-21,MOTHERSUMI,EQ,110.0,110.0,110.5,110.0,110.0,110.15,110.1,500,5505000000.0,,,
2000-03-22,MOTHERSUMI,EQ,110.15,110.0,110.0,110.0,110.0,110.0,110.0,400,4400000000.0,,,
2000-03-23,MOTHERSUMI,EQ,110.0,110.0,110.0,110.0,110.0,110.0,110.0,100,1100000000.0,,,
2000-03-24,MOTHERSUMI,EQ,110.0,110.0,110.0,110.0,110.0,110.0,110.0,100,1100000000.0,,,
2000-03-27,MOTHERSUMI,EQ,110.0,110.0,116.0,110.0,110.0,110.0,112.8,5300,59785000000.0,,,
2000-03-28,MOTHERSUMI,EQ,110.0,110.0,110.0,110.0,110.0,110.0,110.0,900,9900000000.0,,,
2000-03-29,MOTHERSUMI,EQ,110.0,112.0,115.0,112.0,115.0,115.0,113.5,200,2270000000.0,,,
2000-03-30,MOTHERSUMI,EQ,115.0,124.0,124.0,124.0,124.0,124.0,124.0,100,1240000000.0,,,
2000-03-31,MOTHERSUMI,EQ,124.0,132.9,133.0,132.9,133.0,133.0,132.95,200,2659000000.0,,,
2000-04-03,MOTHERSUMI,EQ,133.0,133.0,138.0,133.0,138.0,138.0,135.5,200,2710000000.0,,,
2000-04-04,MOTHERSUMI,EQ,138.0,127.0,127.0,127.0,127.0,127.0,127.0,200,2540000000.0,,,
2000-04-05,MOTHERSUMI,EQ,127.0,117.0,117.0,117.0,117.0,117.0,117.0,200,2340000000.0,,,
2000-04-07,MOTHERSUMI,EQ,117.0,110.0,110.0,110.0,110.0,110.0,110.0,100,1100000000.0,,,
2000-04-10,MOTHERSUMI,EQ,110.0,113.0,113.0,113.0,113.0,113.0,113.0,100,1130000000.0,,,
2000-04-11,MOTHERSUMI,EQ,113.0,117.75,117.75,110.0,110.0,110.0,113.88,200,2277500000.0,,,
2000-04-12,MOTHERSUMI,EQ,110.0,113.05,113.05,113.05,113.05,113.05,113.05,200,2261000000.0,,,
2000-04-13,MOTHERSUMI,EQ,113.05,111.5,111.5,111.5,111.5,111.5,111.5,100,1115000000.0,,,
2000-04-17,MOTHERSUMI,EQ,111.5,112.0,112.0,112.0,112.0,112.0,112.0,100,1120000000.0,,,
2000-04-18,MOTHERSUMI,EQ,112.0,112.0,112.0,112.0,112.0,112.0,112.0,100,1120000000.0,,,
2000-04-25,MOTHERSUMI,EQ,112.0,110.0,110.0,110.0,110.0,110.0,110.0,100,1100000000.0,,,
2000-04-27,MOTHERSUMI,EQ,110.0,110.0,110.0,110.0,110.0,110.0,110.0,100,1100000000.0,,,
2000-04-28,MOTHERSUMI,EQ,110.0,111.0,111.0,111.0,111.0,111.0,111.0,100,1110000000.0,,,
2000-05-02,MOTHERSUMI,EQ,111.0,118.0,118.0,118.0,118.0,118.0,118.0,100,1180000000.0,,,
