Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,MRF,EQ,2180.35,2319.0,2354.8,2285.0,2354.8,2354.8,2328.11,2550,593667000000.0,,,
2000-01-04,MRF,EQ,2354.8,2375.0,2450.0,2365.0,2450.0,2426.1,2396.02,3700,886526750000.0,,,
2000-01-05,MRF,EQ,2426.1,2391.0,2460.0,2340.0,2350.0,2350.0,2414.72,3900,941740750000.0,,,
2000-01-06,MRF,EQ,2350.0,2400.0,2538.0,2400.0,2538.0,2536.85,2510.65,7100,1782563750000.0,,,
2000-01-07,MRF,EQ,2536.85,2550.0,2580.0,2412.0,2499.0,2470.8,2478.73,6050,1499633500000.0,,,
2000-01-10,MRF,EQ,2470.8,2549.0,2575.0,2435.1,2501.0,2497.6,2502.61,5050,1263820250000.0,,,
2000-01-11,MRF,EQ,2497.6,2544.0,2544.0,2298.0,2378.0,2315.0,2369.57,9900,2345878250000.0,,,
2000-01-12,MRF,EQ,2315.0,2500.2,2500.2,2500.2,2500.2,2500.2,2500.2,101,25252020000.0,,,
2000-01-13,MRF,EQ,2500.2,2700.0,2700.25,2601.15,2640.0,2640.2,2688.24,2204,592488330000.0,,,
2000-01-14,MRF,EQ,2640.2,2580.0,2655.0,2490.0,2490.0,2514.75,2586.16,1128,291718705000.0,,,
2000-01-17,MRF,EQ,2514.75,2710.0,2710.0,2475.05,2534.0,2538.2,2545.1,924,235167275000.0,,,
2000-01-18,MRF,EQ,2538.2,2491.0,2547.0,2410.0,2495.0,2439.25,2481.08,1473,365463130000.0,,,
2000-01-19,MRF,EQ,2439.25,2510.0,2510.0,2250.0,2327.0,2352.1,2387.22,3469,828126125000.0,,,
2000-01-20,MRF,EQ,2352.1,2370.0,2390.0,2325.0,2357.0,2344.55,2353.29,1167,274629225000.0,,,
2000-01-21,MRF,EQ,2344.55,2385.0,2388.0,2310.25,2318.0,2319.45,2334.27,1840,429505175000.0,,,
2000-01-24,MRF,EQ,2319.45,2365.0,2365.0,2300.05,2300.05,2300.8,2322.3,806,187177300000.0,,,
2000-01-25,MRF,EQ,2300.8,2292.0,2300.0,2225.0,2225.0,2271.2,2268.49,2607,591395965000.0,,,
2000-01-27,MRF,EQ,2271.2,2282.0,2395.0,2225.0,2244.0,2248.05,2280.13,2266,516677355000.0,,,
2000-01-28,MRF,EQ,2248.05,2240.0,2274.95,2176.0,2191.0,2199.55,2216.77,2850,631780465000.0,,,
2000-01-31,MRF,EQ,2199.55,2150.0,2185.0,2070.0,2100.0,2118.15,2115.12,2036,430639130000.0,,,
2000-02-01,MRF,EQ,2118.15,2050.0,2164.0,2050.0,2100.0,2139.5,2135.96,2110,450688150000.0,,,
2000-02-02,MRF,EQ,2139.5,2219.95,2220.0,2152.0,2155.0,2158.3,2161.42,2753,595038250000.0,,,
2000-02-03,MRF,EQ,2158.3,2188.0,2188.0,2150.0,2175.9,2155.05,2156.03,5379,1159729045000.0,,,
2000-02-04,MRF,EQ,2155.05,2185.0,2185.9,2130.0,2149.0,2148.15,2151.08,955,205428270000.0,,,
2000-02-07,MRF,EQ,2148.15,2150.0,2175.0,2118.0,2147.05,2148.9,2151.24,914,196623300000.0,,,
2000-02-08,MRF,EQ,2148.9,2175.0,2175.0,2075.0,2100.0,2092.85,2113.35,1199,253390675000.0,,,
2000-02-09,MRF,EQ,2092.85,2180.0,2250.0,2180.0,2190.0,2203.95,2221.0,1751,388896325000.0,,,
2000-02-10,MRF,EQ,2203.95,2247.0,2247.0,2105.0,2210.0,2197.65,2180.48,1338,291748010000.0,,,
2000-02-11,MRF,EQ,2197.65,2230.0,2230.0,2154.0,2200.0,2184.0,2184.24,939,205100475000.0,,,
2000-02-14,MRF,EQ,2184.0,2194.0,2194.5,2125.0,2147.0,2156.4,2153.91,913,196652400000.0,,,
2000-02-15,MRF,EQ,2156.4,2103.0,2150.0,2102.0,2149.0,2121.6,2129.2,1933,411574110000.0,,,
2000-02-16,MRF,EQ,2121.6,2200.0,2235.0,2171.0,2208.0,2197.8,2193.72,6682,1465841090000.0,,,
2000-02-17,MRF,EQ,2197.8,2171.0,2239.0,2171.0,2200.0,2196.35,2209.85,3132,692125055000.0,,,
2000-02-18,MRF,EQ,2196.35,2180.0,2230.0,2180.0,2195.0,2186.5,2194.82,1486,326150455000.0,,,
2000-02-21,MRF,EQ,2186.5,2210.0,2218.0,2125.0,2155.0,2167.95,2166.66,1167,252849640000.0,,,
2000-02-22,MRF,EQ,2167.95,2195.0,2209.0,2050.0,2120.0,2107.55,2144.34,4336,929787644999.9999,,,
2000-02-23,MRF,EQ,2107.55,2100.0,2143.0,2000.0,2010.0,2014.7,2057.55,2709,557390880000.0,,,
2000-02-24,MRF,EQ,2014.7,2100.0,2100.0,1935.0,1950.0,1942.7,1995.06,1703,339758270000.0,,,
2000-02-25,MRF,EQ,1942.7,1900.0,1940.0,1875.0,1915.0,1884.35,1895.15,2114,400635325000.0,,,
2000-02-28,MRF,EQ,1884.35,1800.05,1920.0,1800.05,1920.0,1909.6,1877.9,1026,192672550000.0,,,
2000-02-29,MRF,EQ,1909.6,1900.0,2000.0,1876.1,1899.0,1894.85,1929.42,2607,503001075000.0,,,
2000-03-01,MRF,EQ,1894.85,1850.0,1875.0,1790.0,1831.0,1836.85,1835.06,1107,203140715000.0,,,
2000-03-02,MRF,EQ,1836.85,1831.0,1850.0,1689.9,1699.0,1693.1,1775.79,3413,606078690000.0,,,
2000-03-03,MRF,EQ,1693.1,1679.0,1680.0,1558.0,1570.0,1573.55,1601.89,2630,421296109999.99994,,,
2000-03-06,MRF,EQ,1573.55,1625.0,1699.0,1575.0,1625.0,1600.1,1656.97,4482,742653255000.0,,,
2000-03-07,MRF,EQ,1600.1,1575.0,1600.0,1472.1,1475.0,1492.3,1540.7,5481,844456885000.0,,,
2000-03-08,MRF,EQ,1492.3,1425.0,1540.0,1405.0,1449.95,1444.95,1486.11,4945,734881145000.0,,,
2000-03-09,MRF,EQ,1444.95,1438.0,1440.0,1380.0,1400.0,1403.15,1406.09,1462,205570780000.0,,,
2000-03-10,MRF,EQ,1403.15,1410.0,1475.0,1340.0,1369.0,1352.9,1413.05,2854,403284525000.0,,,
2000-03-13,MRF,EQ,1352.9,1398.0,1460.15,1389.0,1460.15,1460.1,1422.85,2761,392847975000.0,,,
2000-03-14,MRF,EQ,1460.1,1470.0,1576.0,1470.0,1518.0,1521.8,1532.14,5878,900592694999.9999,,,
2000-03-15,MRF,EQ,1521.8,1570.0,1637.9,1515.0,1560.0,1559.55,1595.13,3727,594503320000.0,,,
2000-03-16,MRF,EQ,1559.55,1600.0,1600.0,1475.0,1500.0,1491.1,1509.69,1294,195353995000.0,,,
2000-03-21,MRF,EQ,1491.1,1550.0,1585.0,1470.0,1477.5,1500.7,1522.26,4768,725811965000.0,,,
2000-03-22,MRF,EQ,1500.7,1554.0,1573.0,1477.15,1500.0,1496.05,1530.9,1937,296535105000.0,,,
2000-03-23,MRF,EQ,1496.05,1525.0,1525.0,1450.0,1450.0,1458.8,1480.32,1231,182227240000.0,,,
2000-03-24,MRF,EQ,1458.8,1450.0,1470.0,1400.0,1426.0,1430.75,1417.22,1319,186931185000.0,,,
2000-03-27,MRF,EQ,1430.75,1430.0,1450.0,1400.0,1410.0,1412.5,1417.88,1104,156533665000.0,,,
2000-03-28,MRF,EQ,1412.5,1410.0,1445.0,1387.0,1420.0,1420.05,1404.43,1904,267404129999.99997,,,
2000-03-29,MRF,EQ,1420.05,1449.0,1450.0,1413.0,1434.9,1430.25,1427.92,1771,252884035000.0,,,
2000-03-30,MRF,EQ,1430.25,1429.5,1448.0,1407.0,1411.05,1414.35,1422.32,424,60306205000.00001,,,
2000-03-31,MRF,EQ,1414.35,1429.0,1430.0,1365.5,1375.0,1384.0,1398.75,3511,491102109999.99994,,,
2000-04-03,MRF,EQ,1384.0,1383.0,1450.0,1383.0,1450.0,1434.95,1415.39,2995,423909475000.0,,,
2000-04-04,MRF,EQ,1434.95,1405.0,1405.0,1351.25,1380.0,1372.35,1377.79,3261,449296890000.00006,,,
2000-04-05,MRF,EQ,1372.35,1381.0,1435.0,1381.0,1411.0,1416.4,1413.35,882,124657895000.0,,,
2000-04-06,MRF,EQ,1416.4,1423.0,1425.0,1375.0,1400.0,1400.0,1402.54,498,69846275000.0,,,
2000-04-07,MRF,EQ,1400.0,1420.0,1512.0,1420.0,1512.0,1512.0,1474.97,1379,203398475000.0,,,
2000-04-10,MRF,EQ,1512.0,1500.0,1599.0,1500.0,1515.0,1562.05,1558.03,1523,237288690000.0,,,
2000-04-11,MRF,EQ,1562.05,1500.05,1550.0,1470.0,1550.0,1534.05,1520.94,883,134298664999.99998,,,
2000-04-12,MRF,EQ,1534.05,1540.0,1540.0,1490.0,1500.0,1492.5,1507.22,663,99928450000.0,,,
2000-04-13,MRF,EQ,1492.5,1474.9,1475.0,1452.0,1453.0,1458.8,1463.71,446,65281650000.0,,,
2000-04-17,MRF,EQ,1458.8,1450.0,1450.0,1352.0,1399.1,1402.75,1396.98,1267,176997230000.0,,,
2000-04-18,MRF,EQ,1402.75,1410.0,1469.5,1410.0,1416.0,1418.5,1422.56,911,129594780000.0,,,
