Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-06-28,I-FLEX,EQ,530.0,550.0,550.0,495.05,497.0,501.05,513.32,723610,37144014325000.0,,150078.0,0.2074
2002-07-01,I-FLEX,EQ,501.05,501.1,521.9,493.65,512.0,516.25,513.83,805905,41409800470000.0,,85361.0,0.1059
2002-07-02,I-FLEX,EQ,516.25,510.0,519.8,505.15,518.95,513.85,510.25,189546,9671627840000.0,,42106.0,0.22210000000000002
2002-07-03,I-FLEX,EQ,513.85,518.9,546.0,514.1,541.0,543.0,535.97,855012,45825998520000.0,,149525.0,0.1749
2002-07-04,I-FLEX,EQ,543.0,550.0,555.8,523.0,528.0,532.55,545.68,575577,31408318275000.0,,114547.0,0.19899999999999998
2002-07-05,I-FLEX,EQ,532.55,535.0,538.0,525.2,538.0,533.3,532.01,214069,11388718600000.0,,39885.0,0.1863
2002-07-08,I-FLEX,EQ,533.3,542.0,543.0,532.75,534.0,536.7,538.56,101848,5485085585000.0,,33377.0,0.32770000000000005
2002-07-09,I-FLEX,EQ,536.7,536.75,538.0,530.0,532.05,533.3,533.82,41737,2227990835000.0,,24141.0,0.5784
2002-07-10,I-FLEX,EQ,533.3,530.0,536.0,513.25,516.5,515.85,524.3,42514,2229011885000.0,,17795.0,0.4186
2002-07-11,I-FLEX,EQ,515.85,512.0,516.0,502.3,508.0,505.95,508.63,55145,2804837875000.0,,16829.0,0.3052
2002-07-12,I-FLEX,EQ,505.95,515.0,517.9,503.1,514.0,511.45,511.01,62161,3176501895000.0,,27857.0,0.44810000000000005
2002-07-15,I-FLEX,EQ,511.45,515.0,515.0,496.0,510.0,508.2,504.12,36363,1833139945000.0,,13917.0,0.38270000000000004
2002-07-16,I-FLEX,EQ,508.2,512.5,514.4,501.05,510.0,510.0,509.82,26331,1342400945000.0,,11605.0,0.44070000000000004
2002-07-17,I-FLEX,EQ,510.0,505.0,510.0,501.0,501.0,502.7,504.26,18790,947498394999.9999,,7907.0,0.4208
2002-07-18,I-FLEX,EQ,502.7,506.0,515.0,505.0,511.0,510.6,508.98,17246,877793219999.9999,,8817.0,0.5112
2002-07-19,I-FLEX,EQ,510.6,495.0,508.8,495.0,501.0,503.9,504.72,15453,779946250000.0,,9221.0,0.5967
2002-07-22,I-FLEX,EQ,503.9,475.0,498.0,475.0,480.5,484.6,491.45,11300,555333955000.0,,5080.0,0.4496
2002-07-23,I-FLEX,EQ,484.6,478.0,489.6,471.0,488.0,485.15,481.16,38904,1871913755000.0,,19994.0,0.5139
2002-07-24,I-FLEX,EQ,485.15,478.0,481.6,451.0,454.5,458.05,471.88,34847,1644363775000.0,,21642.0,0.6211
2002-07-25,I-FLEX,EQ,458.05,473.0,500.0,465.0,467.3,471.3,474.42,54736,2596759550000.0,,31678.0,0.5787
2002-07-26,I-FLEX,EQ,471.3,471.25,471.25,450.0,451.6,452.6,462.14,108309,5005423475000.0,,95473.0,0.8815000000000001
2002-07-29,I-FLEX,EQ,452.6,456.0,464.0,435.25,453.0,454.55,448.54,20871,936157560000.0,,8200.0,0.3929
2002-07-30,I-FLEX,EQ,454.55,540.2,540.2,456.1,458.0,465.2,474.69,99784,4736655880000.0,,37666.0,0.3775
2002-07-31,I-FLEX,EQ,465.2,465.0,469.0,401.0,461.05,462.95,457.54,73557,3365539865000.0,,25193.0,0.3425
2002-08-01,I-FLEX,EQ,462.95,470.0,488.8,461.15,482.0,484.2,477.27,71515,3413163995000.0005,,32557.0,0.45520000000000005
2002-08-02,I-FLEX,EQ,484.2,472.0,499.0,465.0,494.05,495.6,487.21,71362,3476801165000.0,,20389.0,0.2857
2002-08-05,I-FLEX,EQ,495.6,496.15,517.95,487.1,490.0,493.1,496.99,27698,1376562130000.0,,8086.0,0.2919
2002-08-06,I-FLEX,EQ,493.1,495.0,499.0,481.0,496.0,493.2,489.07,13287,649823395000.0,,5255.0,0.39549999999999996
2002-08-07,I-FLEX,EQ,493.2,501.0,503.65,488.7,496.0,493.9,499.01,23916,1193437700000.0,,9256.0,0.387
2002-08-08,I-FLEX,EQ,493.9,497.0,498.0,485.0,490.0,485.7,489.12,10600,518471915000.00006,,3700.0,0.34909999999999997
2002-08-09,I-FLEX,EQ,485.7,495.0,509.0,490.05,492.7,494.1,495.11,29825,1476658665000.0,,5452.0,0.18280000000000002
2002-08-12,I-FLEX,EQ,494.1,495.55,503.4,495.55,497.05,499.1,499.41,12384,618473320000.0,,4501.0,0.36350000000000005
2002-08-13,I-FLEX,EQ,499.1,498.0,503.0,497.05,499.0,499.8,500.41,7152,357896495000.0,,3410.0,0.4768
2002-08-14,I-FLEX,EQ,499.8,482.0,500.0,482.0,500.0,497.8,495.49,4065,201417640000.0,,1653.0,0.40659999999999996
2002-08-16,I-FLEX,EQ,497.8,502.0,526.4,502.0,519.0,518.9,518.26,122386,6342727620000.0,,37635.0,0.3075
2002-08-19,I-FLEX,EQ,518.9,521.0,530.0,517.05,522.9,522.85,522.27,34585,1806254750000.0,,9256.0,0.2676
2002-08-20,I-FLEX,EQ,522.85,527.0,531.9,511.0,527.5,527.95,526.83,36743,1935721864999.9998,,15071.0,0.41020000000000006
2002-08-21,I-FLEX,EQ,527.95,522.0,531.9,516.1,518.0,523.4,526.29,21449,1128847525000.0,,9362.0,0.4365
2002-08-22,I-FLEX,EQ,523.4,500.0,526.95,500.0,517.7,517.9,520.31,10548,548818645000.0,,5950.0,0.5640999999999999
2002-08-23,I-FLEX,EQ,517.9,517.25,532.5,517.25,532.0,531.4,527.39,26969,1422330755000.0,,18660.0,0.6919
2002-08-26,I-FLEX,EQ,531.4,527.0,552.0,525.1,535.0,534.15,540.21,103227,5576465750000.0,,41207.0,0.3992
2002-08-27,I-FLEX,EQ,534.15,540.0,547.0,521.05,521.55,522.95,535.07,54916,2938377265000.0,,22318.0,0.40640000000000004
2002-08-28,I-FLEX,EQ,522.95,524.0,524.0,508.25,510.1,511.55,513.99,35104,1804294760000.0002,,14432.0,0.4111
2002-08-29,I-FLEX,EQ,511.55,505.1,528.85,505.1,528.0,524.0,521.37,33517,1747492414999.9998,,12681.0,0.37829999999999997
2002-08-30,I-FLEX,EQ,524.0,527.0,544.9,525.0,542.0,542.15,537.14,54256,2914321630000.0,,32542.0,0.5998
2002-09-02,I-FLEX,EQ,542.15,552.4,575.7,542.5,563.0,562.65,562.3,299526,16842440580000.002,,115009.0,0.384
2002-09-03,I-FLEX,EQ,562.65,565.0,565.4,545.0,555.1,553.35,555.12,93778,5205792785000.0,,20190.0,0.21530000000000002
2002-09-04,I-FLEX,EQ,553.35,541.1,584.9,541.1,574.5,579.1,568.85,341685,19436676205000.0,,69144.0,0.2024
2002-09-05,I-FLEX,EQ,579.1,580.0,585.9,559.0,561.1,562.85,573.79,166641,9561653195000.0,,25877.0,0.1553
2002-09-06,I-FLEX,EQ,562.85,551.0,566.8,540.05,558.0,555.4,558.59,101847,5689051935000.0,,11411.0,0.11199999999999999
2002-09-09,I-FLEX,EQ,555.4,557.95,576.9,551.1,572.0,571.25,566.21,81083,4590993490000.0,,35964.0,0.4435
2002-09-11,I-FLEX,EQ,571.25,575.55,602.0,573.1,593.5,593.25,591.95,232478,13761554350000.0,,56876.0,0.2447
2002-09-12,I-FLEX,EQ,593.25,599.75,612.7,591.0,594.5,597.3,603.76,243814,14720549960000.0,,46438.0,0.1905
2002-09-13,I-FLEX,EQ,597.3,585.0,594.9,579.45,587.0,582.6,585.69,82875,4853923965000.0,,10797.0,0.1303
2002-09-16,I-FLEX,EQ,582.6,590.0,604.8,578.1,581.0,581.2,589.13,76573,4511177415000.0,,10906.0,0.1424
2002-09-17,I-FLEX,EQ,581.2,585.0,598.0,585.0,592.1,592.25,593.35,65155,3865982900000.0,,17529.0,0.269
2002-09-18,I-FLEX,EQ,592.25,586.0,590.0,571.6,582.0,577.0,580.51,43216,2508746440000.0,,12749.0,0.295
2002-09-19,I-FLEX,EQ,577.0,582.0,587.0,550.0,552.0,557.15,563.66,131573,7416214880000.0,,37126.0,0.2822
2002-09-20,I-FLEX,EQ,557.15,470.0,564.8,470.0,561.0,558.6,550.18,170230,9365742130000.0,,59833.0,0.3515
2002-09-23,I-FLEX,EQ,558.6,561.25,577.3,561.25,565.2,567.65,570.24,74725,4261114665000.0,,20658.0,0.27649999999999997
2002-09-24,I-FLEX,EQ,567.65,563.9,563.9,549.35,559.45,558.8,556.51,61091,3399797550000.0,,12204.0,0.1998
2002-09-25,I-FLEX,EQ,558.8,550.0,578.0,540.1,575.0,574.95,566.26,70695,4003207640000.0,,19488.0,0.2757
2002-09-26,I-FLEX,EQ,574.95,580.0,588.0,571.1,573.0,577.45,578.32,40837,2361666735000.0,,9674.0,0.23690000000000003
2002-09-27,I-FLEX,EQ,577.45,578.0,584.0,555.0,568.0,567.2,569.4,72218,4112094325000.0,,,
2002-09-30,I-FLEX,EQ,567.2,561.0,568.5,554.45,555.0,555.9,560.24,45493,2548718810000.0,,37746.0,0.3207
2002-10-01,I-FLEX,EQ,555.9,565.0,578.9,553.45,573.0,572.45,564.97,71222,4023826025000.0,,12635.0,0.17739999999999997
2002-10-03,I-FLEX,EQ,572.45,570.0,582.5,568.0,570.5,570.35,573.28,56961,3265457970000.0,,5983.0,0.105
2002-10-04,I-FLEX,EQ,570.35,573.0,579.0,570.0,570.0,572.8,573.49,24755,1419671925000.0,,3895.0,0.1573
2002-10-07,I-FLEX,EQ,572.8,575.0,579.0,562.6,568.1,567.95,570.89,24840,1418082720000.0,,7805.0,0.31420000000000003
2002-10-08,I-FLEX,EQ,567.95,560.1,581.0,560.1,580.0,578.9,574.77,29037,1668953355000.0,,13262.0,0.45670000000000005
2002-10-09,I-FLEX,EQ,578.9,585.0,586.95,570.1,573.1,572.65,577.24,26513,1530448755000.0,,8178.0,0.3085
2002-10-10,I-FLEX,EQ,572.65,568.0,595.7,566.0,594.0,589.95,583.02,77478,4517085585000.0,,25601.0,0.33039999999999997
2002-10-11,I-FLEX,EQ,589.95,599.0,622.5,595.05,605.0,604.85,610.4,236674,14446522430000.002,,58196.0,0.2459
2002-10-14,I-FLEX,EQ,604.85,610.0,618.8,596.1,609.0,607.8,607.71,90282,5486529195000.0,,28692.0,0.3178
2002-10-16,I-FLEX,EQ,607.8,615.0,620.0,596.0,600.25,600.95,610.54,94184,5750271170000.0,,33391.0,0.35450000000000004
2002-10-17,I-FLEX,EQ,600.95,603.0,614.8,601.0,612.8,610.95,608.34,54820,3334931725000.0,,23816.0,0.4344
2002-10-18,I-FLEX,EQ,610.95,608.65,622.0,608.65,620.0,617.15,616.77,89306,5508137445000.0,,44196.0,0.4949
2002-10-21,I-FLEX,EQ,617.15,622.1,628.9,616.1,618.0,618.6,619.83,68305,4233733535000.0,,27239.0,0.39880000000000004
2002-10-22,I-FLEX,EQ,618.6,616.1,622.9,608.0,612.0,611.2,613.88,34103,2093508855000.0,,15929.0,0.4671
2002-10-23,I-FLEX,EQ,611.2,590.05,626.0,590.0,623.0,618.8,620.58,73323,4550278025000.0,,19036.0,0.2596
2002-10-24,I-FLEX,EQ,618.8,620.0,624.0,606.0,618.0,615.9,616.25,34613,2133043370000.0,,10240.0,0.2958
2002-10-25,I-FLEX,EQ,615.9,618.0,618.0,597.6,602.0,602.9,606.25,43955,2664783285000.0,,11751.0,0.26730000000000004
2002-10-28,I-FLEX,EQ,602.9,601.0,610.0,585.0,593.6,594.0,599.37,53547,3209455270000.0,,11310.0,0.21120000000000003
2002-10-29,I-FLEX,EQ,594.0,598.0,614.95,572.25,610.0,602.35,591.66,67991,4022757265000.0,,25753.0,0.3788
2002-10-30,I-FLEX,EQ,602.35,523.55,612.7,523.55,598.0,601.85,601.69,17877,1075634305000.0001,,6211.0,0.34740000000000004
2002-10-31,I-FLEX,EQ,601.85,604.0,617.7,600.1,615.0,611.9,606.98,17935,1088623050000.0,,8314.0,0.4636
