Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,NICOLASPIR,EQ,723.3,780.0,781.2,756.05,781.2,781.2,778.87,2600,202507250000.0,,,
2000-01-04,NICOLASPIR,EQ,781.2,800.0,810.0,772.0,810.0,798.85,792.98,9150,725573000000.0,,,
2000-01-05,NICOLASPIR,EQ,798.85,755.0,790.0,751.1,772.6,774.75,778.86,7450,580249750000.0,,,
2000-01-06,NICOLASPIR,EQ,774.75,835.0,835.0,755.05,778.7,778.7,774.01,4550,352176250000.0,,,
2000-01-07,NICOLASPIR,EQ,778.7,770.0,784.0,735.0,758.0,753.95,758.02,5000,379012250000.0,,,
2000-01-10,NICOLASPIR,EQ,753.95,780.0,785.0,751.1,759.0,754.05,758.03,6050,458611000000.0,,,
2000-01-11,NICOLASPIR,EQ,754.05,748.0,748.0,695.05,699.9,696.75,709.11,9850,698477250000.0,,,
2000-01-12,NICOLASPIR,EQ,696.75,752.5,752.5,752.5,752.5,752.5,752.5,549,41312250000.0,,,
2000-01-13,NICOLASPIR,EQ,752.5,799.0,799.0,750.0,755.0,756.95,762.86,2011,153410435000.0,,,
2000-01-14,NICOLASPIR,EQ,756.95,736.0,740.0,720.0,727.5,726.2,728.71,1988,144867200000.0,,,
2000-01-17,NICOLASPIR,EQ,726.2,730.0,740.0,720.1,720.1,720.7,730.29,3496,255309229999.99997,,,
2000-01-18,NICOLASPIR,EQ,720.7,720.0,720.0,690.0,696.1,697.5,701.89,3524,247345045000.00003,,,
2000-01-19,NICOLASPIR,EQ,697.5,744.0,744.0,700.0,700.05,704.4,712.66,8807,627636005000.0,,,
2000-01-20,NICOLASPIR,EQ,704.4,710.0,724.0,700.0,704.25,704.45,708.65,14345,1016552015000.0,,,
2000-01-21,NICOLASPIR,EQ,704.45,715.0,715.0,688.0,696.0,691.1,693.07,3234,224138845000.00003,,,
2000-01-24,NICOLASPIR,EQ,691.1,686.0,699.0,652.3,660.0,659.4,684.6,4080,279316885000.0,,,
2000-01-25,NICOLASPIR,EQ,659.4,652.0,673.0,610.0,634.0,621.2,633.37,10983,695629210000.0,,,
2000-01-27,NICOLASPIR,EQ,621.2,648.0,658.0,635.0,658.0,656.75,644.64,3055,196937230000.0,,,
2000-01-28,NICOLASPIR,EQ,656.75,658.9,658.9,629.0,649.0,642.6,646.67,2860,184948410000.0,,,
2000-01-31,NICOLASPIR,EQ,642.6,640.0,640.0,611.0,611.0,614.25,624.89,3360,209962645000.00003,,,
2000-02-01,NICOLASPIR,EQ,614.25,613.0,628.0,601.0,601.0,609.5,613.83,3749,230123415000.0,,,
2000-02-02,NICOLASPIR,EQ,609.5,616.0,635.0,616.0,626.95,627.2,628.67,3640,228835085000.0,,,
2000-02-03,NICOLASPIR,EQ,627.2,630.0,630.0,612.0,612.0,615.6,619.72,1406,87133330000.0,,,
