Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,P&G,EQ,699.85,720.0,755.6,720.0,755.6,752.1,738.62,8861,654490495000.0,,,
2000-01-04,P&G,EQ,752.1,765.0,799.0,708.0,725.0,724.1,728.24,11058,805290265000.0,,,
2000-01-05,P&G,EQ,724.1,667.0,725.05,667.0,704.0,703.0,710.32,8610,611584270000.0,,,
2000-01-06,P&G,EQ,703.0,709.9,750.0,701.0,708.95,709.0,718.47,30507,2191825200000.0,,,
2000-01-07,P&G,EQ,709.0,691.0,746.9,691.0,722.0,723.1,723.85,30033,2173952825000.0,,,
2000-01-10,P&G,EQ,723.1,750.0,779.0,741.55,762.0,767.5,762.05,30050,2289972130000.0,,,
2000-01-11,P&G,EQ,767.5,779.0,779.0,710.0,723.0,721.9,735.67,20415,1501867965000.0,,,
2000-01-12,P&G,EQ,721.9,730.0,779.65,730.0,779.65,765.05,754.24,11580,873412585000.0,,,
2000-01-13,P&G,EQ,765.05,810.0,826.0,780.0,800.0,798.45,810.28,33292,2697585070000.0,,,
2000-01-14,P&G,EQ,798.45,788.0,798.0,764.0,764.0,773.6,775.65,9145,709333675000.0,,,
2000-01-17,P&G,EQ,773.6,764.0,780.0,755.0,755.0,758.65,767.97,7172,550786850000.0,,,
2000-01-18,P&G,EQ,758.65,750.0,785.0,731.55,780.0,767.5,753.8,12881,970969635000.0,,,
2000-01-19,P&G,EQ,767.5,767.95,767.95,754.0,759.85,758.45,759.97,4702,357339335000.0,,,
2000-01-20,P&G,EQ,758.45,760.0,770.0,745.1,750.0,749.5,752.79,4969,374058920000.0,,,
2000-01-21,P&G,EQ,749.5,749.0,751.0,735.0,740.0,739.45,740.57,4420,327332710000.0,,,
2000-01-24,P&G,EQ,739.45,744.0,744.0,715.0,715.0,716.1,724.45,6476,469151975000.0,,,
2000-01-25,P&G,EQ,716.1,710.3,730.0,710.3,711.0,722.75,721.06,7637,550674725000.0,,,
2000-01-27,P&G,EQ,722.75,735.0,735.0,710.0,712.0,712.2,721.52,6915,498929675000.0,,,
2000-01-28,P&G,EQ,712.2,715.0,721.95,695.5,700.0,698.35,701.74,9757,684690660000.0,,,
2000-01-31,P&G,EQ,698.35,708.0,708.0,665.0,670.0,673.05,679.48,7296,495751745000.0,,,
2000-02-01,P&G,EQ,673.05,671.0,679.85,651.0,665.0,662.55,670.61,10692,717013005000.0,,,
2000-02-02,P&G,EQ,662.55,670.0,697.9,670.0,674.25,676.35,680.51,9873,671869765000.0,,,
2000-02-03,P&G,EQ,676.35,684.8,685.0,675.0,682.9,679.85,679.51,8145,553460020000.0,,,
2000-02-04,P&G,EQ,679.85,685.0,685.0,666.0,673.5,668.55,669.76,6468,433199184999.99994,,,
2000-02-07,P&G,EQ,668.55,675.0,684.85,632.0,647.0,646.4,651.17,9516,619653280000.0,,,
2000-02-08,P&G,EQ,646.4,660.0,664.0,640.0,663.0,655.4,649.37,12436,807550910000.0,,,
2000-02-09,P&G,EQ,655.4,688.0,707.0,673.35,675.0,674.95,686.46,15086,1035586790000.0,,,
2000-02-10,P&G,EQ,674.95,679.5,696.7,671.05,675.0,674.7,683.94,7206,492845265000.00006,,,
2000-02-11,P&G,EQ,674.7,695.0,698.5,672.25,680.0,679.6,682.48,5828,397747085000.0,,,
2000-02-14,P&G,EQ,679.6,690.0,725.0,670.0,688.0,685.35,691.85,10759,744361395000.0,,,
2000-02-15,P&G,EQ,685.35,700.0,701.0,675.0,682.0,680.9,689.52,10197,703105030000.0,,,
2000-02-16,P&G,EQ,680.9,718.0,735.0,678.1,692.9,682.7,694.7,8874,616474710000.0,,,
2000-02-17,P&G,EQ,682.7,693.9,719.0,678.15,718.95,712.5,704.47,10488,738844820000.0,,,
2000-02-18,P&G,EQ,712.5,729.0,730.0,684.0,699.95,691.2,701.89,9149,642156015000.0,,,
2000-02-21,P&G,EQ,691.2,699.0,710.0,694.0,698.0,701.4,702.78,5688,399742385000.0,,,
