Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-04-26,PNB,EQ,31.0,40.0,40.0,35.0,37.3,37.4,37.03,4000760,14815501755000.002,,2048637.0,0.5121
2002-04-29,PNB,EQ,37.4,38.5,39.1,37.65,39.1,38.6,38.26,2602886,9957692480000.0,,1632801.0,0.6273
2002-04-30,PNB,EQ,38.6,39.0,40.35,38.5,40.15,40.1,39.79,1377334,5480686870000.0,,,
2002-05-02,PNB,EQ,40.1,40.25,46.1,40.25,45.1,44.8,44.15,3348126,14782021185000.0,,1307465.0,0.39049999999999996
2002-05-03,PNB,EQ,44.8,45.8,47.45,44.55,46.95,46.45,46.1,2689672,12399097565000.0,,1032559.0,0.3839
2002-05-06,PNB,EQ,46.45,47.0,48.25,45.95,46.8,46.7,46.96,1609113,7556833334999.999,,1041920.0,0.6475
2002-05-07,PNB,EQ,46.7,46.85,46.85,44.65,45.0,45.3,45.69,964485,4406571815000.0,,649068.0,0.6729999999999999
2002-05-08,PNB,EQ,45.3,45.5,45.7,42.6,44.25,43.4,43.9,642380,2820202815000.0,,399537.0,0.622
2002-05-09,PNB,EQ,43.4,44.7,44.7,42.85,43.8,43.7,43.62,507464,2213547180000.0,,317226.0,0.6251
2002-05-10,PNB,EQ,43.7,48.0,48.0,42.9,43.6,43.35,43.32,315013,1364499475000.0,,214039.0,0.6795
2002-05-13,PNB,EQ,43.35,44.0,45.0,43.9,44.7,44.65,44.65,525301,2345254175000.0,,397041.0,0.7558
2002-05-14,PNB,EQ,44.65,45.0,45.0,43.25,43.35,43.5,44.16,226877,1001951819999.9999,,154916.0,0.6828000000000001
2002-05-15,PNB,EQ,43.5,43.8,44.25,42.4,42.5,42.6,43.1,280129,1207474470000.0,,196848.0,0.7027
2002-05-16,PNB,EQ,42.6,42.8,42.8,41.1,41.1,41.25,41.61,164177,683221725000.0,,113349.0,0.6904000000000001
2002-05-17,PNB,EQ,41.25,41.0,41.65,39.0,40.25,40.15,40.22,361286,1452938990000.0,,225755.0,0.6249
2002-05-20,PNB,EQ,40.15,39.95,40.0,38.3,38.6,38.7,39.13,237898,930987075000.0,,148760.0,0.6253000000000001
2002-05-21,PNB,EQ,38.7,38.5,38.5,36.05,37.5,37.25,37.32,271686,1013907580000.0001,,180770.0,0.6654000000000001
2002-05-22,PNB,EQ,37.25,36.55,38.2,36.4,37.25,37.15,37.23,173312,645275905000.0,,129204.0,0.7454999999999999
2002-05-23,PNB,EQ,37.15,37.75,38.1,37.0,37.7,37.6,37.68,218721,824086540000.0,,151730.0,0.6937000000000001
2002-05-24,PNB,EQ,37.6,38.5,39.65,38.4,39.6,38.85,39.09,278098,1087066144999.9999,,173187.0,0.6228
2002-05-27,PNB,EQ,38.85,39.5,39.8,38.8,39.0,39.1,39.23,200227,785549255000.0,,118329.0,0.5910000000000001
2002-05-28,PNB,EQ,39.1,39.5,40.0,38.0,38.25,38.1,38.37,184105,706326150000.0,,126582.0,0.6876000000000001
2002-05-29,PNB,EQ,38.1,38.85,39.95,38.55,39.95,39.6,39.35,159961,629414745000.0,,,
2002-05-30,PNB,EQ,39.6,40.0,41.3,38.6,39.0,39.0,40.12,428481,1719190614999.9998,,,
2002-05-31,PNB,EQ,39.0,39.75,40.45,38.25,39.0,38.95,39.21,263603,1033504440000.0,,,
2002-06-03,PNB,EQ,38.95,40.5,40.5,37.5,38.05,38.1,38.57,218914,844407730000.0001,,140309.0,0.6409
2002-06-04,PNB,EQ,38.1,39.45,40.2,38.3,39.5,39.4,39.6,354639,1404494660000.0,,210369.0,0.5932000000000001
2002-06-05,PNB,EQ,39.4,41.0,43.4,39.65,42.85,42.75,42.0,1684248,7074679259999.999,,714958.0,0.42450000000000004
2002-06-06,PNB,EQ,42.75,43.75,44.5,41.35,42.1,42.15,42.77,578726,2474959540000.0,,296077.0,0.5115999999999999
2002-06-07,PNB,EQ,42.15,43.15,44.5,41.95,43.15,42.9,43.51,995319,4330189835000.0,,554508.0,0.5571
2002-06-10,PNB,EQ,42.9,43.95,45.5,42.8,45.25,45.0,44.31,1017568,4508598785000.0,,648815.0,0.6376
2002-06-11,PNB,EQ,45.0,46.55,50.75,45.5,50.7,50.05,48.04,2337784,11231077325000.0,,1318909.0,0.5642
2002-06-12,PNB,EQ,50.05,49.05,51.7,47.8,48.5,48.55,49.71,1649690,8200588650000.0,,703740.0,0.4266
2002-06-13,PNB,EQ,48.55,49.9,50.0,47.9,48.3,48.15,48.91,489751,2395188050000.0,,276735.0,0.5651
2002-06-14,PNB,EQ,48.15,48.9,49.25,47.1,47.9,47.95,48.38,479743,2321086810000.0,,279724.0,0.5831000000000001
2002-06-17,PNB,EQ,47.95,55.0,55.0,47.55,47.95,47.9,48.73,400849,1953382530000.0,,220922.0,0.5511
2002-06-18,PNB,EQ,47.9,48.2,48.8,46.6,46.8,46.9,47.48,233272,1107513365000.0,,140390.0,0.6018
2002-06-19,PNB,EQ,46.9,48.75,50.85,47.1,47.4,47.4,48.5,592542,2873567480000.0,,274820.0,0.46380000000000005
2002-06-20,PNB,EQ,47.4,49.9,49.9,47.0,48.4,48.4,48.24,459609,2217371845000.0,,299486.0,0.6516
2002-06-21,PNB,EQ,48.4,49.0,50.0,48.25,49.5,49.3,49.21,775902,3818017300000.0,,452560.0,0.5833
2002-06-24,PNB,EQ,49.3,49.9,49.9,47.5,48.9,48.7,48.64,209455,1018704894999.9999,,135076.0,0.6448999999999999
2002-06-25,PNB,EQ,48.7,48.9,48.9,47.5,47.6,47.85,48.05,109162,524470975000.0,,70472.0,0.6456000000000001
2002-06-26,PNB,EQ,47.85,56.0,56.0,46.75,47.5,47.05,47.19,181066,854445819999.9999,,113746.0,0.6282
2002-06-27,PNB,EQ,47.05,47.4,48.2,46.9,47.85,47.4,47.5,160630,762956860000.0,,90019.0,0.5604
2002-06-28,PNB,EQ,47.4,48.5,48.85,47.5,48.0,48.2,48.15,235146,1132175470000.0,,136177.0,0.5791
2002-07-01,PNB,EQ,48.2,48.0,48.7,47.75,47.95,47.85,48.2,165194,796251735000.0,,113936.0,0.6897
2002-07-02,PNB,EQ,47.85,48.0,48.35,47.25,47.5,47.5,47.92,130681,626215350000.0,,85275.0,0.6525
2002-07-03,PNB,EQ,47.5,47.3,47.85,47.3,47.4,47.55,47.57,61176,290990710000.0,,48430.0,0.7917000000000001
2002-07-04,PNB,EQ,47.55,47.8,49.5,47.6,48.5,48.6,48.64,482631,2347422700000.0,,330753.0,0.6853
2002-07-05,PNB,EQ,48.6,49.5,49.75,48.0,49.2,49.25,48.93,692191,3386732754999.9995,,493946.0,0.7136
2002-07-08,PNB,EQ,49.25,49.5,50.2,49.0,49.0,49.3,49.68,558394,2773842760000.0,,301968.0,0.5408
2002-07-09,PNB,EQ,49.3,49.5,49.6,48.5,48.7,48.85,49.11,143266,703550030000.0,,107335.0,0.7492000000000001
2002-07-10,PNB,EQ,48.85,48.8,49.4,48.25,49.2,49.15,48.93,232603,1138100485000.0,,173877.0,0.7475
2002-07-11,PNB,EQ,49.15,48.5,49.5,46.5,47.0,46.8,47.9,286849,1374084615000.0,,186000.0,0.6484000000000001
2002-07-12,PNB,EQ,46.8,47.25,48.0,47.1,47.35,47.55,47.56,134682,640597690000.0,,93435.0,0.6937000000000001
2002-07-15,PNB,EQ,47.55,56.1,56.1,46.8,48.6,48.85,48.41,391697,1896145289999.9998,,193342.0,0.4936
2002-07-16,PNB,EQ,48.85,48.0,48.9,47.1,47.3,47.5,48.03,223167,1071898435000.0,,155767.0,0.698
2002-07-17,PNB,EQ,47.5,47.9,47.9,46.25,46.7,46.65,46.75,93777,438434355000.0,,57858.0,0.617
