Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,SAIL,EQ,11.3,12.25,13.95,11.8,13.2,13.2,13.08,3890030,5087178735000.0,,,
2000-01-04,SAIL,EQ,13.2,13.5,13.5,12.6,13.1,12.85,12.87,2194861,2824339980000.0,,,
2000-01-05,SAIL,EQ,12.85,13.0,13.75,12.0,12.9,12.85,13.05,3123967,4076556120000.0005,,,
2000-01-06,SAIL,EQ,12.85,13.2,14.0,13.05,13.4,13.3,13.61,4432475,6033762205000.0,,,
2000-01-07,SAIL,EQ,13.3,13.5,13.65,12.75,13.05,12.9,13.13,2528164,3318412025000.0,,,
2000-01-10,SAIL,EQ,12.9,13.95,14.2,13.35,13.6,13.65,13.71,3940185,5400676245000.0,,,
2000-01-11,SAIL,EQ,13.65,13.6,13.6,12.3,12.4,12.5,12.71,3158058,4013867850000.0,,,
2000-01-12,SAIL,EQ,12.5,13.0,13.0,12.4,12.65,12.6,12.69,1066776,1353584370000.0,,,
2000-01-13,SAIL,EQ,12.6,12.7,12.9,12.3,12.35,12.4,12.55,633585,795394140000.0,,,
2000-01-14,SAIL,EQ,12.4,12.6,12.6,11.75,12.15,12.15,12.1,789084,954792015000.0,,,
2000-01-17,SAIL,EQ,12.15,12.4,12.7,12.05,12.3,12.3,12.43,1083445,1347003890000.0,,,
2000-01-18,SAIL,EQ,12.3,12.3,12.4,11.95,12.3,12.15,12.15,1288023,1565386340000.0,,,
2000-01-19,SAIL,EQ,12.15,12.9,12.9,12.3,12.3,12.35,12.43,587096,729979445000.0,,,
2000-01-20,SAIL,EQ,12.35,12.3,12.85,12.0,12.2,12.3,12.44,1538093,1912730375000.0,,,
2000-01-21,SAIL,EQ,12.3,12.05,12.25,12.0,12.15,12.1,12.09,820954,992592735000.0,,,
2000-01-24,SAIL,EQ,12.1,12.3,12.3,11.35,11.45,11.4,11.72,1139416,1335938515000.0,,,
2000-01-25,SAIL,EQ,11.4,11.3,11.45,10.8,10.9,10.9,11.06,1112692,1230676930000.0,,,
2000-01-27,SAIL,EQ,10.9,11.55,11.55,10.9,10.95,10.95,11.04,686797,758398110000.0,,,
2000-01-28,SAIL,EQ,10.95,10.85,11.2,10.55,10.75,10.7,10.68,986578,1053805650000.0,,,
2000-01-31,SAIL,EQ,10.7,10.5,10.5,9.55,9.65,9.6,9.84,1016400,999843175000.0,,,
2000-02-01,SAIL,EQ,9.6,9.4,9.9,9.0,9.8,9.75,9.5,1169531,1110629315000.0,,,
2000-02-02,SAIL,EQ,9.75,9.55,10.4,9.55,10.1,10.25,10.22,813049,831156030000.0,,,
2000-02-03,SAIL,EQ,10.25,10.4,10.5,10.0,10.15,10.1,10.14,494834,501905340000.00006,,,
2000-02-04,SAIL,EQ,10.1,10.35,12.35,10.35,11.45,11.6,11.03,2027586,2236751675000.0,,,
2000-02-07,SAIL,EQ,11.6,11.9,11.9,11.0,11.1,11.1,11.24,742080,834130780000.0,,,
2000-02-08,SAIL,EQ,11.1,11.85,12.0,11.2,11.35,11.4,11.4,1744586,1989452610000.0002,,,
2000-02-09,SAIL,EQ,11.4,11.75,11.75,11.2,11.2,11.25,11.43,1339381,1530830990000.0,,,
2000-02-10,SAIL,EQ,11.25,11.4,11.4,10.85,10.95,10.9,11.0,396713,436388575000.0,,,
2000-02-11,SAIL,EQ,10.9,11.0,11.2,10.25,10.35,10.3,10.49,667567,700181390000.0,,,
2000-02-14,SAIL,EQ,10.3,10.8,11.15,10.25,10.55,10.6,10.64,736257,783414190000.0,,,
2000-02-15,SAIL,EQ,10.6,10.8,13.25,10.5,12.55,12.75,11.94,4935439,5891016705000.0,,,
2000-02-16,SAIL,EQ,12.75,14.9,15.9,13.6,14.0,14.05,14.26,14760808,21051028845000.0,,,
2000-02-17,SAIL,EQ,14.05,14.45,14.5,13.65,13.9,13.9,13.88,3807004,5283677620000.0,,,
2000-02-18,SAIL,EQ,13.9,14.1,14.2,12.25,12.45,12.3,12.64,4603808,5818979370000.0,,,
2000-02-21,SAIL,EQ,12.3,12.85,12.85,10.9,11.35,11.35,11.47,3391028,3891027510000.0,,,
2000-02-22,SAIL,EQ,11.35,11.15,11.45,10.6,10.85,10.7,10.89,3324102,3620813279999.9995,,,
2000-02-23,SAIL,EQ,10.7,11.45,11.5,10.8,10.8,10.9,11.17,1348343,1506464380000.0,,,
2000-02-24,SAIL,EQ,10.9,11.4,11.4,10.8,11.15,11.05,11.04,665854,734831155000.0,,,
2000-02-25,SAIL,EQ,11.05,11.3,11.35,10.85,11.0,10.9,11.01,861253,948660319999.9999,,,
