Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,SIEMENS,EQ,504.55,523.0,544.95,515.0,544.95,544.95,534.22,586816,31349084110000.004,,,
2000-01-04,SIEMENS,EQ,544.95,550.0,564.8,521.0,548.0,546.55,540.67,512862,27728792935000.004,,,
2000-01-05,SIEMENS,EQ,546.55,505.0,551.9,505.0,525.0,522.5,527.75,214103,11299360495000.0,,,
2000-01-06,SIEMENS,EQ,522.5,517.0,551.0,505.35,529.0,530.0,540.58,202782,10961961070000.0,,,
2000-01-07,SIEMENS,EQ,530.0,516.3,535.0,487.6,487.6,487.8,497.52,92406,4597414610000.0,,,
2000-01-10,SIEMENS,EQ,487.8,499.0,509.0,476.0,477.55,478.9,485.67,62323,3026857995000.0,,,
2000-01-11,SIEMENS,EQ,478.9,484.0,484.0,440.6,451.0,449.8,454.27,143647,6525407955000.0,,,
2000-01-12,SIEMENS,EQ,449.8,457.5,475.0,455.0,465.0,464.45,463.03,65960,3054177640000.0,,,
2000-01-13,SIEMENS,EQ,464.45,465.1,485.0,460.0,482.0,478.25,475.5,96170,4572914795000.0,,,
2000-01-14,SIEMENS,EQ,478.25,483.0,488.8,461.0,464.85,464.25,473.68,68622,3250456190000.0,,,
2000-01-17,SIEMENS,EQ,464.25,479.9,480.0,460.0,465.2,467.15,468.26,52744,2469787575000.0,,,
2000-01-18,SIEMENS,EQ,467.15,458.0,467.0,455.0,460.0,458.9,460.1,71792,3303166720000.0,,,
2000-01-19,SIEMENS,EQ,458.9,470.0,478.95,465.0,474.0,472.25,472.43,53452,2525233850000.0,,,
2000-01-20,SIEMENS,EQ,472.25,479.0,479.0,462.0,464.0,463.3,470.27,46719,2197048375000.0,,,
2000-01-21,SIEMENS,EQ,463.3,462.95,465.0,455.0,458.0,456.75,458.86,57490,2638005430000.0,,,
2000-01-24,SIEMENS,EQ,456.75,458.1,462.0,447.1,447.15,449.5,453.73,32362,1468351275000.0,,,
2000-01-25,SIEMENS,EQ,449.5,441.5,470.0,439.8,470.0,463.75,451.47,95657,4318659310000.0,,,
2000-01-27,SIEMENS,EQ,463.75,476.0,500.85,476.0,500.0,499.0,495.41,227082,11249765360000.0,,,
2000-01-28,SIEMENS,EQ,499.0,502.0,509.95,471.05,477.1,480.25,490.12,168571,8261972025000.0,,,
2000-01-31,SIEMENS,EQ,480.25,475.0,480.0,441.85,441.85,442.35,456.82,91735,4190598629999.9995,,,
2000-02-01,SIEMENS,EQ,442.35,436.0,454.0,431.2,447.0,446.35,445.85,125828,5610059000000.0,,,
2000-02-02,SIEMENS,EQ,446.35,464.95,464.95,448.0,451.0,451.65,453.49,62569,2837449305000.0,,,
2000-02-03,SIEMENS,EQ,451.65,452.9,454.95,444.0,446.15,447.35,448.05,30066,1347093100000.0,,,
2000-02-04,SIEMENS,EQ,447.35,451.0,451.0,424.0,428.05,427.05,434.32,61954,2690801095000.0,,,
2000-02-07,SIEMENS,EQ,427.05,427.0,434.85,411.15,427.0,429.15,428.1,48377,2070997725000.0,,,
2000-02-08,SIEMENS,EQ,429.15,423.05,431.75,418.0,420.0,419.95,423.24,74005,3132219945000.0,,,
2000-02-09,SIEMENS,EQ,419.95,439.85,439.85,419.0,419.0,420.4,428.75,57830,2479469355000.0,,,
2000-02-10,SIEMENS,EQ,420.4,421.05,454.05,416.0,454.05,454.05,439.58,115241,5065803540000.0,,,
2000-02-11,SIEMENS,EQ,454.05,468.0,468.0,424.0,430.0,433.65,439.89,106628,4690496490000.0,,,
2000-02-14,SIEMENS,EQ,433.65,424.6,432.0,415.25,421.0,417.55,422.14,57993,2448143145000.0,,,
2000-02-15,SIEMENS,EQ,417.55,411.0,418.0,385.55,402.0,401.15,402.39,111411,4483042440000.0,,,
2000-02-16,SIEMENS,EQ,401.15,405.0,416.85,400.0,410.0,402.7,409.22,62220,2546193825000.0,,,
2000-02-17,SIEMENS,EQ,402.7,411.0,434.9,405.0,426.6,427.95,424.02,72737,3084173345000.0,,,
2000-02-18,SIEMENS,EQ,427.95,427.0,429.4,405.0,411.5,410.95,410.64,65342,2683186985000.0,,,
2000-02-21,SIEMENS,EQ,410.95,410.0,415.0,390.0,411.0,410.9,407.66,82716,3372032520000.0005,,,
2000-02-22,SIEMENS,EQ,410.9,409.3,412.0,390.0,391.0,393.1,396.99,78870,3131029110000.0,,,
2000-02-23,SIEMENS,EQ,393.1,409.0,414.0,393.0,400.0,398.9,404.07,26712,1079363480000.0001,,,
2000-02-24,SIEMENS,EQ,398.9,403.0,403.0,385.0,397.0,398.8,396.08,33405,1323106095000.0,,,
2000-02-25,SIEMENS,EQ,398.8,396.0,418.95,395.0,411.0,409.75,403.45,39501,1593655020000.0,,,
2000-02-28,SIEMENS,EQ,409.75,405.0,442.55,403.25,436.25,437.75,430.64,62053,2672268270000.0,,,
2000-02-29,SIEMENS,EQ,437.75,440.0,441.8,402.9,402.95,412.6,425.59,76305,3247500050000.0,,,
