Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,SRTRANSFIN,EQ,6.1,6.0,6.0,4.05,5.35,5.35,5.01,2000,1001000000.0,,,
2000-01-04,SRTRANSFIN,EQ,5.35,5.1,5.6,5.1,5.6,5.6,5.39,850,458500000.0,,,
2000-01-05,SRTRANSFIN,EQ,5.6,6.0,6.0,5.1,5.1,5.1,5.34,2000,1067500000.0,,,
2000-01-06,SRTRANSFIN,EQ,5.1,5.0,5.05,4.65,5.0,5.0,5.01,3100,1551750000.0,,,
2000-01-07,SRTRANSFIN,EQ,5.0,5.05,5.5,5.0,5.5,5.5,5.42,1200,650500000.0,,,
2000-01-10,SRTRANSFIN,EQ,5.5,4.65,4.65,4.65,4.65,4.65,4.65,300,139500000.0,,,
2000-01-11,SRTRANSFIN,EQ,4.65,5.0,5.0,4.6,4.6,4.6,4.73,1850,875000000.0,,,
2000-01-12,SRTRANSFIN,EQ,4.6,3.6,3.6,3.6,3.6,3.6,3.6,300,108000000.0,,,
2000-01-13,SRTRANSFIN,EQ,3.6,4.5,5.0,4.5,5.0,5.0,4.71,3600,1695000000.0,,,
2000-01-14,SRTRANSFIN,EQ,5.0,5.5,5.5,5.5,5.5,5.5,5.5,100,55000000.0,,,
2000-01-17,SRTRANSFIN,EQ,5.5,4.15,4.55,4.15,4.5,4.5,4.38,1050,460250000.0,,,
2000-01-18,SRTRANSFIN,EQ,4.5,4.1,4.6,4.1,4.6,4.6,4.52,1200,542000000.0,,,
2000-01-20,SRTRANSFIN,EQ,4.6,4.75,4.75,4.75,4.75,4.75,4.75,200,95000000.0,,,
2000-01-21,SRTRANSFIN,EQ,4.75,5.0,5.3,5.0,5.25,5.25,5.04,2350,1184000000.0,,,
2000-01-24,SRTRANSFIN,EQ,5.25,4.75,4.75,4.75,4.75,4.75,4.75,500,237500000.0,,,
2000-01-27,SRTRANSFIN,EQ,4.75,4.0,4.0,4.0,4.0,4.0,4.0,250,100000000.0,,,
2000-02-01,SRTRANSFIN,EQ,4.0,4.15,4.15,4.05,4.05,4.05,4.09,1600,654750000.0,,,
2000-02-02,SRTRANSFIN,EQ,4.05,4.5,4.5,4.5,4.5,4.5,4.5,100,45000000.0,,,
2000-02-03,SRTRANSFIN,EQ,4.5,4.4,4.5,4.4,4.5,4.5,4.47,1800,804000000.0,,,
2000-02-04,SRTRANSFIN,EQ,4.5,4.1,4.75,4.05,4.1,4.1,4.46,900,401000000.0,,,
2000-02-07,SRTRANSFIN,EQ,4.1,4.3,4.5,4.25,4.5,4.5,4.34,900,390500000.0,,,
2000-02-08,SRTRANSFIN,EQ,4.5,4.9,4.9,4.25,4.5,4.35,4.53,4200,1903000000.0,,,
2000-02-09,SRTRANSFIN,EQ,4.35,4.5,4.5,4.5,4.5,4.5,4.5,100,45000000.0,,,
2000-02-10,SRTRANSFIN,EQ,4.5,4.1,4.1,4.1,4.1,4.1,4.1,1200,492000000.0,,,
2000-02-11,SRTRANSFIN,EQ,4.1,4.5,4.5,4.25,4.5,4.5,4.39,3100,1360250000.0,,,
2000-02-14,SRTRANSFIN,EQ,4.5,4.1,4.45,4.05,4.45,4.45,4.31,800,344500000.0,,,
2000-02-15,SRTRANSFIN,EQ,4.45,4.05,4.7,4.05,4.7,4.7,4.48,1500,672500000.0,,,
2000-02-16,SRTRANSFIN,EQ,4.7,4.0,5.0,4.0,4.0,4.0,4.65,1550,720000000.0,,,
2000-02-17,SRTRANSFIN,EQ,4.0,4.9,4.9,4.5,4.5,4.5,4.83,600,290000000.0,,,
2000-02-21,SRTRANSFIN,EQ,4.5,4.05,4.05,4.05,4.05,4.05,4.05,500,202500000.0,,,
2000-02-22,SRTRANSFIN,EQ,4.05,4.5,5.2,4.0,5.2,4.2,4.2,2750,1154500000.0,,,
2000-02-23,SRTRANSFIN,EQ,4.2,4.95,5.0,4.1,4.1,4.1,4.83,600,289500000.0,,,
2000-02-28,SRTRANSFIN,EQ,4.1,4.05,4.05,4.05,4.05,4.05,4.05,800,324000000.0,,,
2000-02-29,SRTRANSFIN,EQ,4.05,4.45,4.8,4.0,4.2,4.2,4.28,1150,492000000.0,,,
2000-03-01,SRTRANSFIN,EQ,4.2,4.25,5.3,4.25,5.3,5.3,4.85,350,169750000.0,,,
2000-03-02,SRTRANSFIN,EQ,5.3,5.3,5.45,3.0,5.45,5.35,4.62,2650,1225000000.0,,,
2000-03-03,SRTRANSFIN,EQ,5.35,5.5,5.5,4.0,5.0,5.0,4.46,3050,1360250000.0,,,
2000-03-06,SRTRANSFIN,EQ,5.0,4.05,4.9,4.05,4.75,4.75,4.75,1100,523000000.0,,,
2000-03-13,SRTRANSFIN,EQ,4.75,4.95,4.95,4.95,4.95,4.95,4.95,100,49500000.0,,,
2000-03-15,SRTRANSFIN,EQ,4.95,5.0,5.0,5.0,5.0,5.0,5.0,550,275000000.0,,,
2000-03-24,SRTRANSFIN,EQ,5.0,4.1,4.1,4.1,4.1,4.1,4.1,500,205000000.0,,,
2000-03-27,SRTRANSFIN,EQ,4.1,4.25,4.5,4.25,4.5,4.5,4.28,800,342500000.0,,,
2000-03-28,SRTRANSFIN,EQ,4.5,4.8,4.8,4.4,4.4,4.4,4.53,550,249000000.0,,,
2000-03-30,SRTRANSFIN,EQ,4.4,3.05,3.05,3.05,3.05,3.05,3.05,500,152500000.0,,,
