Date,SBIN,8kmiles,ABCAPITAL,ABAN,3Mindia
1/1/2018,307.1,901.95,186.4,201.3,19264.55
1/2/2018,303.25,891.2,185.25,205.45,18904.05
1/3/2018,302.85,884.35,184.6,205.05,19400.4
1/4/2018,308.5,860,184,209.6,19449.8
1/5/2018,306.35,863.05,184.85,215.55,19367.5
1/8/2018,305.8,859.15,183.1,220.05,19194.05
1/9/2018,304.3,847.1,183.75,218.3,18967.95
1/10/2018,301.1,846.25,183.2,251.45,18468.55
1/11/2018,302.2,864.85,185,268.1,18091.3
1/12/2018,302.25,857.35,184.1,262.5,17853.8
1/15/2018,302.6,864,184.75,262.95,17943.35
1/16/2018,296.15,833.3,180.8,258.55,17756.25
1/17/2018,307.1,815.4,181.6,246,18008.4
1/18/2018,303.25,832.3,176.6,232.9,18105.35
1/19/2018,309.25,826.05,177.05,230.05,18182.15
1/22/2018,306.5,781.05,178.4,231.25,18806.2
1/23/2018,318.1,797.2,175.55,227.5,18721.85
1/24/2018,329.9,805.5,176.45,233.15,18703
1/25/2018,313.15,785.85,175.9,233.25,18854.8
1/29/2018,312.1,776.95,173.55,224.1,18979
1/30/2018,313.55,732.45,170,213.5,18805.1
1/31/2018,313.25,736.85,170.85,211,18796.15
2/1/2018,306.05,718.15,174.2,206.6,19282.05
2/2/2018,297.35,656.6,167.85,193.2,18317.5
2/5/2018,298.05,643.85,165.1,191.1,18943.1
2/6/2018,291.75,615.2,158.9,180.3,18462
2/7/2018,292.8,726.2,163.65,188.25,18468.85
2/8/2018,301.4,760.15,168.25,188.85,18515.1
2/9/2018,296.4,751.2,167.8,186.95,18924.45
2/12/2018,288.75,801,169.75,190.15,21706.7
2/14/2018,276.2,819.2,167.85,180.95,20689.1
2/15/2018,278.7,784.85,165.95,177.35,20402.9
2/16/2018,271.65,809.9,164.5,173.7,19922.35
2/19/2018,268.5,799.25,162.1,170.35,20218.6
2/20/2018,269.65,776.8,164.55,171.35,20497.95
2/21/2018,273.3,766.9,165.15,168.75,20543.45
2/22/2018,272.6,758.7,165.15,168.3,20725.25
2/23/2018,276.05,753.45,164.1,173,20733.8
2/26/2018,274.45,750.95,163.45,174.45,20691.65
2/27/2018,267.6,744.25,166.95,173.8,20564.8
2/28/2018,268,736.55,166.55,170.5,20717.4
3/1/2018,262.15,730.85,162.85,169.6,21012.8
3/5/2018,263.5,718.25,160.85,166.75,20832.6
3/6/2018,256.55,710.5,158.15,164.45,20747.9
3/7/2018,246.65,681.05,154.4,158.95,20428.85
3/8/2018,256.8,690.15,154.95,156.6,20349.3
3/9/2018,253.25,693.95,153.25,156.7,20253.1
3/12/2018,252.85,705.8,152.9,157.55,20108.5
3/13/2018,254.7,706.3,153.15,163.3,20171.7
3/14/2018,257.05,704.95,151.3,164.1,20116.15
3/15/2018,253.7,705.9,150.35,165.2,20069.85
3/16/2018,252.3,695.3,147.65,162.25,19991.6
3/19/2018,247.95,674.8,146.65,158.7,19689.15
3/20/2018,249.1,667.65,146.2,157.7,19608.65
3/21/2018,248,690.45,145.55,161.25,19530.95
3/22/2018,241.55,692.45,147.25,164.55,19530.35
3/23/2018,234.8,675.75,147.35,158.1,19216.85
3/26/2018,246.5,669.85,146.8,162.75,19034.4
3/27/2018,254.35,679.6,148.9,163.6,19043.1
3/28/2018,249.9,670.05,145.95,158.4,19412.85
4/2/2018,246.15,695.65,151.9,161.5,19973.9
4/3/2018,250.5,698.25,152,163,20111.3
4/4/2018,247.3,689.75,151.7,159.65,20105
4/5/2018,259.3,694.45,155.55,162.15,20638.7
4/6/2018,259.7,706,157,163.4,20715.8
